5 Q0 CACM-2065 1  7.386891655844005 TF-IDF-stem 
5 Q0 CACM-2342 2  6.300234671572061 TF-IDF-stem 
5 Q0 CACM-1359 3  5.410126279351152 TF-IDF-stem 
5 Q0 CACM-1748 4  4.725176003679045 TF-IDF-stem 
5 Q0 CACM-2931 5  4.465091078615343 TF-IDF-stem 
5 Q0 CACM-1272 6  3.780140802943236 TF-IDF-stem 
5 Q0 CACM-2233 7  3.780140802943236 TF-IDF-stem 
5 Q0 CACM-2307 8  3.780140802943236 TF-IDF-stem 
5 Q0 CACM-2000 9  3.2599709528158325 TF-IDF-stem 
5 Q0 CACM-2535 10  3.122463153781162 TF-IDF-stem 
5 Q0 CACM-1652 11  2.835105602207427 TF-IDF-stem 
5 Q0 CACM-2050 12  2.835105602207427 TF-IDF-stem 
5 Q0 CACM-2051 13  2.835105602207427 TF-IDF-stem 
5 Q0 CACM-2723 14  2.835105602207427 TF-IDF-stem 
5 Q0 CACM-3078 15  2.835105602207427 TF-IDF-stem 
5 Q0 CACM-3141 16  2.835105602207427 TF-IDF-stem 
5 Q0 CACM-1435 17  2.793624329200125 TF-IDF-stem 
5 Q0 CACM-1671 18  2.5750206771437254 TF-IDF-stem 
5 Q0 CACM-3030 19  2.5750206771437254 TF-IDF-stem 
5 Q0 CACM-1696 20  2.4832216259556663 TF-IDF-stem 
5 Q0 CACM-1135 21  2.268084481765942 TF-IDF-stem 
5 Q0 CACM-3020 22  2.0600165417149805 TF-IDF-stem 
5 Q0 CACM-1719 23  1.890070401471618 TF-IDF-stem 
5 Q0 CACM-2080 24  1.890070401471618 TF-IDF-stem 
5 Q0 CACM-2092 25  1.890070401471618 TF-IDF-stem 
5 Q0 CACM-2311 26  1.890070401471618 TF-IDF-stem 
5 Q0 CACM-2320 27  1.890070401471618 TF-IDF-stem 
5 Q0 CACM-2912 28  1.890070401471618 TF-IDF-stem 
5 Q0 CACM-3059 29  1.7860364314461374 TF-IDF-stem 
5 Q0 CACM-0078 30  1.71668045142915 TF-IDF-stem 
5 Q0 CACM-1003 31  1.71668045142915 TF-IDF-stem 
5 Q0 CACM-1008 32  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-1147 33  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-1631 34  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-1703 35  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-1834 36  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-1911 37  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-1947 38  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-2186 39  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-2622 40  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-2705 41  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-2953 42  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-3068 43  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-3094 44  1.6299854764079162 TF-IDF-stem 
5 Q0 CACM-2396 45  1.5457503655289007 TF-IDF-stem 
5 Q0 CACM-1892 46  1.4954638119743737 TF-IDF-stem 
5 Q0 CACM-0278 47  1.4175528011037135 TF-IDF-stem 
5 Q0 CACM-1587 48  1.4175528011037135 TF-IDF-stem 
5 Q0 CACM-2628 49  1.4175528011037135 TF-IDF-stem 
5 Q0 CACM-1235 50  1.3968121646000624 TF-IDF-stem 
5 Q0 CACM-2742 51  1.3968121646000624 TF-IDF-stem 
5 Q0 CACM-2767 52  1.3968121646000624 TF-IDF-stem 
5 Q0 CACM-1410 53  1.3381984944776408 TF-IDF-stem 
5 Q0 CACM-2210 54  1.303988381126333 TF-IDF-stem 
5 Q0 CACM-2263 55  1.303988381126333 TF-IDF-stem 
5 Q0 CACM-1169 56  1.2875103385718627 TF-IDF-stem 
5 Q0 CACM-2753 57  1.2875103385718627 TF-IDF-stem 
