7 Q0 CACM-2723 1  15.887865692199801 TF-IDF-stem 
7 Q0 CACM-1652 2  7.61933403606907 TF-IDF-stem 
7 Q0 CACM-2342 3  7.469452573286756 TF-IDF-stem 
7 Q0 CACM-2714 4  6.176986010957122 TF-IDF-stem 
7 Q0 CACM-2307 5  6.035811331905204 TF-IDF-stem 
7 Q0 CACM-2497 6  5.958598459096574 TF-IDF-stem 
7 Q0 CACM-2266 7  5.7709432902656275 TF-IDF-stem 
7 Q0 CACM-1359 8  5.709124119186476 TF-IDF-stem 
7 Q0 CACM-1725 9  5.29725418733493 TF-IDF-stem 
7 Q0 CACM-1684 10  5.151714480181348 TF-IDF-stem 
7 Q0 CACM-2865 11  5.049783205488134 TF-IDF-stem 
7 Q0 CACM-2700 12  4.839338735597244 TF-IDF-stem 
7 Q0 CACM-2931 13  4.743916432435125 TF-IDF-stem 
7 Q0 CACM-2543 14  4.558767026657359 TF-IDF-stem 
7 Q0 CACM-1811 15  4.505472068603295 TF-IDF-stem 
7 Q0 CACM-1665 16  4.45814324114019 TF-IDF-stem 
7 Q0 CACM-1457 17  4.4073265854465085 TF-IDF-stem 
7 Q0 CACM-2092 18  4.324654516827513 TF-IDF-stem 
7 Q0 CACM-2896 19  4.282878477135389 TF-IDF-stem 
7 Q0 CACM-1927 20  4.2416656964159545 TF-IDF-stem 
7 Q0 CACM-2160 21  4.146932086752164 TF-IDF-stem 
7 Q0 CACM-2572 22  4.052315116909543 TF-IDF-stem 
7 Q0 CACM-1671 23  4.04594969732495 TF-IDF-stem 
7 Q0 CACM-1788 24  3.8449656293064365 TF-IDF-stem 
7 Q0 CACM-1852 25  3.8449656293064365 TF-IDF-stem 
7 Q0 CACM-0950 26  3.792847658057297 TF-IDF-stem 
7 Q0 CACM-1828 27  3.792847658057297 TF-IDF-stem 
7 Q0 CACM-2372 28  3.777758490306079 TF-IDF-stem 
7 Q0 CACM-2688 29  3.7350971468469694 TF-IDF-stem 
7 Q0 CACM-2451 30  3.692552443209028 TF-IDF-stem 
7 Q0 CACM-2990 31  3.6725404435086517 TF-IDF-stem 
7 Q0 CACM-2905 32  3.5009846370171243 TF-IDF-stem 
7 Q0 CACM-3163 33  3.5009846370171243 TF-IDF-stem 
7 Q0 CACM-1601 34  3.494420963457485 TF-IDF-stem 
7 Q0 CACM-2776 35  3.437167581560213 TF-IDF-stem 
7 Q0 CACM-3095 36  3.4084099341282412 TF-IDF-stem 
7 Q0 CACM-2388 37  3.376501406399786 TF-IDF-stem 
7 Q0 CACM-0409 38  3.34459287867133 TF-IDF-stem 
7 Q0 CACM-1726 39  3.34459287867133 TF-IDF-stem 
7 Q0 CACM-2050 40  3.34459287867133 TF-IDF-stem 
7 Q0 CACM-2765 41  3.34459287867133 TF-IDF-stem 
7 Q0 CACM-2175 42  3.3074377702526947 TF-IDF-stem 
7 Q0 CACM-2479 43  3.2835565624198457 TF-IDF-stem 
7 Q0 CACM-2631 44  3.2131578000404217 TF-IDF-stem 
7 Q0 CACM-1341 45  3.1215008767238785 TF-IDF-stem 
7 Q0 CACM-1506 46  3.0817227214095135 TF-IDF-stem 
7 Q0 CACM-1854 47  3.073043793236078 TF-IDF-stem 
7 Q0 CACM-1613 48  3.0633353435509894 TF-IDF-stem 
7 Q0 CACM-2455 49  3.0561958992267493 TF-IDF-stem 
7 Q0 CACM-1267 50  3.0222067922448637 TF-IDF-stem 
7 Q0 CACM-0634 51  3.017905665952602 TF-IDF-stem 
7 Q0 CACM-3096 52  3.017905665952602 TF-IDF-stem 
7 Q0 CACM-2311 53  2.9651091183780838 TF-IDF-stem 
7 Q0 CACM-3059 54  2.8310768564562157 TF-IDF-stem 
7 Q0 CACM-2254 55  2.7837931561227567 TF-IDF-stem 
7 Q0 CACM-1589 56  2.781101894683443 TF-IDF-stem 
7 Q0 CACM-2973 57  2.775993433175576 TF-IDF-stem 
7 Q0 CACM-2288 58  2.7437924846862374 TF-IDF-stem 
7 Q0 CACM-2832 59  2.734815821984934 TF-IDF-stem 
7 Q0 CACM-1742 60  2.699734419116208 TF-IDF-stem 
7 Q0 CACM-2519 61  2.6923044440101838 TF-IDF-stem 
7 Q0 CACM-0275 62  2.6912184532338737 TF-IDF-stem 
7 Q0 CACM-0651 63  2.6912184532338737 TF-IDF-stem 
7 Q0 CACM-0655 64  2.6912184532338737 TF-IDF-stem 
7 Q0 CACM-2412 65  2.6912184532338737 TF-IDF-stem 
7 Q0 CACM-2547 66  2.6912184532338737 TF-IDF-stem 
7 Q0 CACM-2433 67  2.685842097703875 TF-IDF-stem 
7 Q0 CACM-1290 68  2.6227668324345825 TF-IDF-stem 
7 Q0 CACM-2246 69  2.5633104195376246 TF-IDF-stem 
7 Q0 CACM-3039 70  2.5633104195376246 TF-IDF-stem 
7 Q0 CACM-2139 71  2.5610503638419937 TF-IDF-stem 
7 Q0 CACM-2785 72  2.5285651053715315 TF-IDF-stem 
7 Q0 CACM-1770 73  2.518505660204053 TF-IDF-stem 
7 Q0 CACM-1681 74  2.517952208579974 TF-IDF-stem 
7 Q0 CACM-1516 75  2.4873925923260787 TF-IDF-stem 
7 Q0 CACM-1569 76  2.4681264512864223 TF-IDF-stem 
7 Q0 CACM-2846 77  2.4630146817780156 TF-IDF-stem 
7 Q0 CACM-2924 78  2.457105943404029 TF-IDF-stem 
7 Q0 CACM-3075 79  2.4551913144771538 TF-IDF-stem 
7 Q0 CACM-3073 80  2.419669367798622 TF-IDF-stem 
7 Q0 CACM-3012 81  2.4166618266304107 TF-IDF-stem 
7 Q0 CACM-0303 82  2.4125136337313102 TF-IDF-stem 
7 Q0 CACM-1160 83  2.4125136337313102 TF-IDF-stem 
7 Q0 CACM-1916 84  2.4049753572887638 TF-IDF-stem 
7 Q0 CACM-3134 85  2.3872773234924827 TF-IDF-stem 
7 Q0 CACM-1262 86  2.354019926157729 TF-IDF-stem 
7 Q0 CACM-2116 87  2.300714185058234 TF-IDF-stem 
7 Q0 CACM-1890 88  2.2868104890310956 TF-IDF-stem 
7 Q0 CACM-3135 89  2.2793835133286793 TF-IDF-stem 
7 Q0 CACM-2575 90  2.272273289418828 TF-IDF-stem 
7 Q0 CACM-1747 91  2.221076711812964 TF-IDF-stem 
7 Q0 CACM-1409 92  2.194530887397874 TF-IDF-stem 
7 Q0 CACM-2907 93  2.1871838821429455 TF-IDF-stem 
7 Q0 CACM-3093 94  2.1871838821429455 TF-IDF-stem 
7 Q0 CACM-2685 95  2.17770243101876 TF-IDF-stem 
7 Q0 CACM-2114 96  2.1679123429978153 TF-IDF-stem 
7 Q0 CACM-0670 97  2.1574556756944663 TF-IDF-stem 
7 Q0 CACM-2561 98  2.142105200026948 TF-IDF-stem 
7 Q0 CACM-1008 99  2.1414392385676946 TF-IDF-stem 
7 Q0 CACM-2645 100  2.119885511887169 TF-IDF-stem 
