4 Q0 CACM-2849 1  12.756681493597261 TF-IDF-stem 
4 Q0 CACM-2276 2  10.377595963038798 TF-IDF-stem 
4 Q0 CACM-2667 3  6.716851759488032 TF-IDF-stem 
4 Q0 CACM-1381 4  6.70167872354927 TF-IDF-stem 
4 Q0 CACM-2454 5  6.324576266375836 TF-IDF-stem 
4 Q0 CACM-2893 6  6.318875328913694 TF-IDF-stem 
4 Q0 CACM-1003 7  6.00011522930752 TF-IDF-stem 
4 Q0 CACM-2547 8  5.542241048036295 TF-IDF-stem 
4 Q0 CACM-2734 9  5.522130528889967 TF-IDF-stem 
4 Q0 CACM-2196 10  5.296654505149129 TF-IDF-stem 
4 Q0 CACM-3135 11  5.03551160357398 TF-IDF-stem 
4 Q0 CACM-2924 12  4.971541138053774 TF-IDF-stem 
4 Q0 CACM-1569 13  4.716934492787022 TF-IDF-stem 
4 Q0 CACM-1134 14  4.705909350392012 TF-IDF-stem 
4 Q0 CACM-0527 15  4.628434017278366 TF-IDF-stem 
4 Q0 CACM-2035 16  4.626384875395063 TF-IDF-stem 
4 Q0 CACM-2373 17  4.562030682382241 TF-IDF-stem 
4 Q0 CACM-2032 18  4.407161952178404 TF-IDF-stem 
4 Q0 CACM-2065 19  4.267082020313731 TF-IDF-stem 
4 Q0 CACM-2931 20  4.232511048682792 TF-IDF-stem 
4 Q0 CACM-2092 21  4.002393546578611 TF-IDF-stem 
4 Q0 CACM-2449 22  3.86957765274773 TF-IDF-stem 
4 Q0 CACM-2535 23  3.848325940850844 TF-IDF-stem 
4 Q0 CACM-2767 24  3.6717285995245525 TF-IDF-stem 
4 Q0 CACM-1714 25  3.621685366578439 TF-IDF-stem 
4 Q0 CACM-2057 26  3.621685366578439 TF-IDF-stem 
4 Q0 CACM-2427 27  3.621685366578439 TF-IDF-stem 
4 Q0 CACM-2273 28  3.5578879006814206 TF-IDF-stem 
4 Q0 CACM-3141 29  3.5090427294467044 TF-IDF-stem 
4 Q0 CACM-3145 30  3.4986248972259757 TF-IDF-stem 
4 Q0 CACM-2233 31  3.4913459629039902 TF-IDF-stem 
4 Q0 CACM-2751 32  3.47152105466246 TF-IDF-stem 
4 Q0 CACM-2674 33  3.4538742825219 TF-IDF-stem 
4 Q0 CACM-2406 34  3.410708877216327 TF-IDF-stem 
4 Q0 CACM-2723 35  3.3807107149989193 TF-IDF-stem 
4 Q0 CACM-1890 36  3.356351932972139 TF-IDF-stem 
4 Q0 CACM-2718 37  3.3481755582529087 TF-IDF-stem 
4 Q0 CACM-1936 38  3.3312247047657824 TF-IDF-stem 
4 Q0 CACM-2169 39  3.316524514905769 TF-IDF-stem 
4 Q0 CACM-2847 40  3.278834847201854 TF-IDF-stem 
4 Q0 CACM-3018 41  3.2702058282296393 TF-IDF-stem 
4 Q0 CACM-1604 42  3.256670866076761 TF-IDF-stem 
4 Q0 CACM-1710 43  3.222203716993124 TF-IDF-stem 
4 Q0 CACM-1010 44  3.0798253640511586 TF-IDF-stem 
4 Q0 CACM-2780 45  3.0621785919105986 TF-IDF-stem 
4 Q0 CACM-1341 46  3.0510230883797984 TF-IDF-stem 
4 Q0 CACM-2160 47  3.047647092939128 TF-IDF-stem 
4 Q0 CACM-2925 48  3.0333763162392384 TF-IDF-stem 
4 Q0 CACM-2148 49  3.0222208127084382 TF-IDF-stem 
4 Q0 CACM-1671 50  3.0111956703134286 TF-IDF-stem 
4 Q0 CACM-2765 51  2.971368252247058 TF-IDF-stem 
4 Q0 CACM-2082 52  2.9148963796761427 TF-IDF-stem 
4 Q0 CACM-3137 53  2.9044070021189747 TF-IDF-stem 
4 Q0 CACM-2253 54  2.9005604224083577 TF-IDF-stem 
4 Q0 CACM-2366 55  2.8830440114035882 TF-IDF-stem 
4 Q0 CACM-2481 56  2.8274230266920743 TF-IDF-stem 
4 Q0 CACM-2020 57  2.814323937525188 TF-IDF-stem 
4 Q0 CACM-1083 58  2.774496519458818 TF-IDF-stem 
4 Q0 CACM-3148 59  2.7434443632307572 TF-IDF-stem 
4 Q0 CACM-2060 60  2.7408405634102353 TF-IDF-stem 
4 Q0 CACM-0464 61  2.7346691013924476 TF-IDF-stem 
4 Q0 CACM-2963 62  2.6175425848776177 TF-IDF-stem 
4 Q0 CACM-1944 63  2.613928409245864 TF-IDF-stem 
4 Q0 CACM-3165 64  2.591940753440802 TF-IDF-stem 
4 Q0 CACM-2177 65  2.5555345208854376 TF-IDF-stem 
4 Q0 CACM-2337 66  2.4913483207922873 TF-IDF-stem 
4 Q0 CACM-2715 67  2.4912614133684263 TF-IDF-stem 
4 Q0 CACM-1115 68  2.4912179596564963 TF-IDF-stem 
