1 Q0 CACM-3127 1  12.614689225737347 TF-IDF-stem 
1 Q0 CACM-3068 2  8.436945380254858 TF-IDF-stem 
1 Q0 CACM-1930 3  8.373861118613593 TF-IDF-stem 
1 Q0 CACM-2092 4  7.010779626951987 TF-IDF-stem 
1 Q0 CACM-2372 5  6.622465483433729 TF-IDF-stem 
1 Q0 CACM-2622 6  6.622465483433729 TF-IDF-stem 
1 Q0 CACM-2153 7  5.972928017167373 TF-IDF-stem 
1 Q0 CACM-2111 8  5.323390550901015 TF-IDF-stem 
1 Q0 CACM-1652 9  4.673853084634658 TF-IDF-stem 
1 Q0 CACM-1591 10  4.0878610287533785 TF-IDF-stem 
1 Q0 CACM-2319 11  4.0243156183683 TF-IDF-stem 
1 Q0 CACM-1544 12  3.8972247975981436 TF-IDF-stem 
1 Q0 CACM-2632 13  3.8925303434596197 TF-IDF-stem 
1 Q0 CACM-1747 14  3.7666131362240933 TF-IDF-stem 
1 Q0 CACM-2522 15  3.723075915766077 TF-IDF-stem 
1 Q0 CACM-1748 16  3.636001474850043 TF-IDF-stem 
1 Q0 CACM-1752 17  3.3747781521019435 TF-IDF-stem 
1 Q0 CACM-1324 18  3.115902056423105 TF-IDF-stem 
1 Q0 CACM-2065 19  3.115902056423105 TF-IDF-stem 
1 Q0 CACM-1726 20  3.113554829353843 TF-IDF-stem 
1 Q0 CACM-2020 21  2.9864640085836864 TF-IDF-stem 
1 Q0 CACM-2358 22  2.9864640085836864 TF-IDF-stem 
1 Q0 CACM-2470 23  2.857025960744267 TF-IDF-stem 
1 Q0 CACM-3112 24  2.857025960744267 TF-IDF-stem 
1 Q0 CACM-2246 25  2.785366352843141 TF-IDF-stem 
1 Q0 CACM-2317 26  2.7699515198282336 TF-IDF-stem 
1 Q0 CACM-2379 27  2.753475522472732 TF-IDF-stem 
1 Q0 CACM-0322 28  2.725240685835586 TF-IDF-stem 
1 Q0 CACM-1698 29  2.725240685835586 TF-IDF-stem 
1 Q0 CACM-2184 30  2.725240685835586 TF-IDF-stem 
1 Q0 CACM-2697 31  2.725240685835586 TF-IDF-stem 
1 Q0 CACM-2342 32  2.6828770789122003 TF-IDF-stem 
1 Q0 CACM-1083 33  2.598149865065429 TF-IDF-stem 
1 Q0 CACM-2951 34  2.598149865065429 TF-IDF-stem 
1 Q0 CACM-3078 35  2.598149865065429 TF-IDF-stem 
1 Q0 CACM-2424 36  2.596137956148919 TF-IDF-stem 
1 Q0 CACM-1766 37  2.5087281970801336 TF-IDF-stem 
1 Q0 CACM-1071 38  2.424000983233362 TF-IDF-stem 
