2 Q0 CACM-0243 1  11.745299835038544 TF-IDF-stem 
2 Q0 CACM-3033 2  10.41158182776666 TF-IDF-stem 
2 Q0 CACM-2716 3  9.751165481189389 TF-IDF-stem 
2 Q0 CACM-1947 4  9.718246155230304 TF-IDF-stem 
2 Q0 CACM-2233 5  8.319177724811793 TF-IDF-stem 
2 Q0 CACM-1223 6  6.799382441539832 TF-IDF-stem 
2 Q0 CACM-2253 7  6.559611708547253 TF-IDF-stem 
2 Q0 CACM-3085 8  6.150804332313007 TF-IDF-stem 
2 Q0 CACM-1795 9  5.933457898683123 TF-IDF-stem 
2 Q0 CACM-2944 10  5.5888390060377695 TF-IDF-stem 
2 Q0 CACM-2000 11  5.317526285331902 TF-IDF-stem 
2 Q0 CACM-2359 12  5.278048965017805 TF-IDF-stem 
2 Q0 CACM-3099 13  4.793574319526334 TF-IDF-stem 
2 Q0 CACM-1719 14  4.726690031406135 TF-IDF-stem 
2 Q0 CACM-1134 15  4.615345754528434 TF-IDF-stem 
2 Q0 CACM-3163 16  4.484248238350796 TF-IDF-stem 
2 Q0 CACM-2856 17  4.48423893521385 TF-IDF-stem 
2 Q0 CACM-1670 18  4.365352825022946 TF-IDF-stem 
2 Q0 CACM-1523 19  4.266901804720912 TF-IDF-stem 
2 Q0 CACM-2701 20  4.205080612546255 TF-IDF-stem 
2 Q0 CACM-1726 21  3.8553738794868133 TF-IDF-stem 
2 Q0 CACM-2734 22  3.6971544073716776 TF-IDF-stem 
2 Q0 CACM-2680 23  3.6818173158635856 TF-IDF-stem 
2 Q0 CACM-1369 24  3.6230582783225587 TF-IDF-stem 
2 Q0 CACM-2931 25  3.600361148876382 TF-IDF-stem 
2 Q0 CACM-1708 26  3.577664019430205 TF-IDF-stem 
2 Q0 CACM-3096 27  3.545017523554601 TF-IDF-stem 
2 Q0 CACM-1476 28  3.5422969745547483 TF-IDF-stem 
2 Q0 CACM-2745 29  3.51869931001187 TF-IDF-stem 
2 Q0 CACM-1265 30  3.4733050511195165 TF-IDF-stem 
2 Q0 CACM-2263 31  3.419786761581775 TF-IDF-stem 
2 Q0 CACM-0265 32  3.327671089924717 TF-IDF-stem 
2 Q0 CACM-2111 33  3.2961291022114283 TF-IDF-stem 
2 Q0 CACM-0675 34  3.266349408601851 TF-IDF-stem 
2 Q0 CACM-2035 35  3.26458711449814 TF-IDF-stem 
2 Q0 CACM-3094 36  3.26458711449814 TF-IDF-stem 
2 Q0 CACM-2451 37  3.242822783914404 TF-IDF-stem 
2 Q0 CACM-2925 38  3.231940618622536 TF-IDF-stem 
2 Q0 CACM-2834 39  3.216587145902074 TF-IDF-stem 
2 Q0 CACM-1847 40  3.1976780819093946 TF-IDF-stem 
2 Q0 CACM-2177 41  3.1976780819093946 TF-IDF-stem 
2 Q0 CACM-2567 42  3.1976780819093946 TF-IDF-stem 
2 Q0 CACM-2648 43  3.1914019645133016 TF-IDF-stem 
2 Q0 CACM-1566 44  3.169325237636123 TF-IDF-stem 
2 Q0 CACM-2836 45  3.1275816503118476 TF-IDF-stem 
2 Q0 CACM-2033 46  3.120637598964959 TF-IDF-stem 
2 Q0 CACM-2905 47  3.014594184992652 TF-IDF-stem 
2 Q0 CACM-0322 48  2.9830521972793633 TF-IDF-stem 
2 Q0 CACM-2543 49  2.9830521972793633 TF-IDF-stem 
2 Q0 CACM-1698 50  2.951510209566075 TF-IDF-stem 
2 Q0 CACM-2491 51  2.9079699118005347 TF-IDF-stem 
2 Q0 CACM-1362 52  2.889363423019826 TF-IDF-stem 
2 Q0 CACM-2748 53  2.8688792697416527 TF-IDF-stem 
2 Q0 CACM-2625 54  2.8681792330642457 TF-IDF-stem 
2 Q0 CACM-2276 55  2.817676639160341 TF-IDF-stem 
2 Q0 CACM-2499 56  2.8025452195295566 TF-IDF-stem 
2 Q0 CACM-2794 57  2.795562934974935 TF-IDF-stem 
2 Q0 CACM-3053 58  2.7609649867245123 TF-IDF-stem 
2 Q0 CACM-0585 59  2.701517280060587 TF-IDF-stem 
2 Q0 CACM-2537 60  2.6949923287452164 TF-IDF-stem 
2 Q0 CACM-3129 61  2.576750090977834 TF-IDF-stem 
2 Q0 CACM-2963 62  2.5715242720452647 TF-IDF-stem 
2 Q0 CACM-0849 63  2.542525011436978 TF-IDF-stem 
