6 Q0 CACM-1827 1  10.67952835839369 TF-IDF-stem 
6 Q0 CACM-2571 2  9.979269616679382 TF-IDF-stem 
6 Q0 CACM-1698 3  9.903754301445971 TF-IDF-stem 
6 Q0 CACM-2372 4  8.996111638286791 TF-IDF-stem 
6 Q0 CACM-2522 5  8.364597444457964 TF-IDF-stem 
6 Q0 CACM-2535 6  8.111330275331635 TF-IDF-stem 
6 Q0 CACM-3068 7  8.040298425733774 TF-IDF-stem 
6 Q0 CACM-1719 8  7.538131218919465 TF-IDF-stem 
6 Q0 CACM-2849 9  7.306457827537312 TF-IDF-stem 
6 Q0 CACM-2092 10  7.272955773992097 TF-IDF-stem 
6 Q0 CACM-1916 11  7.227675070497903 TF-IDF-stem 
6 Q0 CACM-2111 12  7.144059337101356 TF-IDF-stem 
6 Q0 CACM-2751 13  6.882058637510461 TF-IDF-stem 
6 Q0 CACM-1308 14  6.783311944821553 TF-IDF-stem 
6 Q0 CACM-2153 15  6.724216270952892 TF-IDF-stem 
6 Q0 CACM-2765 16  6.616029649069759 TF-IDF-stem 
6 Q0 CACM-1381 17  6.589102411751787 TF-IDF-stem 
6 Q0 CACM-2951 18  6.464864067198094 TF-IDF-stem 
6 Q0 CACM-1517 19  6.459970593141679 TF-IDF-stem 
6 Q0 CACM-2319 20  6.447366907929752 TF-IDF-stem 
6 Q0 CACM-2373 21  6.215615170472829 TF-IDF-stem 
6 Q0 CACM-2622 22  6.0372810621910755 TF-IDF-stem 
6 Q0 CACM-2344 23  6.003853207928708 TF-IDF-stem 
6 Q0 CACM-2245 24  5.897285662945573 TF-IDF-stem 
6 Q0 CACM-2893 25  5.748235338355393 TF-IDF-stem 
6 Q0 CACM-1083 26  5.706073702780174 TF-IDF-stem 
6 Q0 CACM-1792 27  5.65961929877101 TF-IDF-stem 
6 Q0 CACM-1503 28  5.600373104681529 TF-IDF-stem 
6 Q0 CACM-1652 29  5.567458517315797 TF-IDF-stem 
6 Q0 CACM-2741 30  5.480443436641199 TF-IDF-stem 
6 Q0 CACM-2470 31  5.2596954175949255 TF-IDF-stem 
6 Q0 CACM-1748 32  5.20687131682306 TF-IDF-stem 
6 Q0 CACM-2297 33  5.203410287810942 TF-IDF-stem 
6 Q0 CACM-2233 34  5.08295824078181 TF-IDF-stem 
6 Q0 CACM-2188 35  5.060980808197069 TF-IDF-stem 
6 Q0 CACM-1591 36  4.926424662173522 TF-IDF-stem 
6 Q0 CACM-1365 37  4.919164208358225 TF-IDF-stem 
6 Q0 CACM-3078 38  4.897313056846924 TF-IDF-stem 
6 Q0 CACM-3136 39  4.886390086155746 TF-IDF-stem 
6 Q0 CACM-2020 40  4.846293165888241 TF-IDF-stem 
6 Q0 CACM-2723 41  4.79166405274549 TF-IDF-stem 
6 Q0 CACM-2035 42  4.769277768342291 TF-IDF-stem 
6 Q0 CACM-3028 43  4.655934964316209 TF-IDF-stem 
6 Q0 CACM-1752 44  4.6504094286943225 TF-IDF-stem 
6 Q0 CACM-1544 45  4.634768727844419 TF-IDF-stem 
6 Q0 CACM-2931 46  4.582484276254742 TF-IDF-stem 
6 Q0 CACM-3048 47  4.562086775152212 TF-IDF-stem 
6 Q0 CACM-0243 48  4.551485962909703 TF-IDF-stem 
6 Q0 CACM-2977 49  4.501125901904327 TF-IDF-stem 
6 Q0 CACM-2196 50  4.440694519311677 TF-IDF-stem 
6 Q0 CACM-2924 51  4.439746878326982 TF-IDF-stem 
6 Q0 CACM-1272 52  4.43095846230209 TF-IDF-stem 
6 Q0 CACM-1030 53  4.428738503457065 TF-IDF-stem 
6 Q0 CACM-2321 54  4.406887528102941 TF-IDF-stem 
6 Q0 CACM-1029 55  4.30000032868753 TF-IDF-stem 
6 Q0 CACM-2990 56  4.214406354196587 TF-IDF-stem 
6 Q0 CACM-1671 57  4.191669277028234 TF-IDF-stem 
6 Q0 CACM-2862 58  4.17478699424987 TF-IDF-stem 
6 Q0 CACM-0464 59  4.159567720142304 TF-IDF-stem 
6 Q0 CACM-2314 60  4.104089353744634 TF-IDF-stem 
6 Q0 CACM-2318 61  4.087988728675551 TF-IDF-stem 
6 Q0 CACM-1747 62  4.034625145277065 TF-IDF-stem 
6 Q0 CACM-3086 63  4.0302105135946364 TF-IDF-stem 
6 Q0 CACM-2734 64  3.977661455202267 TF-IDF-stem 
6 Q0 CACM-3112 65  3.951398717882559 TF-IDF-stem 
6 Q0 CACM-1541 66  3.891838024503767 TF-IDF-stem 
6 Q0 CACM-1892 67  3.8759696604995644 TF-IDF-stem 
6 Q0 CACM-2667 68  3.864266972792734 TF-IDF-stem 
6 Q0 CACM-1010 69  3.812719659881498 TF-IDF-stem 
6 Q0 CACM-1854 70  3.802429351472842 TF-IDF-stem 
6 Q0 CACM-1261 71  3.751954399793728 TF-IDF-stem 
6 Q0 CACM-3089 72  3.7488851945411006 TF-IDF-stem 
6 Q0 CACM-2979 73  3.737182511433182 TF-IDF-stem 
6 Q0 CACM-2298 74  3.7264727355549216 TF-IDF-stem 
6 Q0 CACM-3070 75  3.7056557721779644 TF-IDF-stem 
6 Q0 CACM-1653 76  3.6637185250620634 TF-IDF-stem 
6 Q0 CACM-2634 77  3.649500477921648 TF-IDF-stem 
6 Q0 CACM-2697 78  3.631513654346286 TF-IDF-stem 
6 Q0 CACM-2542 79  3.579053292531674 TF-IDF-stem 
6 Q0 CACM-3163 80  3.562944687513643 TF-IDF-stem 
6 Q0 CACM-0585 81  3.519530929166164 TF-IDF-stem 
6 Q0 CACM-2646 82  3.519530929166164 TF-IDF-stem 
6 Q0 CACM-1071 83  3.486886137085752 TF-IDF-stem 
6 Q0 CACM-1255 84  3.4815980537788076 TF-IDF-stem 
6 Q0 CACM-2451 85  3.466373893665417 TF-IDF-stem 
6 Q0 CACM-3049 86  3.4566581072420273 TF-IDF-stem 
6 Q0 CACM-1003 87  3.443082181829131 TF-IDF-stem 
6 Q0 CACM-3072 88  3.3919210337561743 TF-IDF-stem 
6 Q0 CACM-1829 89  3.381088965276193 TF-IDF-stem 
6 Q0 CACM-1476 90  3.324298577342473 TF-IDF-stem 
6 Q0 CACM-2985 91  3.3141697452055556 TF-IDF-stem 
6 Q0 CACM-2402 92  3.286658032050865 TF-IDF-stem 
6 Q0 CACM-2669 93  3.2355760883333504 TF-IDF-stem 
6 Q0 CACM-0851 94  3.234476352342786 TF-IDF-stem 
6 Q0 CACM-0695 95  3.2317103224990475 TF-IDF-stem 
6 Q0 CACM-1951 96  3.207299612996354 TF-IDF-stem 
6 Q0 CACM-1682 97  3.1183714146992814 TF-IDF-stem 
6 Q0 CACM-2984 98  3.1018094971403682 TF-IDF-stem 
6 Q0 CACM-0670 99  3.0999932993017048 TF-IDF-stem 
6 Q0 CACM-0322 100  3.099572209867567 TF-IDF-stem 
