56 Q0 CACM-2327 1  0.5058235068889275 TF-IDF 
56 Q0 CACM-1991 2  0.4297883583384808 TF-IDF 
56 Q0 CACM-1896 3  0.3671470633817809 TF-IDF 
56 Q0 CACM-1898 4  0.3553036097243041 TF-IDF 
56 Q0 CACM-1678 5  0.33666388558836213 TF-IDF 
56 Q0 CACM-1993 6  0.3239532912192184 TF-IDF 
56 Q0 CACM-1355 7  0.28985294477509016 TF-IDF 
56 Q0 CACM-2650 8  0.2847201733285223 TF-IDF 
56 Q0 CACM-2090 9  0.26875510367001015 TF-IDF 
56 Q0 CACM-2323 10  0.26828216606123284 TF-IDF 
56 Q0 CACM-0055 11  0.2575569743504264 TF-IDF 
56 Q0 CACM-2112 12  0.2399341414720313 TF-IDF 
56 Q0 CACM-0249 13  0.23213370505200787 TF-IDF 
56 Q0 CACM-2316 14  0.22320548562693066 TF-IDF 
56 Q0 CACM-0021 15  0.21689008366351695 TF-IDF 
56 Q0 CACM-1739 16  0.20979832193244624 TF-IDF 
56 Q0 CACM-0099 17  0.20604557948034113 TF-IDF 
56 Q0 CACM-2346 18  0.2054181996405739 TF-IDF 
56 Q0 CACM-2603 19  0.20482385739883047 TF-IDF 
56 Q0 CACM-2813 20  0.1988769343396128 TF-IDF 
56 Q0 CACM-0001 21  0.1962338852193725 TF-IDF 
56 Q0 CACM-0044 22  0.1962338852193725 TF-IDF 
56 Q0 CACM-1466 23  0.18135445707188114 TF-IDF 
56 Q0 CACM-3189 24  0.17412302491296433 TF-IDF 
56 Q0 CACM-0164 25  0.17283352627133014 TF-IDF 
56 Q0 CACM-0864 26  0.17283352627133014 TF-IDF 
56 Q0 CACM-1136 27  0.16340084062318377 TF-IDF 
56 Q0 CACM-1102 28  0.1612039618416721 TF-IDF 
56 Q0 CACM-2921 29  0.15914007184574905 TF-IDF 
56 Q0 CACM-0393 30  0.15262635517062303 TF-IDF 
56 Q0 CACM-1214 31  0.14985133053115718 TF-IDF 
56 Q0 CACM-1397 32  0.1479795242105144 TF-IDF 
56 Q0 CACM-0438 33  0.14518016206791734 TF-IDF 
56 Q0 CACM-0463 34  0.1450835656575049 TF-IDF 
56 Q0 CACM-1142 35  0.1450835656575049 TF-IDF 
56 Q0 CACM-1887 36  0.13897868451381037 TF-IDF 
56 Q0 CACM-1101 37  0.1382622497580786 TF-IDF 
56 Q0 CACM-2121 38  0.1382622497580786 TF-IDF 
56 Q0 CACM-2814 39  0.13817482443571896 TF-IDF 
56 Q0 CACM-0054 40  0.13736371965356076 TF-IDF 
56 Q0 CACM-2167 41  0.13660480407536427 TF-IDF 
56 Q0 CACM-2165 42  0.13293263192280072 TF-IDF 
56 Q0 CACM-0651 43  0.13189415059773174 TF-IDF 
56 Q0 CACM-2295 44  0.13189415059773174 TF-IDF 
56 Q0 CACM-2779 45  0.12905163561996674 TF-IDF 
56 Q0 CACM-0762 46  0.12615962231087383 TF-IDF 
56 Q0 CACM-0920 47  0.12615962231087383 TF-IDF 
56 Q0 CACM-2449 48  0.12578174180973004 TF-IDF 
56 Q0 CACM-2842 49  0.12432334739561346 TF-IDF 
56 Q0 CACM-1840 50  0.12395925840379458 TF-IDF 
56 Q0 CACM-1048 51  0.12294478453543203 TF-IDF 
56 Q0 CACM-2974 52  0.12207587153240099 TF-IDF 
56 Q0 CACM-1967 53  0.1198272831236681 TF-IDF 
56 Q0 CACM-2416 54  0.1198272831236681 TF-IDF 
56 Q0 CACM-1098 55  0.11783436804670448 TF-IDF 
56 Q0 CACM-1803 56  0.1177403311316235 TF-IDF 
56 Q0 CACM-1703 57  0.11763532350608506 TF-IDF 
56 Q0 CACM-2932 58  0.11690500126237675 TF-IDF 
56 Q0 CACM-0628 59  0.11606685252600393 TF-IDF 
56 Q0 CACM-2129 60  0.11522235084755343 TF-IDF 
56 Q0 CACM-2705 61  0.11453965709803018 TF-IDF 
56 Q0 CACM-1948 62  0.11060979980646288 TF-IDF 
56 Q0 CACM-1154 63  0.10955389526274999 TF-IDF 
56 Q0 CACM-1453 64  0.10954408186243719 TF-IDF 
56 Q0 CACM-2061 65  0.10935643821619147 TF-IDF 
56 Q0 CACM-1841 66  0.10893389374878919 TF-IDF 
56 Q0 CACM-2645 67  0.10715775649100069 TF-IDF 
56 Q0 CACM-1366 68  0.10702885991127412 TF-IDF 
56 Q0 CACM-2769 69  0.10627781756938438 TF-IDF 
56 Q0 CACM-2326 70  0.10622429790073878 TF-IDF 
56 Q0 CACM-1253 71  0.10612851897489281 TF-IDF 
56 Q0 CACM-2291 72  0.1057299556973542 TF-IDF 
56 Q0 CACM-2648 73  0.1057299556973542 TF-IDF 
