48 Q0 CACM-2325 1  0.6813141193609301 TF-IDF 
48 Q0 CACM-1990 2  0.5229355329239378 TF-IDF 
48 Q0 CACM-2329 3  0.4653965836812498 TF-IDF 
48 Q0 CACM-0371 4  0.43581811830481143 TF-IDF 
48 Q0 CACM-1771 5  0.4341988285563343 TF-IDF 
48 Q0 CACM-2464 6  0.40828210894545797 TF-IDF 
48 Q0 CACM-2553 7  0.40722201072109365 TF-IDF 
48 Q0 CACM-1205 8  0.393861327303704 TF-IDF 
48 Q0 CACM-2478 9  0.393861327303704 TF-IDF 
48 Q0 CACM-3130 10  0.383739669911656 TF-IDF 
48 Q0 CACM-1863 11  0.3788837979888536 TF-IDF 
48 Q0 CACM-2975 12  0.36908476866017426 TF-IDF 
48 Q0 CACM-2932 13  0.3678229748020272 TF-IDF 
48 Q0 CACM-1729 14  0.3674024707770701 TF-IDF 
48 Q0 CACM-2223 15  0.3674024707770701 TF-IDF 
48 Q0 CACM-0047 16  0.3669161503721932 TF-IDF 
48 Q0 CACM-2362 17  0.3667613225854614 TF-IDF 
48 Q0 CACM-2007 18  0.35958358673387797 TF-IDF 
48 Q0 CACM-2475 19  0.35950644978805624 TF-IDF 
48 Q0 CACM-2226 20  0.3572807343741045 TF-IDF 
48 Q0 CACM-2509 21  0.3520861180017614 TF-IDF 
48 Q0 CACM-2899 22  0.3484954931995861 TF-IDF 
48 Q0 CACM-2879 23  0.3449742641431899 TF-IDF 
48 Q0 CACM-3010 24  0.34188336537057007 TF-IDF 
48 Q0 CACM-2884 25  0.34124034194422664 TF-IDF 
48 Q0 CACM-2324 26  0.32538765058891594 TF-IDF 
48 Q0 CACM-2675 27  0.3196361091287182 TF-IDF 
48 Q0 CACM-2415 28  0.3195717145646286 TF-IDF 
48 Q0 CACM-1952 29  0.31727963535342174 TF-IDF 
48 Q0 CACM-1654 30  0.31727718032798374 TF-IDF 
48 Q0 CACM-1658 31  0.31250040588386396 TF-IDF 
48 Q0 CACM-2589 32  0.3068506647635695 TF-IDF 
48 Q0 CACM-1873 33  0.3051935918773928 TF-IDF 
48 Q0 CACM-2406 34  0.3013104824659193 TF-IDF 
48 Q0 CACM-1880 35  0.30010777152575846 TF-IDF 
48 Q0 CACM-1342 36  0.2996529889448983 TF-IDF 
48 Q0 CACM-1660 37  0.2996529889448983 TF-IDF 
48 Q0 CACM-1353 38  0.29864449835023726 TF-IDF 
48 Q0 CACM-1914 39  0.29796204542217297 TF-IDF 
48 Q0 CACM-1927 40  0.2975366130722486 TF-IDF 
48 Q0 CACM-2510 41  0.2934050983348011 TF-IDF 
48 Q0 CACM-3122 42  0.2928712433796773 TF-IDF 
48 Q0 CACM-2904 43  0.28976596519712877 TF-IDF 
48 Q0 CACM-3019 44  0.2855494622951854 TF-IDF 
48 Q0 CACM-1734 45  0.2847176293962324 TF-IDF 
48 Q0 CACM-1797 46  0.28470048609886345 TF-IDF 
48 Q0 CACM-2273 47  0.2804143369970878 TF-IDF 
48 Q0 CACM-2417 48  0.27710153883572786 TF-IDF 
48 Q0 CACM-3166 49  0.27431388950130664 TF-IDF 
48 Q0 CACM-1809 50  0.2697551170594272 TF-IDF 
48 Q0 CACM-0270 51  0.2696876900504085 TF-IDF 
48 Q0 CACM-0804 52  0.2696876900504085 TF-IDF 
48 Q0 CACM-2968 53  0.2682731931456841 TF-IDF 
48 Q0 CACM-2431 54  0.2679533986812832 TF-IDF 
48 Q0 CACM-2411 55  0.2667635684483321 TF-IDF 
48 Q0 CACM-1759 56  0.26357133773137637 TF-IDF 
48 Q0 CACM-1796 57  0.26310994151259365 TF-IDF 
48 Q0 CACM-2502 58  0.26262473377761375 TF-IDF 
48 Q0 CACM-2930 59  0.2625742182024693 TF-IDF 
