19 Q0 CACM-2973 1  0.20172265252644067 TF-IDF 
19 Q0 CACM-0371 2  0.19976865929659884 TF-IDF 
19 Q0 CACM-0141 3  0.19976258890379972 TF-IDF 
19 Q0 CACM-0392 4  0.18073758043677116 TF-IDF 
19 Q0 CACM-1302 5  0.18073758043677116 TF-IDF 
19 Q0 CACM-2007 6  0.17979179336693898 TF-IDF 
19 Q0 CACM-2685 7  0.17517642411563977 TF-IDF 
19 Q0 CACM-2714 8  0.16922563263825072 TF-IDF 
19 Q0 CACM-1952 9  0.15863981767671087 TF-IDF 
19 Q0 CACM-1158 10  0.15814538288217478 TF-IDF 
19 Q0 CACM-1262 11  0.15031640353157208 TF-IDF 
19 Q0 CACM-1342 12  0.14982649447244914 TF-IDF 
19 Q0 CACM-1660 13  0.14982649447244914 TF-IDF 
19 Q0 CACM-2325 14  0.14777407673994983 TF-IDF 
19 Q0 CACM-3075 15  0.14101026360104835 TF-IDF 
19 Q0 CACM-1367 16  0.14057367367304424 TF-IDF 
19 Q0 CACM-2896 17  0.14057367367304424 TF-IDF 
19 Q0 CACM-2700 18  0.1367743851953944 TF-IDF 
19 Q0 CACM-2182 19  0.13555318532757837 TF-IDF 
19 Q0 CACM-2266 20  0.13541677373096797 TF-IDF 
19 Q0 CACM-0270 21  0.13484384502520425 TF-IDF 
19 Q0 CACM-0804 22  0.13484384502520425 TF-IDF 
19 Q0 CACM-2884 23  0.13484384502520425 TF-IDF 
19 Q0 CACM-1796 24  0.13155497075629682 TF-IDF 
19 Q0 CACM-1828 25  0.12976031415973316 TF-IDF 
19 Q0 CACM-2226 26  0.12543613490716674 TF-IDF 
19 Q0 CACM-1601 27  0.12330230108408871 TF-IDF 
19 Q0 CACM-1795 28  0.12243513513458693 TF-IDF 
19 Q0 CACM-3156 29  0.12037046553863819 TF-IDF 
19 Q0 CACM-3166 30  0.11811139710236868 TF-IDF 
19 Q0 CACM-1374 31  0.11725551741322107 TF-IDF 
19 Q0 CACM-1551 32  0.11725551741322107 TF-IDF 
19 Q0 CACM-2417 33  0.11725551741322107 TF-IDF 
19 Q0 CACM-2557 34  0.11430950309831638 TF-IDF 
19 Q0 CACM-0950 35  0.11357535861306992 TF-IDF 
19 Q0 CACM-2725 36  0.11236987085433686 TF-IDF 
19 Q0 CACM-2952 37  0.11163203497565279 TF-IDF 
19 Q0 CACM-2950 38  0.11159490622775523 TF-IDF 
19 Q0 CACM-2830 39  0.10787507602016339 TF-IDF 
19 Q0 CACM-2785 40  0.10543025525478318 TF-IDF 
19 Q0 CACM-1851 41  0.1037260346347725 TF-IDF 
19 Q0 CACM-1873 42  0.1037260346347725 TF-IDF 
19 Q0 CACM-1953 43  0.1037260346347725 TF-IDF 
19 Q0 CACM-3006 44  0.10293423284366736 TF-IDF 
19 Q0 CACM-1658 45  0.10176893964166357 TF-IDF 
19 Q0 CACM-2902 46  0.10113288376890317 TF-IDF 
19 Q0 CACM-2863 47  0.09988432964829942 TF-IDF 
19 Q0 CACM-2903 48  0.09771293117768423 TF-IDF 
19 Q0 CACM-2273 49  0.09631703216086016 TF-IDF 
19 Q0 CACM-2283 50  0.09631703216086016 TF-IDF 
