54 Q0 CACM-2295 1  0.727502242126304 TF-IDF 
54 Q0 CACM-2958 2  0.48327642601859855 TF-IDF 
54 Q0 CACM-2411 3  0.41514231191307316 TF-IDF 
54 Q0 CACM-0307 4  0.40141070202599005 TF-IDF 
54 Q0 CACM-0308 5  0.40141070202599005 TF-IDF 
54 Q0 CACM-0309 6  0.40141070202599005 TF-IDF 
54 Q0 CACM-2192 7  0.39030178305677166 TF-IDF 
54 Q0 CACM-2732 8  0.375222340416624 TF-IDF 
54 Q0 CACM-0065 9  0.36417701257868706 TF-IDF 
54 Q0 CACM-1213 10  0.3624376996069043 TF-IDF 
54 Q0 CACM-2651 11  0.3611575286065041 TF-IDF 
54 Q0 CACM-3103 12  0.35572961825222116 TF-IDF 
54 Q0 CACM-2814 13  0.3447519054195565 TF-IDF 
54 Q0 CACM-3031 14  0.34285675480451244 TF-IDF 
54 Q0 CACM-2256 15  0.34040414518738216 TF-IDF 
54 Q0 CACM-2940 16  0.3352018643329804 TF-IDF 
54 Q0 CACM-2316 17  0.3348173367191703 TF-IDF 
54 Q0 CACM-2326 18  0.33114296808129745 TF-IDF 
54 Q0 CACM-2796 19  0.3284269380212646 TF-IDF 
54 Q0 CACM-2842 20  0.3274723775110495 TF-IDF 
54 Q0 CACM-3105 21  0.31832269794136686 TF-IDF 
54 Q0 CACM-0920 22  0.3147734788613343 TF-IDF 
54 Q0 CACM-2406 23  0.3099820105040718 TF-IDF 
54 Q0 CACM-3104 24  0.3083559300206419 TF-IDF 
54 Q0 CACM-1339 25  0.30105802651949254 TF-IDF 
54 Q0 CACM-0762 26  0.29833833704067664 TF-IDF 
54 Q0 CACM-2155 27  0.2884046977712528 TF-IDF 
54 Q0 CACM-0822 28  0.283775117935418 TF-IDF 
54 Q0 CACM-2470 29  0.2797857449612411 TF-IDF 
54 Q0 CACM-2148 30  0.27594912632377044 TF-IDF 
54 Q0 CACM-2178 31  0.2713071709338778 TF-IDF 
54 Q0 CACM-0628 32  0.2701329365675521 TF-IDF 
54 Q0 CACM-3073 33  0.2636434292237216 TF-IDF 
54 Q0 CACM-0529 34  0.2610972599407218 TF-IDF 
54 Q0 CACM-2021 35  0.25267226797214026 TF-IDF 
54 Q0 CACM-1789 36  0.2523603136165937 TF-IDF 
54 Q0 CACM-1471 37  0.24353638790712975 TF-IDF 
54 Q0 CACM-2941 38  0.24283092101404838 TF-IDF 
54 Q0 CACM-2227 39  0.24261666067721596 TF-IDF 
54 Q0 CACM-1138 40  0.24100659448114387 TF-IDF 
54 Q0 CACM-0068 41  0.24086587914116914 TF-IDF 
54 Q0 CACM-1922 42  0.2343076140143842 TF-IDF 
54 Q0 CACM-0249 43  0.23213370505200787 TF-IDF 
54 Q0 CACM-2895 44  0.23132776529148597 TF-IDF 
54 Q0 CACM-2442 45  0.23038343123944777 TF-IDF 
54 Q0 CACM-0689 46  0.229140401608251 TF-IDF 
54 Q0 CACM-2972 47  0.2287015513636011 TF-IDF 
54 Q0 CACM-2264 48  0.2285919795468853 TF-IDF 
54 Q0 CACM-2573 49  0.22832203687687314 TF-IDF 
54 Q0 CACM-0394 50  0.2261643479960892 TF-IDF 
