41 Q0 CACM-2578 1  1.0290918153409125 TF-IDF 
41 Q0 CACM-3043 2  0.8010343079120814 TF-IDF 
41 Q0 CACM-3082 3  0.6745307697192535 TF-IDF 
41 Q0 CACM-3137 4  0.6303443081423494 TF-IDF 
41 Q0 CACM-3148 5  0.5971348138985605 TF-IDF 
41 Q0 CACM-2849 6  0.5072675042608837 TF-IDF 
41 Q0 CACM-2327 7  0.4979069998451544 TF-IDF 
41 Q0 CACM-3128 8  0.48258147467358836 TF-IDF 
41 Q0 CACM-0052 9  0.46222436537263745 TF-IDF 
41 Q0 CACM-2128 10  0.46060918401878675 TF-IDF 
41 Q0 CACM-0088 11  0.4342107674712655 TF-IDF 
41 Q0 CACM-2672 12  0.4330157569747461 TF-IDF 
41 Q0 CACM-2949 13  0.4239335895429515 TF-IDF 
41 Q0 CACM-2346 14  0.4108363992811478 TF-IDF 
41 Q0 CACM-2345 15  0.40960992362388754 TF-IDF 
41 Q0 CACM-2311 16  0.40698421898527287 TF-IDF 
41 Q0 CACM-2318 17  0.39937472903991844 TF-IDF 
41 Q0 CACM-1780 18  0.39802653684866 TF-IDF 
41 Q0 CACM-0356 19  0.3978659569906254 TF-IDF 
41 Q0 CACM-1461 20  0.39680961351064103 TF-IDF 
41 Q0 CACM-2995 21  0.39564006467964935 TF-IDF 
41 Q0 CACM-2255 22  0.38743515097740433 TF-IDF 
41 Q0 CACM-2504 23  0.38743515097740433 TF-IDF 
41 Q0 CACM-3141 24  0.3805611966557789 TF-IDF 
41 Q0 CACM-2407 25  0.3779139176291819 TF-IDF 
41 Q0 CACM-2371 26  0.37690081167066025 TF-IDF 
41 Q0 CACM-2482 27  0.3592565178699677 TF-IDF 
41 Q0 CACM-1747 28  0.3584959398465755 TF-IDF 
41 Q0 CACM-3119 29  0.35530440973273997 TF-IDF 
41 Q0 CACM-0025 30  0.35271965645390313 TF-IDF 
41 Q0 CACM-1828 31  0.3363953686641027 TF-IDF 
41 Q0 CACM-2111 32  0.33499841080851606 TF-IDF 
41 Q0 CACM-1755 33  0.3298500324491257 TF-IDF 
41 Q0 CACM-2080 34  0.32901929823324927 TF-IDF 
41 Q0 CACM-2323 35  0.32855800109907485 TF-IDF 
41 Q0 CACM-2479 36  0.32787735118118766 TF-IDF 
41 Q0 CACM-1136 37  0.32680168124636755 TF-IDF 
41 Q0 CACM-2435 38  0.32624187229336266 TF-IDF 
41 Q0 CACM-2376 39  0.3238905119288811 TF-IDF 
41 Q0 CACM-0136 40  0.3220819651828872 TF-IDF 
41 Q0 CACM-1967 41  0.3181588198067371 TF-IDF 
41 Q0 CACM-1751 42  0.3167949173068478 TF-IDF 
41 Q0 CACM-1754 43  0.311945547359872 TF-IDF 
41 Q0 CACM-0643 44  0.31086005081972445 TF-IDF 
41 Q0 CACM-1341 45  0.30927874569250247 TF-IDF 
41 Q0 CACM-0270 46  0.3062320654775481 TF-IDF 
41 Q0 CACM-0018 47  0.30233113410334556 TF-IDF 
41 Q0 CACM-0597 48  0.30233113410334556 TF-IDF 
41 Q0 CACM-0652 49  0.30233113410334556 TF-IDF 
41 Q0 CACM-1360 50  0.30233113410334556 TF-IDF 
41 Q0 CACM-1912 51  0.30233113410334556 TF-IDF 
41 Q0 CACM-2583 52  0.30233113410334556 TF-IDF 
41 Q0 CACM-2522 53  0.2967539464016128 TF-IDF 
41 Q0 CACM-1959 54  0.2949944513112235 TF-IDF 
41 Q0 CACM-2738 55  0.29477450427016233 TF-IDF 
41 Q0 CACM-1948 56  0.290802912818113 TF-IDF 
41 Q0 CACM-3150 57  0.2891997154214472 TF-IDF 
