20 Q0 CACM-1963 1  0.4395548574400309 TF-IDF 
20 Q0 CACM-2199 2  0.37980730694666986 TF-IDF 
20 Q0 CACM-2506 3  0.37980730694666986 TF-IDF 
20 Q0 CACM-2172 4  0.32741838181639304 TF-IDF 
20 Q0 CACM-2630 5  0.2973216356083808 TF-IDF 
20 Q0 CACM-2442 6  0.2753602975363357 TF-IDF 
20 Q0 CACM-2290 7  0.2678877669406852 TF-IDF 
20 Q0 CACM-2934 8  0.2534851988255946 TF-IDF 
20 Q0 CACM-1047 9  0.2418714559458371 TF-IDF 
20 Q0 CACM-2335 10  0.2380922144466834 TF-IDF 
20 Q0 CACM-1563 11  0.23276223549907568 TF-IDF 
20 Q0 CACM-0749 12  0.22408679006746673 TF-IDF 
20 Q0 CACM-1481 13  0.2182789212109287 TF-IDF 
20 Q0 CACM-2430 14  0.2182789212109287 TF-IDF 
20 Q0 CACM-2461 15  0.2182789212109287 TF-IDF 
20 Q0 CACM-2490 16  0.21642466389726472 TF-IDF 
20 Q0 CACM-2752 17  0.21237949090793065 TF-IDF 
20 Q0 CACM-0315 18  0.21163752395260746 TF-IDF 
20 Q0 CACM-2133 19  0.21163752395260746 TF-IDF 
20 Q0 CACM-2758 20  0.21163752395260746 TF-IDF 
20 Q0 CACM-0349 21  0.20049870690247024 TF-IDF 
20 Q0 CACM-0371 22  0.19976865929659884 TF-IDF 
20 Q0 CACM-0635 23  0.19047377155734674 TF-IDF 
20 Q0 CACM-0777 24  0.19047377155734674 TF-IDF 
20 Q0 CACM-0936 25  0.19047377155734674 TF-IDF 
20 Q0 CACM-0956 26  0.19047377155734674 TF-IDF 
20 Q0 CACM-2368 27  0.18410924051464525 TF-IDF 
20 Q0 CACM-0256 28  0.18140359195937783 TF-IDF 
20 Q0 CACM-0285 29  0.18140359195937783 TF-IDF 
20 Q0 CACM-0301 30  0.18140359195937783 TF-IDF 
20 Q0 CACM-0511 31  0.18140359195937783 TF-IDF 
20 Q0 CACM-0896 32  0.18140359195937783 TF-IDF 
20 Q0 CACM-1151 33  0.18140359195937783 TF-IDF 
20 Q0 CACM-1876 34  0.18140359195937783 TF-IDF 
20 Q0 CACM-2778 35  0.18140359195937783 TF-IDF 
20 Q0 CACM-2007 36  0.17979179336693898 TF-IDF 
20 Q0 CACM-2790 37  0.1785918446271235 TF-IDF 
20 Q0 CACM-2695 38  0.174127190408816 TF-IDF 
20 Q0 CACM-0496 39  0.1731579741430425 TF-IDF 
20 Q0 CACM-0660 40  0.1731579741430425 TF-IDF 
20 Q0 CACM-0955 41  0.1731579741430425 TF-IDF 
20 Q0 CACM-2405 42  0.1721001859602098 TF-IDF 
20 Q0 CACM-2780 43  0.16470985925111514 TF-IDF 
20 Q0 CACM-1983 44  0.16370919090819652 TF-IDF 
20 Q0 CACM-2161 45  0.16370919090819652 TF-IDF 
20 Q0 CACM-3139 46  0.15971628381287467 TF-IDF 
20 Q0 CACM-0751 47  0.1587281429644556 TF-IDF 
20 Q0 CACM-1952 48  0.15863981767671087 TF-IDF 
20 Q0 CACM-2134 49  0.15709177035657462 TF-IDF 
20 Q0 CACM-2805 50  0.15709177035657462 TF-IDF 
20 Q0 CACM-2769 51  0.15583178780788665 TF-IDF 
20 Q0 CACM-2986 52  0.1540399472321593 TF-IDF 
20 Q0 CACM-2177 53  0.15111617622295065 TF-IDF 
20 Q0 CACM-1342 54  0.14982649447244914 TF-IDF 
20 Q0 CACM-1660 55  0.14982649447244914 TF-IDF 
20 Q0 CACM-2325 56  0.14777407673994983 TF-IDF 
20 Q0 CACM-1707 57  0.14651828581334364 TF-IDF 
20 Q0 CACM-0661 58  0.14492647238754508 TF-IDF 
20 Q0 CACM-0070 59  0.13852637931443398 TF-IDF 
