4 Q0 CACM-2844 1  0.6211688735699055 TF-IDF 
4 Q0 CACM-3043 2  0.4888252336415362 TF-IDF 
4 Q0 CACM-1943 3  0.3381446505551279 TF-IDF 
4 Q0 CACM-0483 4  0.32637686577401814 TF-IDF 
4 Q0 CACM-2377 5  0.28984228982800486 TF-IDF 
4 Q0 CACM-2445 6  0.25702817047899656 TF-IDF 
4 Q0 CACM-2578 7  0.24493940729148309 TF-IDF 
4 Q0 CACM-2870 8  0.24374981114768446 TF-IDF 
4 Q0 CACM-3128 9  0.2423261031742084 TF-IDF 
4 Q0 CACM-2939 10  0.23883843548314534 TF-IDF 
4 Q0 CACM-3103 11  0.2353405278374714 TF-IDF 
4 Q0 CACM-2895 12  0.22953963251305864 TF-IDF 
4 Q0 CACM-2958 13  0.22328809249884204 TF-IDF 
4 Q0 CACM-0425 14  0.2191678290635088 TF-IDF 
4 Q0 CACM-0403 15  0.21113931131668925 TF-IDF 
4 Q0 CACM-2519 16  0.2109560269642964 TF-IDF 
4 Q0 CACM-2342 17  0.20810188680723862 TF-IDF 
4 Q0 CACM-0876 18  0.20763268016542938 TF-IDF 
4 Q0 CACM-2742 19  0.20306973398139516 TF-IDF 
4 Q0 CACM-1759 20  0.2011524812444321 TF-IDF 
4 Q0 CACM-0883 21  0.19725104615715794 TF-IDF 
4 Q0 CACM-0412 22  0.19291768741705245 TF-IDF 
4 Q0 CACM-3137 23  0.18916112642312558 TF-IDF 
4 Q0 CACM-3148 24  0.18788181844777763 TF-IDF 
4 Q0 CACM-0345 25  0.17931913287014356 TF-IDF 
4 Q0 CACM-3073 26  0.17789897326312146 TF-IDF 
4 Q0 CACM-2626 27  0.17193067036309884 TF-IDF 
4 Q0 CACM-3018 28  0.17189708834811518 TF-IDF 
4 Q0 CACM-0346 29  0.17152264883231122 TF-IDF 
4 Q0 CACM-2439 30  0.16836259633319978 TF-IDF 
4 Q0 CACM-2376 31  0.16668855966463825 TF-IDF 
4 Q0 CACM-0253 32  0.1660370951609978 TF-IDF 
4 Q0 CACM-0877 33  0.16437587179763158 TF-IDF 
4 Q0 CACM-1494 34  0.16437587179763158 TF-IDF 
4 Q0 CACM-0074 35  0.16113263232063127 TF-IDF 
4 Q0 CACM-2501 36  0.16068105983322364 TF-IDF 
4 Q0 CACM-3082 37  0.16054851906500572 TF-IDF 
4 Q0 CACM-1985 38  0.15953472650420478 TF-IDF 
4 Q0 CACM-2331 39  0.15953472650420478 TF-IDF 
4 Q0 CACM-1369 40  0.1582452495096637 TF-IDF 
4 Q0 CACM-2849 41  0.15746104754452486 TF-IDF 
4 Q0 CACM-3171 42  0.15543598258810337 TF-IDF 
4 Q0 CACM-2949 43  0.15499908724988504 TF-IDF 
4 Q0 CACM-0052 44  0.15407478845754582 TF-IDF 
4 Q0 CACM-0091 45  0.1530760007045997 TF-IDF 
4 Q0 CACM-2170 46  0.1515264927857363 TF-IDF 
4 Q0 CACM-2371 47  0.14947148844483843 TF-IDF 
4 Q0 CACM-3049 48  0.14888323873909207 TF-IDF 
4 Q0 CACM-3141 49  0.14740772546687766 TF-IDF 
4 Q0 CACM-1150 50  0.145786667337714 TF-IDF 
4 Q0 CACM-2900 51  0.14501018489129616 TF-IDF 
4 Q0 CACM-0409 52  0.14500893768109205 TF-IDF 
4 Q0 CACM-0088 53  0.14473692249042183 TF-IDF 
4 Q0 CACM-1863 54  0.14457834589443558 TF-IDF 
4 Q0 CACM-2848 55  0.1433039011892383 TF-IDF 
4 Q0 CACM-1399 56  0.14191496288696176 TF-IDF 
4 Q0 CACM-2558 57  0.14158996382843433 TF-IDF 
4 Q0 CACM-2536 58  0.14029749673821765 TF-IDF 
4 Q0 CACM-1729 59  0.1401971838976345 TF-IDF 
4 Q0 CACM-2223 60  0.1401971838976345 TF-IDF 
4 Q0 CACM-1153 61  0.13996140100492704 TF-IDF 
