38 Q0 CACM-2082 1  26.268553977525592 SMQ 
38 Q0 CACM-2941 2  23.61126777610448 SMQ 
38 Q0 CACM-2867 3  19.711598435264914 SMQ 
38 Q0 CACM-2958 4  18.19095905579321 SMQ 
38 Q0 CACM-2582 5  17.66092819077171 SMQ 
38 Q0 CACM-2705 6  17.582278797091824 SMQ 
38 Q0 CACM-3103 7  16.840184845834035 SMQ 
38 Q0 CACM-3031 8  16.546529386321613 SMQ 
38 Q0 CACM-3105 9  16.515737887517012 SMQ 
38 Q0 CACM-1359 10  15.304348756609931 SMQ 
38 Q0 CACM-0670 11  15.190001233988385 SMQ 
38 Q0 CACM-2651 12  13.715026364915275 SMQ 
38 Q0 CACM-2356 13  12.530333354088599 SMQ 
38 Q0 CACM-3148 14  12.403842891598647 SMQ 
38 Q0 CACM-3087 15  12.161242798019808 SMQ 
38 Q0 CACM-2233 16  12.08120210307878 SMQ 
38 Q0 CACM-2956 17  11.843352058417262 SMQ 
38 Q0 CACM-2940 18  11.835264068548234 SMQ 
38 Q0 CACM-2247 19  11.816749357976915 SMQ 
38 Q0 CACM-1625 20  11.285602500464346 SMQ 
38 Q0 CACM-1614 21  11.271850276484308 SMQ 
38 Q0 CACM-0483 22  10.922047691980556 SMQ 
38 Q0 CACM-0616 23  10.826463147211957 SMQ 
38 Q0 CACM-1907 24  10.768224912325365 SMQ 
38 Q0 CACM-2084 25  10.724190724976221 SMQ 
38 Q0 CACM-2109 26  10.685695848097406 SMQ 
38 Q0 CACM-2470 27  10.428547123117436 SMQ 
38 Q0 CACM-1698 28  10.42240230388321 SMQ 
38 Q0 CACM-1806 29  10.38837838559025 SMQ 
38 Q0 CACM-2957 30  10.249178338556224 SMQ 
38 Q0 CACM-2931 31  10.229270501167715 SMQ 
38 Q0 CACM-1768 32  10.000642075753948 SMQ 
38 Q0 CACM-1456 33  9.939117878389794 SMQ 
38 Q0 CACM-0492 34  9.861171948014755 SMQ 
38 Q0 CACM-1033 35  9.76391370337948 SMQ 
38 Q0 CACM-2184 36  9.642315627298835 SMQ 
38 Q0 CACM-2937 37  9.553388392095643 SMQ 
38 Q0 CACM-2141 38  9.329723332300187 SMQ 
38 Q0 CACM-2002 39  9.035881755224034 SMQ 
38 Q0 CACM-0618 40  8.8775756275318 SMQ 
38 Q0 CACM-2939 41  8.824357698228777 SMQ 
38 Q0 CACM-2341 42  8.685464359160889 SMQ 
38 Q0 CACM-2832 43  8.593908233354645 SMQ 
38 Q0 CACM-1717 44  8.515924450396689 SMQ 
38 Q0 CACM-0435 45  8.293040450870377 SMQ 
38 Q0 CACM-2265 46  8.292601048713792 SMQ 
38 Q0 CACM-2558 47  8.271098802631105 SMQ 
38 Q0 CACM-0252 48  8.085087478681734 SMQ 
38 Q0 CACM-0024 49  7.673664613882948 SMQ 
38 Q0 CACM-1324 50  7.618091705238253 SMQ 
38 Q0 CACM-0583 51  7.573630092126321 SMQ 
38 Q0 CACM-2113 52  7.52158031166204 SMQ 
38 Q0 CACM-1426 53  7.476112221193166 SMQ 
38 Q0 CACM-2424 54  7.448365968207775 SMQ 
38 Q0 CACM-3142 55  7.340123517457451 SMQ 
38 Q0 CACM-2632 56  7.325664938691229 SMQ 
38 Q0 CACM-1470 57  7.180341132566491 SMQ 
38 Q0 CACM-2527 58  7.14333129413912 SMQ 
38 Q0 CACM-1108 59  7.08196747650607 SMQ 
38 Q0 CACM-0463 60  7.076207922510572 SMQ 
38 Q0 CACM-3006 61  6.989162297745807 SMQ 
38 Q0 CACM-2450 62  6.944899923956132 SMQ 
38 Q0 CACM-1737 63  6.936572717795456 SMQ 
38 Q0 CACM-1569 64  6.853275591707072 SMQ 
38 Q0 CACM-1182 65  6.834525497075941 SMQ 
38 Q0 CACM-3106 66  6.832999396210278 SMQ 
38 Q0 CACM-0867 67  6.688861260216913 SMQ 
38 Q0 CACM-2572 68  6.676435599889021 SMQ 
38 Q0 CACM-0897 69  6.671165210819145 SMQ 
38 Q0 CACM-1527 70  6.6131473442087065 SMQ 
38 Q0 CACM-1739 71  6.571215103545199 SMQ 
38 Q0 CACM-1181 72  6.563788723392531 SMQ 
38 Q0 CACM-0242 73  6.541544430426081 SMQ 
38 Q0 CACM-2046 74  6.531604479875069 SMQ 
38 Q0 CACM-2897 75  6.524432975151201 SMQ 
38 Q0 CACM-1435 76  6.491550083922867 SMQ 
38 Q0 CACM-1364 77  6.385219790591649 SMQ 
38 Q0 CACM-2167 78  6.365624990372495 SMQ 
38 Q0 CACM-1769 79  6.360221843879718 SMQ 
38 Q0 CACM-3166 80  6.342906391651924 SMQ 
38 Q0 CACM-1867 81  6.293551300762312 SMQ 
38 Q0 CACM-1014 82  6.283999620596128 SMQ 
38 Q0 CACM-3133 83  6.247782169075167 SMQ 
38 Q0 CACM-2310 84  6.230758705651857 SMQ 
38 Q0 CACM-0251 85  6.228369751228258 SMQ 
38 Q0 CACM-0619 86  6.169622788516438 SMQ 
38 Q0 CACM-0243 87  6.1653943773347475 SMQ 
38 Q0 CACM-1475 88  6.163286885748923 SMQ 
38 Q0 CACM-1390 89  6.156991041289252 SMQ 
38 Q0 CACM-3067 90  6.128320945447222 SMQ 
38 Q0 CACM-2083 91  6.110848945779116 SMQ 
38 Q0 CACM-0605 92  6.106809742933397 SMQ 
38 Q0 CACM-1397 93  6.063224578839553 SMQ 
38 Q0 CACM-2667 94  6.058468507081201 SMQ 
38 Q0 CACM-1012 95  6.0500666467865445 SMQ 
38 Q0 CACM-2252 96  6.027304370084835 SMQ 
38 Q0 CACM-2299 97  6.0108175063817075 SMQ 
38 Q0 CACM-0253 98  5.979284150050939 SMQ 
38 Q0 CACM-3003 99  5.942354276764981 SMQ 
38 Q0 CACM-2032 100  5.909435556679542 SMQ 
