63 Q0 CACM-2289 1  19.14285320272451 SMQ 
63 Q0 CACM-3075 2  18.083246829625683 SMQ 
63 Q0 CACM-2266 3  17.432299117244092 SMQ 
63 Q0 CACM-2114 4  16.169692222888884 SMQ 
63 Q0 CACM-2884 5  16.115374410562183 SMQ 
63 Q0 CACM-2973 6  15.981279970693496 SMQ 
63 Q0 CACM-2896 7  15.156182044153962 SMQ 
63 Q0 CACM-1795 8  13.790236453044784 SMQ 
63 Q0 CACM-2557 9  13.783595214531267 SMQ 
63 Q0 CACM-3061 10  13.668056781526197 SMQ 
63 Q0 CACM-3156 11  13.582782107806041 SMQ 
63 Q0 CACM-0950 12  13.362500417522778 SMQ 
63 Q0 CACM-1601 13  13.340361793423122 SMQ 
63 Q0 CACM-3073 14  13.163666374724329 SMQ 
63 Q0 CACM-2700 15  12.760009060737367 SMQ 
63 Q0 CACM-1468 16  12.721412533096682 SMQ 
63 Q0 CACM-2679 17  12.440479744854024 SMQ 
63 Q0 CACM-2838 18  12.405043512948932 SMQ 
63 Q0 CACM-2895 19  12.31756688922249 SMQ 
63 Q0 CACM-2785 20  12.271224119409805 SMQ 
63 Q0 CACM-2570 21  12.217330930083186 SMQ 
63 Q0 CACM-2325 22  12.1389174013524 SMQ 
63 Q0 CACM-2767 23  12.08338094767505 SMQ 
63 Q0 CACM-3166 24  11.760513266523848 SMQ 
63 Q0 CACM-2433 25  11.728668317994508 SMQ 
63 Q0 CACM-2337 26  11.71012614977308 SMQ 
63 Q0 CACM-1957 27  11.499980632813603 SMQ 
63 Q0 CACM-1846 28  11.48071031031387 SMQ 
63 Q0 CACM-2898 29  11.437527709658871 SMQ 
63 Q0 CACM-3059 30  11.387064115523543 SMQ 
63 Q0 CACM-3131 31  11.205617450782407 SMQ 
63 Q0 CACM-2740 32  11.148089240759644 SMQ 
63 Q0 CACM-2232 33  11.005783016867298 SMQ 
63 Q0 CACM-2324 34  10.925618591312602 SMQ 
63 Q0 CACM-2692 35  10.873996822447488 SMQ 
63 Q0 CACM-1536 36  10.795735451738281 SMQ 
63 Q0 CACM-0320 37  10.759550027429077 SMQ 
63 Q0 CACM-2851 38  10.692936778153658 SMQ 
63 Q0 CACM-2837 39  10.271335350969093 SMQ 
