47 Q0 CACM-1032 1  19.368493514428906 SMQ 
47 Q0 CACM-1699 2  19.219419312615965 SMQ 
47 Q0 CACM-2451 3  18.60951026862434 SMQ 
47 Q0 CACM-2288 4  17.851325110747936 SMQ 
47 Q0 CACM-2990 5  17.833277232053693 SMQ 
47 Q0 CACM-2278 6  17.810796428798387 SMQ 
47 Q0 CACM-2516 7  17.163410914709573 SMQ 
47 Q0 CACM-2979 8  17.13235946902509 SMQ 
47 Q0 CACM-3012 9  16.809304911754534 SMQ 
47 Q0 CACM-1937 10  16.713960417329467 SMQ 
47 Q0 CACM-2307 11  16.424739030166265 SMQ 
47 Q0 CACM-1194 12  16.411054929606756 SMQ 
47 Q0 CACM-2258 13  16.203475181106075 SMQ 
47 Q0 CACM-1680 14  16.16091256594196 SMQ 
47 Q0 CACM-2711 15  16.0074782294863 SMQ 
47 Q0 CACM-2370 16  15.794222455126953 SMQ 
47 Q0 CACM-0275 17  15.513965501818006 SMQ 
47 Q0 CACM-2976 18  15.388258761746751 SMQ 
47 Q0 CACM-2070 19  15.340843307809973 SMQ 
47 Q0 CACM-1236 20  15.281168268029411 SMQ 
47 Q0 CACM-3087 21  15.133720789438009 SMQ 
47 Q0 CACM-1359 22  15.075564166395287 SMQ 
47 Q0 CACM-1935 23  15.011398178964892 SMQ 
47 Q0 CACM-1506 24  14.999457393164626 SMQ 
47 Q0 CACM-2547 25  14.922225188581542 SMQ 
47 Q0 CACM-2765 26  14.848368829380503 SMQ 
47 Q0 CACM-2947 27  14.589945123443378 SMQ 
47 Q0 CACM-2882 28  14.48826929869601 SMQ 
47 Q0 CACM-2722 29  14.447590773288116 SMQ 
47 Q0 CACM-2114 30  14.018932224671042 SMQ 
47 Q0 CACM-2970 31  13.994029364676692 SMQ 
47 Q0 CACM-0891 32  13.888947352525394 SMQ 
47 Q0 CACM-3134 33  13.81147312643461 SMQ 
47 Q0 CACM-2965 34  13.717020206658063 SMQ 
47 Q0 CACM-3168 35  13.608918258139813 SMQ 
47 Q0 CACM-0944 36  13.48591189448708 SMQ 
47 Q0 CACM-3169 37  13.401789390758209 SMQ 
47 Q0 CACM-2318 38  13.374816189879109 SMQ 
47 Q0 CACM-1927 39  13.30245071231876 SMQ 
47 Q0 CACM-1855 40  13.163698980594678 SMQ 
47 Q0 CACM-1698 41  13.145715524384627 SMQ 
47 Q0 CACM-2984 42  13.144107491585423 SMQ 
47 Q0 CACM-1681 43  13.143232063148307 SMQ 
47 Q0 CACM-2716 44  13.040583077054315 SMQ 
47 Q0 CACM-1271 45  12.992168087883464 SMQ 
47 Q0 CACM-2293 46  12.963973471343156 SMQ 
47 Q0 CACM-2991 47  12.77828264074831 SMQ 
47 Q0 CACM-1830 48  12.716693971843483 SMQ 
47 Q0 CACM-1652 49  12.706189233770317 SMQ 
47 Q0 CACM-3041 50  12.68804952010408 SMQ 
47 Q0 CACM-2157 51  12.640976643741336 SMQ 
47 Q0 CACM-0651 52  12.628733887311327 SMQ 
47 Q0 CACM-1267 53  12.470409431660475 SMQ 
47 Q0 CACM-2622 54  12.440925349923535 SMQ 
47 Q0 CACM-2046 55  12.41877541390401 SMQ 
47 Q0 CACM-2203 56  12.332580454811938 SMQ 
47 Q0 CACM-0440 57  12.321262967061255 SMQ 
47 Q0 CACM-1514 58  12.31510289106987 SMQ 
47 Q0 CACM-2535 59  12.302169273640192 SMQ 
47 Q0 CACM-2319 60  12.254105580281207 SMQ 
47 Q0 CACM-0798 61  12.208867029131085 SMQ 
47 Q0 CACM-2372 62  12.116027662629953 SMQ 
47 Q0 CACM-2645 63  12.00347350072838 SMQ 
47 Q0 CACM-1457 64  11.932080717399664 SMQ 
47 Q0 CACM-0239 65  11.918120468872981 SMQ 
47 Q0 CACM-2848 66  11.884768881431121 SMQ 
47 Q0 CACM-2532 67  11.81498590359802 SMQ 
47 Q0 CACM-2519 68  11.762734773203505 SMQ 
47 Q0 CACM-1415 69  11.655025599622615 SMQ 
47 Q0 CACM-1427 70  11.649671149303998 SMQ 
47 Q0 CACM-0292 71  11.619185398306097 SMQ 
47 Q0 CACM-1831 72  11.619185398306097 SMQ 
47 Q0 CACM-1695 73  11.616591473884153 SMQ 
47 Q0 CACM-2092 74  11.609607176079964 SMQ 
47 Q0 CACM-3086 75  11.59304754748172 SMQ 
47 Q0 CACM-1651 76  11.543304804540774 SMQ 
47 Q0 CACM-2832 77  11.540293441408764 SMQ 
47 Q0 CACM-1828 78  11.526520665118838 SMQ 
47 Q0 CACM-1827 79  11.433346692213249 SMQ 
47 Q0 CACM-1489 80  11.429620747002396 SMQ 
47 Q0 CACM-2530 81  11.348462986257074 SMQ 
47 Q0 CACM-1469 82  11.333223302777633 SMQ 
47 Q0 CACM-0892 83  11.31496255752877 SMQ 
47 Q0 CACM-1908 84  11.26938423413628 SMQ 
47 Q0 CACM-2561 85  11.237558940162149 SMQ 
47 Q0 CACM-2552 86  11.181244226811032 SMQ 
47 Q0 CACM-2140 87  11.136774027120964 SMQ 
47 Q0 CACM-2669 88  11.08721928634276 SMQ 
47 Q0 CACM-2598 89  11.055450042486877 SMQ 
47 Q0 CACM-2795 90  11.028800063793863 SMQ 
47 Q0 CACM-2781 91  11.023292233418395 SMQ 
47 Q0 CACM-2889 92  10.969586544939919 SMQ 
47 Q0 CACM-1938 93  10.953931331326828 SMQ 
47 Q0 CACM-2412 94  10.947488062628377 SMQ 
47 Q0 CACM-3072 95  10.878624639994328 SMQ 
47 Q0 CACM-2860 96  10.853256128293891 SMQ 
47 Q0 CACM-2424 97  10.798455092116004 SMQ 
47 Q0 CACM-1700 98  10.682308952910939 SMQ 
47 Q0 CACM-2453 99  10.663465069465664 SMQ 
47 Q0 CACM-2742 100  10.62327649820343 SMQ 
