61 Q0 CACM-2711 1  33.22217026603491 SMQ 
61 Q0 CACM-2307 2  29.630262635391762 SMQ 
61 Q0 CACM-1236 3  24.429731257602313 SMQ 
61 Q0 CACM-2451 4  21.816315491194512 SMQ 
61 Q0 CACM-1927 5  21.06052763912806 SMQ 
61 Q0 CACM-1457 6  20.358653304819853 SMQ 
61 Q0 CACM-0634 7  20.128369851021674 SMQ 
61 Q0 CACM-2990 8  18.343206485184453 SMQ 
61 Q0 CACM-2631 9  17.41140330288205 SMQ 
61 Q0 CACM-3134 10  17.2563537203996 SMQ 
61 Q0 CACM-1287 11  15.849437461670497 SMQ 
61 Q0 CACM-2160 12  15.83203335576735 SMQ 
61 Q0 CACM-2916 13  15.760626842504378 SMQ 
61 Q0 CACM-2991 14  15.413242456029314 SMQ 
61 Q0 CACM-2746 15  15.295632361867533 SMQ 
61 Q0 CACM-2140 16  15.289069766702891 SMQ 
61 Q0 CACM-1830 17  15.152789441275065 SMQ 
61 Q0 CACM-2947 18  15.127337141155245 SMQ 
61 Q0 CACM-2114 19  15.029449985319843 SMQ 
61 Q0 CACM-2882 20  14.954687139645912 SMQ 
61 Q0 CACM-1935 21  14.851814913557137 SMQ 
61 Q0 CACM-2288 22  14.179979614792229 SMQ 
61 Q0 CACM-2561 23  13.784919770199245 SMQ 
61 Q0 CACM-2976 24  13.69100472129784 SMQ 
61 Q0 CACM-2251 25  13.452237521003173 SMQ 
61 Q0 CACM-2965 26  13.440156773692149 SMQ 
61 Q0 CACM-0239 27  13.406466096710538 SMQ 
61 Q0 CACM-3168 28  13.357303026586845 SMQ 
61 Q0 CACM-3169 29  13.198414850967822 SMQ 
61 Q0 CACM-2278 30  13.137020380479573 SMQ 
61 Q0 CACM-2107 31  13.100508126749853 SMQ 
61 Q0 CACM-3072 32  12.877917847905271 SMQ 
61 Q0 CACM-2109 33  12.807865302696936 SMQ 
61 Q0 CACM-1194 34  12.605690714281273 SMQ 
61 Q0 CACM-2258 35  12.571464522677896 SMQ 
61 Q0 CACM-2530 36  11.793887710589928 SMQ 
61 Q0 CACM-2437 37  11.644736882442889 SMQ 
61 Q0 CACM-2033 38  11.267537325607828 SMQ 
61 Q0 CACM-2722 39  11.08865551740466 SMQ 
61 Q0 CACM-2974 40  10.964474409112398 SMQ 
61 Q0 CACM-2575 41  10.847275982570196 SMQ 
61 Q0 CACM-3041 42  10.759602493277495 SMQ 
61 Q0 CACM-2765 43  10.725039962651518 SMQ 
61 Q0 CACM-1916 44  10.716142738860384 SMQ 
61 Q0 CACM-1046 45  10.550786409857363 SMQ 
61 Q0 CACM-1700 46  10.523696412643126 SMQ 
61 Q0 CACM-1699 47  10.267277430678934 SMQ 
61 Q0 CACM-2018 48  10.265646937160378 SMQ 
61 Q0 CACM-2968 49  10.259127710039216 SMQ 
61 Q0 CACM-1992 50  10.076846928408965 SMQ 
61 Q0 CACM-0397 51  9.989545941111846 SMQ 
61 Q0 CACM-2753 52  9.983659028078433 SMQ 
61 Q0 CACM-1976 53  9.969547827678845 SMQ 
61 Q0 CACM-1928 54  9.776046340124715 SMQ 
61 Q0 CACM-2987 55  9.704805907239006 SMQ 
61 Q0 CACM-1032 56  9.63948758133277 SMQ 
61 Q0 CACM-3129 57  9.636767743077169 SMQ 
61 Q0 CACM-2203 58  9.616949987237591 SMQ 
61 Q0 CACM-3147 59  9.407333941190462 SMQ 
61 Q0 CACM-0615 60  9.33423063930969 SMQ 
61 Q0 CACM-2524 61  9.252355659498514 SMQ 
61 Q0 CACM-2494 62  9.204886672088595 SMQ 
61 Q0 CACM-2883 63  9.07896801749338 SMQ 
61 Q0 CACM-2795 64  9.06352767177065 SMQ 
61 Q0 CACM-2688 65  8.958656829749945 SMQ 
61 Q0 CACM-0944 66  8.880944872677192 SMQ 
61 Q0 CACM-2685 67  8.841556102832847 SMQ 
61 Q0 CACM-2736 68  8.780795049203576 SMQ 
61 Q0 CACM-1455 69  8.750711716942927 SMQ 
61 Q0 CACM-2293 70  8.681568244528359 SMQ 
61 Q0 CACM-2809 71  8.674414120838371 SMQ 
61 Q0 CACM-1683 72  8.556218847418576 SMQ 
61 Q0 CACM-2141 73  8.553640208290302 SMQ 
61 Q0 CACM-2157 74  8.466178583839401 SMQ 
