3 Q0 CACM-2061 1  10.03817559673206 SMQ 
3 Q0 CACM-2921 2  9.631772392245018 SMQ 
3 Q0 CACM-0799 3  8.856299071473005 SMQ 
3 Q0 CACM-2411 4  8.337147365746805 SMQ 
3 Q0 CACM-1988 5  8.1649881571982 SMQ 
3 Q0 CACM-0205 6  8.007020303935914 SMQ 
3 Q0 CACM-1496 7  7.990791268904838 SMQ 
3 Q0 CACM-2112 8  7.990247269527007 SMQ 
3 Q0 CACM-1223 9  7.433535253610752 SMQ 
3 Q0 CACM-1350 10  7.32599248315025 SMQ 
3 Q0 CACM-3102 11  7.277752031644656 SMQ 
3 Q0 CACM-2939 12  7.167307923152636 SMQ 
3 Q0 CACM-2886 13  6.979405660265213 SMQ 
3 Q0 CACM-2579 14  6.912273464356423 SMQ 
3 Q0 CACM-2732 15  6.888935024284824 SMQ 
3 Q0 CACM-3093 16  6.874978124145418 SMQ 
3 Q0 CACM-3030 17  6.746849154098038 SMQ 
3 Q0 CACM-2684 18  6.7245933653368315 SMQ 
3 Q0 CACM-1788 19  6.681058569483611 SMQ 
3 Q0 CACM-2534 20  6.234848431482556 SMQ 
3 Q0 CACM-2138 21  6.228538535175046 SMQ 
3 Q0 CACM-2929 22  6.103556115001215 SMQ 
3 Q0 CACM-1135 23  6.096518931549857 SMQ 
3 Q0 CACM-0929 24  6.061322441180393 SMQ 
3 Q0 CACM-1402 25  5.893815828749415 SMQ 
3 Q0 CACM-1134 26  5.851376052302216 SMQ 
3 Q0 CACM-0252 27  5.697704580801561 SMQ 
3 Q0 CACM-0077 28  5.679417544921104 SMQ 
3 Q0 CACM-1313 29  5.679417544921104 SMQ 
3 Q0 CACM-0100 30  5.665281702271167 SMQ 
3 Q0 CACM-3115 31  5.645698471565791 SMQ 
3 Q0 CACM-0051 32  5.552049821425851 SMQ 
3 Q0 CACM-2587 33  5.552049821425851 SMQ 
3 Q0 CACM-1783 34  5.475399091883047 SMQ 
3 Q0 CACM-1658 35  5.465960238148091 SMQ 
3 Q0 CACM-1392 36  5.420068558180812 SMQ 
