60 Q0 CACM-2967 1  32.78999245159943 SMQ 
60 Q0 CACM-3026 2  27.9568657381388 SMQ 
60 Q0 CACM-2311 3  26.728606270780418 SMQ 
60 Q0 CACM-3087 4  25.71699160889995 SMQ 
60 Q0 CACM-2593 5  25.347035191947768 SMQ 
60 Q0 CACM-3049 6  23.424204183422578 SMQ 
60 Q0 CACM-1750 7  23.279245243845253 SMQ 
60 Q0 CACM-2151 8  23.060958662805486 SMQ 
60 Q0 CACM-1518 9  22.892036548224052 SMQ 
60 Q0 CACM-2738 10  22.70928994831487 SMQ 
60 Q0 CACM-3142 11  21.93715836438801 SMQ 
60 Q0 CACM-2516 12  20.617936053445796 SMQ 
60 Q0 CACM-2812 13  20.526553324399607 SMQ 
60 Q0 CACM-3137 14  20.35390154685763 SMQ 
60 Q0 CACM-3136 15  20.11011861363347 SMQ 
60 Q0 CACM-3025 16  20.088987046177756 SMQ 
60 Q0 CACM-2424 17  19.64592599954201 SMQ 
60 Q0 CACM-2358 18  19.53512744034708 SMQ 
60 Q0 CACM-2988 19  19.273423741770486 SMQ 
60 Q0 CACM-1754 20  19.183084813391527 SMQ 
60 Q0 CACM-1572 21  18.975565244247846 SMQ 
60 Q0 CACM-2536 22  18.775683409593075 SMQ 
60 Q0 CACM-1409 23  18.64875888465334 SMQ 
60 Q0 CACM-1844 24  18.536002375801885 SMQ 
60 Q0 CACM-2882 25  18.46005591376018 SMQ 
60 Q0 CACM-3092 26  18.29064396664566 SMQ 
60 Q0 CACM-1774 27  18.20455444612124 SMQ 
60 Q0 CACM-1366 28  18.15354320577688 SMQ 
60 Q0 CACM-2198 29  18.12660917568786 SMQ 
60 Q0 CACM-2375 30  17.78745143594093 SMQ 
60 Q0 CACM-2740 31  17.755515066512157 SMQ 
60 Q0 CACM-2319 32  17.623344632203008 SMQ 
60 Q0 CACM-2625 33  17.53031336087967 SMQ 
60 Q0 CACM-2718 34  17.463293969111437 SMQ 
60 Q0 CACM-2380 35  17.131125018091158 SMQ 
60 Q0 CACM-1752 36  16.989295668663743 SMQ 
60 Q0 CACM-1083 37  16.98587266731413 SMQ 
60 Q0 CACM-0698 38  16.926124150003282 SMQ 
60 Q0 CACM-3089 39  16.917896131491567 SMQ 
60 Q0 CACM-2016 40  16.8813644559604 SMQ 
60 Q0 CACM-3127 41  16.73688529470751 SMQ 
60 Q0 CACM-2888 42  16.568763167170335 SMQ 
60 Q0 CACM-2928 43  16.494634688657257 SMQ 
60 Q0 CACM-2138 44  16.324641627643448 SMQ 
60 Q0 CACM-1532 45  16.251400856851188 SMQ 
60 Q0 CACM-2817 46  16.01205148315293 SMQ 
60 Q0 CACM-2948 47  16.00008786532557 SMQ 
60 Q0 CACM-2715 48  15.867235947769014 SMQ 
60 Q0 CACM-2816 49  15.825670175450949 SMQ 
60 Q0 CACM-2716 50  15.741912648783543 SMQ 
60 Q0 CACM-2957 51  15.647180876414684 SMQ 
60 Q0 CACM-1552 52  15.568204945624707 SMQ 
60 Q0 CACM-2669 53  15.510932809037296 SMQ 
60 Q0 CACM-3011 54  15.487529805026245 SMQ 
60 Q0 CACM-2876 55  15.312313272097825 SMQ 
60 Q0 CACM-2298 56  15.276880378366513 SMQ 
60 Q0 CACM-2359 57  15.09952127098017 SMQ 
60 Q0 CACM-2277 58  15.012603791644027 SMQ 
60 Q0 CACM-2002 59  15.011895242184579 SMQ 
60 Q0 CACM-3067 60  14.974354849296668 SMQ 
60 Q0 CACM-3112 61  14.926626135502529 SMQ 
60 Q0 CACM-2828 62  14.890452677180146 SMQ 
60 Q0 CACM-1199 63  14.80864862420313 SMQ 
60 Q0 CACM-3070 64  14.654002246365271 SMQ 
60 Q0 CACM-2629 65  14.482668776366731 SMQ 
60 Q0 CACM-0695 66  14.43257551153976 SMQ 
60 Q0 CACM-2069 67  14.302574739592192 SMQ 
60 Q0 CACM-0618 68  14.29796341722889 SMQ 
60 Q0 CACM-2710 69  14.169895674510018 SMQ 
60 Q0 CACM-2720 70  14.026751102824047 SMQ 
60 Q0 CACM-2379 71  13.908241661118819 SMQ 
60 Q0 CACM-0322 72  13.900860362425032 SMQ 
60 Q0 CACM-1462 73  13.85143649683644 SMQ 
60 Q0 CACM-0616 74  13.806886687134323 SMQ 
60 Q0 CACM-2634 75  13.78756765916468 SMQ 
60 Q0 CACM-3059 76  13.711572701568965 SMQ 
60 Q0 CACM-2869 77  13.702857976002495 SMQ 
60 Q0 CACM-1808 78  13.69715627545667 SMQ 
60 Q0 CACM-2188 79  13.565851942641242 SMQ 
60 Q0 CACM-2943 80  13.44923509171001 SMQ 
60 Q0 CACM-2689 81  13.297091096083799 SMQ 
60 Q0 CACM-2345 82  13.28062931004894 SMQ 
60 Q0 CACM-2318 83  13.149034872840886 SMQ 
60 Q0 CACM-1805 84  13.042033556072305 SMQ 
60 Q0 CACM-2577 85  13.015856605017397 SMQ 
60 Q0 CACM-2046 86  12.989982754455339 SMQ 
60 Q0 CACM-2308 87  12.978134889339495 SMQ 
60 Q0 CACM-3164 88  12.977821372338282 SMQ 
60 Q0 CACM-2491 89  12.856313571781804 SMQ 
60 Q0 CACM-2976 90  12.834595491365032 SMQ 
60 Q0 CACM-2163 91  12.83200918433374 SMQ 
60 Q0 CACM-1695 92  12.769618334423 SMQ 
60 Q0 CACM-2955 93  12.753495653094149 SMQ 
60 Q0 CACM-1165 94  12.682561391926736 SMQ 
60 Q0 CACM-1959 95  12.662961260510334 SMQ 
60 Q0 CACM-2407 96  12.626568637192445 SMQ 
60 Q0 CACM-1748 97  12.547554090370639 SMQ 
60 Q0 CACM-2342 98  12.442724996378649 SMQ 
60 Q0 CACM-2106 99  12.402686376306272 SMQ 
60 Q0 CACM-2482 100  12.37052291826084 SMQ 
