9 Q0 CACM-2849 1  20.46511106479929 SMQ 
9 Q0 CACM-2949 2  17.1085817738649 SMQ 
9 Q0 CACM-2578 3  16.632547528824123 SMQ 
9 Q0 CACM-3068 4  16.609064720623547 SMQ 
9 Q0 CACM-2372 5  15.11147502589764 SMQ 
9 Q0 CACM-1745 6  15.089623199732202 SMQ 
9 Q0 CACM-3082 7  14.326855498275172 SMQ 
9 Q0 CACM-2621 8  14.1740577243589 SMQ 
9 Q0 CACM-3174 9  13.949396142159916 SMQ 
9 Q0 CACM-3076 10  13.946057922737669 SMQ 
9 Q0 CACM-1750 11  13.736307560716174 SMQ 
9 Q0 CACM-3158 12  13.730930456207576 SMQ 
9 Q0 CACM-2371 13  13.542781068612731 SMQ 
9 Q0 CACM-2951 14  13.460128262289619 SMQ 
9 Q0 CACM-3137 15  12.932629823849206 SMQ 
9 Q0 CACM-3128 16  12.92400783592063 SMQ 
9 Q0 CACM-1747 17  12.819161416694607 SMQ 
9 Q0 CACM-2776 18  12.68759494685304 SMQ 
9 Q0 CACM-1928 19  12.581242818408306 SMQ 
9 Q0 CACM-3141 20  12.58100295309114 SMQ 
9 Q0 CACM-2969 21  12.565724601645641 SMQ 
9 Q0 CACM-2358 22  12.368941973728402 SMQ 
9 Q0 CACM-1461 23  12.339421382711514 SMQ 
9 Q0 CACM-2046 24  11.656029674941374 SMQ 
9 Q0 CACM-2900 25  11.615104208323277 SMQ 
9 Q0 CACM-1695 26  11.556711833068663 SMQ 
9 Q0 CACM-2424 27  11.44921002528047 SMQ 
9 Q0 CACM-3127 28  11.300030006850431 SMQ 
9 Q0 CACM-1685 29  11.179468254710246 SMQ 
9 Q0 CACM-1846 30  10.883874505953619 SMQ 
9 Q0 CACM-2632 31  10.854548942694832 SMQ 
9 Q0 CACM-1808 32  10.744618447964921 SMQ 
9 Q0 CACM-3011 33  10.738675169108406 SMQ 
9 Q0 CACM-2614 34  10.499457721508858 SMQ 
9 Q0 CACM-2454 35  10.483516888028703 SMQ 
9 Q0 CACM-2111 36  10.374498868205114 SMQ 
9 Q0 CACM-2870 37  10.170872355914081 SMQ 
9 Q0 CACM-3043 38  10.134768868103665 SMQ 
9 Q0 CACM-1462 39  10.078191438722218 SMQ 
9 Q0 CACM-1978 40  9.93229693245716 SMQ 
9 Q0 CACM-3038 41  9.517587530276785 SMQ 
9 Q0 CACM-2622 42  9.507569370413213 SMQ 
9 Q0 CACM-3148 43  9.491462483030984 SMQ 
9 Q0 CACM-2151 44  9.421546714579204 SMQ 
9 Q0 CACM-2069 45  9.401153116998996 SMQ 
9 Q0 CACM-2988 46  9.359456914706282 SMQ 
9 Q0 CACM-1728 47  9.321314828360261 SMQ 
9 Q0 CACM-2406 48  9.31517015668082 SMQ 
9 Q0 CACM-2188 49  9.310647318018965 SMQ 
9 Q0 CACM-2741 50  9.287662279248687 SMQ 
9 Q0 CACM-1261 51  9.256127637635483 SMQ 
9 Q0 CACM-0046 52  9.233549342053372 SMQ 
9 Q0 CACM-1247 53  9.183345669665904 SMQ 
9 Q0 CACM-2867 54  9.183345669665904 SMQ 
9 Q0 CACM-2197 55  9.160910109145675 SMQ 
9 Q0 CACM-2581 56  9.151092853555754 SMQ 
9 Q0 CACM-0828 57  9.123014471357626 SMQ 
9 Q0 CACM-3023 58  9.086175305468716 SMQ 
9 Q0 CACM-2840 59  9.07093667097742 SMQ 
9 Q0 CACM-2317 60  9.040440671846945 SMQ 
9 Q0 CACM-2138 61  9.022942046969893 SMQ 
9 Q0 CACM-1032 62  9.016538592788365 SMQ 
9 Q0 CACM-2482 63  9.009696569897933 SMQ 
9 Q0 CACM-3182 64  8.961253192965284 SMQ 
9 Q0 CACM-1723 65  8.862891111054111 SMQ 
9 Q0 CACM-3133 66  8.822679897652936 SMQ 
9 Q0 CACM-3025 67  8.798477601535891 SMQ 
9 Q0 CACM-1324 68  8.778714562518598 SMQ 
9 Q0 CACM-1664 69  8.769756267101425 SMQ 
9 Q0 CACM-2890 70  8.75437832095966 SMQ 
9 Q0 CACM-3181 71  8.721854068355348 SMQ 
9 Q0 CACM-2080 72  8.643631804259524 SMQ 
9 Q0 CACM-2515 73  8.636527497967334 SMQ 
9 Q0 CACM-3111 74  8.557435261180256 SMQ 
9 Q0 CACM-2948 75  8.478899676798616 SMQ 
9 Q0 CACM-2624 76  8.47258545451414 SMQ 
9 Q0 CACM-2522 77  8.466113282713618 SMQ 
9 Q0 CACM-3040 78  8.438118340439896 SMQ 
9 Q0 CACM-2198 79  8.43189144955176 SMQ 
9 Q0 CACM-1951 80  8.340080365706598 SMQ 
9 Q0 CACM-2137 81  8.324792294542718 SMQ 
9 Q0 CACM-2320 82  8.322148724336966 SMQ 
9 Q0 CACM-0322 83  8.320275298718649 SMQ 
9 Q0 CACM-1611 84  8.275328839614676 SMQ 
9 Q0 CACM-1844 85  8.263854436163673 SMQ 
9 Q0 CACM-3177 86  8.252415266183018 SMQ 
9 Q0 CACM-1923 87  8.134601787928153 SMQ 
9 Q0 CACM-1226 88  8.074659533004114 SMQ 
9 Q0 CACM-3032 89  8.064409376284003 SMQ 
9 Q0 CACM-2597 90  8.057649960900559 SMQ 
9 Q0 CACM-1751 91  7.997595945071547 SMQ 
9 Q0 CACM-2950 92  7.997595945071547 SMQ 
9 Q0 CACM-2626 93  7.973339784157478 SMQ 
9 Q0 CACM-2712 94  7.941943733715868 SMQ 
9 Q0 CACM-3026 95  7.928091454617796 SMQ 
9 Q0 CACM-1680 96  7.815073057542356 SMQ 
9 Q0 CACM-1290 97  7.739190830980467 SMQ 
9 Q0 CACM-1811 98  7.674199768096889 SMQ 
9 Q0 CACM-1946 99  7.673129690508775 SMQ 
9 Q0 CACM-1892 100  7.619465375276363 SMQ 
