14 Q0 CACM-3112 1  14.27195336199879 SMQ 
14 Q0 CACM-3131 2  12.699639362204366 SMQ 
14 Q0 CACM-2674 3  12.34356795118677 SMQ 
14 Q0 CACM-3087 4  12.069914894641567 SMQ 
14 Q0 CACM-3058 5  11.428822253058827 SMQ 
14 Q0 CACM-2819 6  11.255394866474065 SMQ 
14 Q0 CACM-3164 7  11.12107035910159 SMQ 
14 Q0 CACM-2289 8  10.781377063642356 SMQ 
14 Q0 CACM-2181 9  10.72286003316059 SMQ 
14 Q0 CACM-2716 10  10.702964033272197 SMQ 
14 Q0 CACM-2890 11  10.443421208226459 SMQ 
14 Q0 CACM-3067 12  10.417184471292071 SMQ 
14 Q0 CACM-2964 13  9.968120804617275 SMQ 
14 Q0 CACM-2931 14  9.84128024922852 SMQ 
14 Q0 CACM-2812 15  9.158270233510379 SMQ 
14 Q0 CACM-3085 16  8.83671549591242 SMQ 
14 Q0 CACM-2679 17  8.703827754904765 SMQ 
14 Q0 CACM-2816 18  8.482988750576856 SMQ 
14 Q0 CACM-3033 19  8.43525818074043 SMQ 
14 Q0 CACM-3011 20  8.377919307287563 SMQ 
14 Q0 CACM-3075 21  8.363159566979856 SMQ 
14 Q0 CACM-2900 22  8.151074245071063 SMQ 
14 Q0 CACM-3017 23  8.059153196056625 SMQ 
14 Q0 CACM-3057 24  8.042434765964675 SMQ 
14 Q0 CACM-1873 25  8.016622587415235 SMQ 
14 Q0 CACM-2959 26  7.966055642574272 SMQ 
14 Q0 CACM-3132 27  7.938212981411796 SMQ 
14 Q0 CACM-2863 28  7.914041665105998 SMQ 
14 Q0 CACM-2902 29  7.8771559453081395 SMQ 
14 Q0 CACM-2017 30  7.784038166468567 SMQ 
14 Q0 CACM-2146 31  7.760523921161893 SMQ 
14 Q0 CACM-3156 32  7.631464023448458 SMQ 
14 Q0 CACM-2650 33  7.594134181673281 SMQ 
14 Q0 CACM-2944 34  7.5496946547783645 SMQ 
14 Q0 CACM-2263 35  7.52095996486777 SMQ 
14 Q0 CACM-2272 36  7.5203079375141195 SMQ 
14 Q0 CACM-2691 37  7.512653620403347 SMQ 
14 Q0 CACM-2997 38  7.444370648188853 SMQ 
14 Q0 CACM-2522 39  7.33363209097496 SMQ 
14 Q0 CACM-2834 40  7.325955936694555 SMQ 
14 Q0 CACM-2450 41  7.2818080255320385 SMQ 
14 Q0 CACM-2308 42  7.11937204055592 SMQ 
14 Q0 CACM-1752 43  7.050925041914596 SMQ 
14 Q0 CACM-3037 44  7.043889476676728 SMQ 
14 Q0 CACM-2337 45  7.038655844302277 SMQ 
14 Q0 CACM-3006 46  7.02078467611587 SMQ 
14 Q0 CACM-2314 47  6.94661700830235 SMQ 
14 Q0 CACM-2750 48  6.942991155248331 SMQ 
14 Q0 CACM-2324 49  6.914193668972945 SMQ 
14 Q0 CACM-3151 50  6.875437036290951 SMQ 
14 Q0 CACM-2406 51  6.855308279926098 SMQ 
14 Q0 CACM-2142 52  6.825250787112449 SMQ 
14 Q0 CACM-2967 53  6.819607280177693 SMQ 
14 Q0 CACM-2524 54  6.7733931442747775 SMQ 
14 Q0 CACM-2188 55  6.767588523245804 SMQ 
14 Q0 CACM-2481 56  6.754042817797492 SMQ 
14 Q0 CACM-2627 57  6.693507805822161 SMQ 
14 Q0 CACM-2973 58  6.676113597578371 SMQ 
14 Q0 CACM-2740 59  6.6714450452046385 SMQ 
14 Q0 CACM-2348 60  6.593656845688396 SMQ 
14 Q0 CACM-1724 61  6.5406216916494335 SMQ 
14 Q0 CACM-2715 62  6.480032011068898 SMQ 
14 Q0 CACM-1412 63  6.423257605145621 SMQ 
14 Q0 CACM-2976 64  6.417297745682516 SMQ 
14 Q0 CACM-0307 65  6.389173526576749 SMQ 
14 Q0 CACM-2081 66  6.353956023775023 SMQ 
14 Q0 CACM-1191 67  6.335199614497973 SMQ 
14 Q0 CACM-3049 68  6.277052623203243 SMQ 
14 Q0 CACM-3163 69  6.257593833420513 SMQ 
14 Q0 CACM-3038 70  6.242673514165965 SMQ 
14 Q0 CACM-0507 71  6.235302748208234 SMQ 
14 Q0 CACM-0867 72  6.207730926329166 SMQ 
14 Q0 CACM-0132 73  6.159085236388036 SMQ 
14 Q0 CACM-2563 74  6.159085236388036 SMQ 
14 Q0 CACM-2748 75  6.159085236388036 SMQ 
14 Q0 CACM-0724 76  6.149616310105428 SMQ 
14 Q0 CACM-1886 77  6.128028253428425 SMQ 
14 Q0 CACM-2963 78  6.124515474703133 SMQ 
14 Q0 CACM-1905 79  6.1070127367880485 SMQ 
14 Q0 CACM-0662 80  6.10205117871955 SMQ 
14 Q0 CACM-0701 81  6.10205117871955 SMQ 
14 Q0 CACM-0776 82  6.10205117871955 SMQ 
14 Q0 CACM-0853 83  6.10205117871955 SMQ 
14 Q0 CACM-2397 84  6.048108298158201 SMQ 
14 Q0 CACM-2598 85  6.004640529982305 SMQ 
14 Q0 CACM-3171 86  5.98015950813264 SMQ 
14 Q0 CACM-1433 87  5.968236949215068 SMQ 
14 Q0 CACM-0841 88  5.948273474646848 SMQ 
14 Q0 CACM-0862 89  5.948273474646848 SMQ 
14 Q0 CACM-1892 90  5.909213163863626 SMQ 
14 Q0 CACM-1483 91  5.908374678988458 SMQ 
14 Q0 CACM-2860 92  5.904245598835694 SMQ 
14 Q0 CACM-0089 93  5.879467038883551 SMQ 
14 Q0 CACM-2065 94  5.860721034648224 SMQ 
14 Q0 CACM-3103 95  5.854458368477581 SMQ 
14 Q0 CACM-3032 96  5.679689458151881 SMQ 
14 Q0 CACM-2876 97  5.657022312130547 SMQ 
14 Q0 CACM-0856 98  5.649668077847852 SMQ 
14 Q0 CACM-2451 99  5.613506562105119 SMQ 
14 Q0 CACM-1397 100  5.581328910743295 SMQ 
