56 Q0 CACM-2327 1  15.836205565659899 SMQ 
56 Q0 CACM-2650 2  14.758244162307722 SMQ 
56 Q0 CACM-1678 3  14.401766654930972 SMQ 
56 Q0 CACM-2112 4  14.247833577093933 SMQ 
56 Q0 CACM-2931 5  13.31919115168738 SMQ 
56 Q0 CACM-2921 6  12.816265619194029 SMQ 
56 Q0 CACM-1665 7  11.519091408822263 SMQ 
56 Q0 CACM-1453 8  11.348574649382929 SMQ 
56 Q0 CACM-2645 9  10.821644577455945 SMQ 
56 Q0 CACM-2061 10  10.599704276834274 SMQ 
56 Q0 CACM-2323 11  9.982719538746881 SMQ 
56 Q0 CACM-2470 12  9.925084682743506 SMQ 
56 Q0 CACM-2449 13  9.314273287224255 SMQ 
56 Q0 CACM-2932 14  8.434915149252454 SMQ 
56 Q0 CACM-2134 15  8.39967678064838 SMQ 
56 Q0 CACM-1048 16  8.348199667142655 SMQ 
56 Q0 CACM-1867 17  8.262828892982597 SMQ 
56 Q0 CACM-2166 18  7.962312171428223 SMQ 
56 Q0 CACM-1334 19  7.956973178509704 SMQ 
56 Q0 CACM-1258 20  7.761289340303819 SMQ 
56 Q0 CACM-2302 21  7.691286945243473 SMQ 
56 Q0 CACM-1397 22  7.649687584374398 SMQ 
56 Q0 CACM-2809 23  7.5998660221030985 SMQ 
56 Q0 CACM-1961 24  7.59938643435283 SMQ 
56 Q0 CACM-1046 25  7.425143119537549 SMQ 
56 Q0 CACM-1253 26  7.386791439953102 SMQ 
56 Q0 CACM-2051 27  7.344379182594241 SMQ 
56 Q0 CACM-0397 28  7.175657464742956 SMQ 
56 Q0 CACM-2326 29  7.174800930098151 SMQ 
56 Q0 CACM-2842 30  7.130075128686039 SMQ 
56 Q0 CACM-1991 31  7.1191897292233675 SMQ 
56 Q0 CACM-1896 32  6.976213404343258 SMQ 
56 Q0 CACM-1898 33  6.943454708787915 SMQ 
56 Q0 CACM-1806 34  6.936892918189481 SMQ 
56 Q0 CACM-1911 35  6.936676711517306 SMQ 
56 Q0 CACM-1216 36  6.875252071859869 SMQ 
56 Q0 CACM-3124 37  6.86315782388624 SMQ 
56 Q0 CACM-1993 38  6.851174764646824 SMQ 
56 Q0 CACM-2305 39  6.785735543951369 SMQ 
56 Q0 CACM-1355 40  6.7400736172950415 SMQ 
56 Q0 CACM-1834 41  6.6829845818133595 SMQ 
56 Q0 CACM-1781 42  6.614074503997484 SMQ 
56 Q0 CACM-0464 43  6.595410230014601 SMQ 
56 Q0 CACM-2580 44  6.55518039995415 SMQ 
56 Q0 CACM-2719 45  6.463971954717375 SMQ 
56 Q0 CACM-3077 46  6.420608881110482 SMQ 
56 Q0 CACM-1739 47  6.417297745682516 SMQ 
56 Q0 CACM-1223 48  5.927524347677086 SMQ 
56 Q0 CACM-2090 49  5.8694924335193 SMQ 
56 Q0 CACM-1887 50  5.848303262080325 SMQ 
56 Q0 CACM-0055 51  5.827055607496204 SMQ 
56 Q0 CACM-2779 52  5.774417172211988 SMQ 
56 Q0 CACM-1154 53  5.754676663134405 SMQ 
56 Q0 CACM-2974 54  5.719024791445442 SMQ 
56 Q0 CACM-0021 55  5.655757711848771 SMQ 
56 Q0 CACM-0099 56  5.604648470107767 SMQ 
56 Q0 CACM-2769 57  5.5809265093895375 SMQ 
56 Q0 CACM-2767 58  5.569419986551033 SMQ 
56 Q0 CACM-0001 59  5.556042324715738 SMQ 
56 Q0 CACM-0044 60  5.556042324715738 SMQ 
56 Q0 CACM-1211 61  5.5239897810826015 SMQ 
56 Q0 CACM-2813 62  5.49053014385515 SMQ 
56 Q0 CACM-3189 63  5.436987725317975 SMQ 
56 Q0 CACM-1824 64  5.424762226436711 SMQ 
56 Q0 CACM-2998 65  5.355917867434135 SMQ 
56 Q0 CACM-0164 66  5.350794267253346 SMQ 
56 Q0 CACM-0864 67  5.350794267253346 SMQ 
56 Q0 CACM-2346 68  5.329875674290503 SMQ 
56 Q0 CACM-0393 69  5.305831298544678 SMQ 
56 Q0 CACM-1214 70  5.28757405511945 SMQ 
56 Q0 CACM-2986 71  5.265660079159525 SMQ 
56 Q0 CACM-0124 72  5.205024045525231 SMQ 
56 Q0 CACM-0054 73  5.201022027716287 SMQ 
56 Q0 CACM-2167 74  5.195512463145443 SMQ 
56 Q0 CACM-1425 75  5.181136047136387 SMQ 
56 Q0 CACM-0438 76  5.177344163681457 SMQ 
56 Q0 CACM-2165 77  5.16841588566359 SMQ 
56 Q0 CACM-0724 78  5.140596927161926 SMQ 
56 Q0 CACM-1136 79  5.102279099405603 SMQ 
56 Q0 CACM-1803 80  5.047789414540043 SMQ 
56 Q0 CACM-0850 81  5.015820557510504 SMQ 
56 Q0 CACM-2129 82  4.947698540540767 SMQ 
56 Q0 CACM-0093 83  4.940309676853666 SMQ 
56 Q0 CACM-1101 84  4.936330379473716 SMQ 
56 Q0 CACM-2121 85  4.936330379473716 SMQ 
56 Q0 CACM-2032 86  4.927208236464983 SMQ 
56 Q0 CACM-3199 87  4.866751736720119 SMQ 
56 Q0 CACM-1840 88  4.827959309968334 SMQ 
56 Q0 CACM-0249 89  4.8110028470203545 SMQ 
56 Q0 CACM-1967 90  4.794333680082086 SMQ 
56 Q0 CACM-2416 91  4.794333680082086 SMQ 
56 Q0 CACM-1072 92  4.79169263311717 SMQ 
56 Q0 CACM-2052 93  4.781198800734174 SMQ 
56 Q0 CACM-2316 94  4.772107668584363 SMQ 
56 Q0 CACM-3012 95  4.770299485528811 SMQ 
56 Q0 CACM-2663 96  4.761563878172137 SMQ 
56 Q0 CACM-1948 97  4.714980443984682 SMQ 
56 Q0 CACM-1649 98  4.701052639284168 SMQ 
56 Q0 CACM-1841 99  4.699850809142942 SMQ 
56 Q0 CACM-2603 100  4.686924407927237 SMQ 
