17 Q0 CACM-1223 1  14.332331676808725 SMQ 
17 Q0 CACM-1658 2  12.771584442433035 SMQ 
17 Q0 CACM-1947 3  11.23328013382792 SMQ 
17 Q0 CACM-2253 4  10.127031696636186 SMQ 
17 Q0 CACM-1795 5  9.956621750615106 SMQ 
17 Q0 CACM-2495 6  9.664211203422418 SMQ 
17 Q0 CACM-2491 7  9.34123684723483 SMQ 
17 Q0 CACM-1134 8  9.100400025951325 SMQ 
17 Q0 CACM-2897 9  9.020763789184466 SMQ 
17 Q0 CACM-2748 10  8.797951500573298 SMQ 
17 Q0 CACM-1757 11  8.398312498380932 SMQ 
17 Q0 CACM-1676 12  8.304969556939232 SMQ 
17 Q0 CACM-3080 13  8.163388608833186 SMQ 
17 Q0 CACM-2904 14  8.066359085565232 SMQ 
17 Q0 CACM-3054 15  8.001651323047458 SMQ 
17 Q0 CACM-1154 16  7.638823825800131 SMQ 
17 Q0 CACM-2929 17  7.1952812875289585 SMQ 
17 Q0 CACM-1564 18  7.163169539626166 SMQ 
17 Q0 CACM-3005 19  7.141611050059741 SMQ 
17 Q0 CACM-3171 20  6.860207951196141 SMQ 
17 Q0 CACM-1886 21  6.761560880078131 SMQ 
17 Q0 CACM-1807 22  6.688129596476722 SMQ 
17 Q0 CACM-2423 23  6.683091688889025 SMQ 
17 Q0 CACM-1523 24  6.545009000927416 SMQ 
17 Q0 CACM-3053 25  6.512389644959289 SMQ 
17 Q0 CACM-2701 26  6.503802881094861 SMQ 
17 Q0 CACM-2858 27  6.438356259424636 SMQ 
17 Q0 CACM-2944 28  6.409557447476847 SMQ 
17 Q0 CACM-0123 29  6.379294406300114 SMQ 
17 Q0 CACM-1389 30  6.292220731643888 SMQ 
17 Q0 CACM-2433 31  6.131740861536617 SMQ 
17 Q0 CACM-2138 32  6.032339461401342 SMQ 
17 Q0 CACM-2464 33  6.004987523869026 SMQ 
17 Q0 CACM-1402 34  5.893815828749415 SMQ 
17 Q0 CACM-0252 35  5.697704580801561 SMQ 
17 Q0 CACM-3115 36  5.645698471565791 SMQ 
17 Q0 CACM-1783 37  5.475399091883047 SMQ 
17 Q0 CACM-1542 38  5.429578794505291 SMQ 
17 Q0 CACM-1392 39  5.420068558180812 SMQ 
17 Q0 CACM-1231 40  5.337181404602213 SMQ 
17 Q0 CACM-2611 41  5.314303726806807 SMQ 
17 Q0 CACM-1387 42  5.30983551864124 SMQ 
17 Q0 CACM-1062 43  5.262821770016607 SMQ 
17 Q0 CACM-1029 44  5.182034598038321 SMQ 
17 Q0 CACM-1726 45  5.180274678392596 SMQ 
17 Q0 CACM-3150 46  5.173334986905857 SMQ 
17 Q0 CACM-2871 47  5.161100683133198 SMQ 
17 Q0 CACM-2835 48  5.148143915565024 SMQ 
17 Q0 CACM-3130 49  5.1139129103941245 SMQ 
17 Q0 CACM-1655 50  5.056377229327308 SMQ 
17 Q0 CACM-1665 51  5.051170176438886 SMQ 
17 Q0 CACM-2964 52  4.91129594884678 SMQ 
17 Q0 CACM-0031 53  4.891541315495926 SMQ 
17 Q0 CACM-0797 54  4.891541315495926 SMQ 
17 Q0 CACM-1362 55  4.885720370588522 SMQ 
17 Q0 CACM-2053 56  4.84981896878124 SMQ 
17 Q0 CACM-0048 57  4.8403514473779 SMQ 
17 Q0 CACM-0195 58  4.834824559317904 SMQ 
17 Q0 CACM-2133 59  4.824953706132499 SMQ 
17 Q0 CACM-2616 60  4.811271862861987 SMQ 
17 Q0 CACM-1289 61  4.781198800734174 SMQ 
17 Q0 CACM-0230 62  4.730346774229861 SMQ 
17 Q0 CACM-1064 63  4.730346774229861 SMQ 
17 Q0 CACM-1992 64  4.7058747225835775 SMQ 
17 Q0 CACM-1187 65  4.635918546469237 SMQ 
17 Q0 CACM-1414 66  4.635918546469237 SMQ 
17 Q0 CACM-2290 67  4.626065182870807 SMQ 
17 Q0 CACM-2836 68  4.5928762948148965 SMQ 
17 Q0 CACM-0066 69  4.549788344369264 SMQ 
17 Q0 CACM-1232 70  4.549788344369264 SMQ 
17 Q0 CACM-2533 71  4.529389229619063 SMQ 
17 Q0 CACM-2117 72  4.526566980911998 SMQ 
17 Q0 CACM-2107 73  4.52268292268009 SMQ 
17 Q0 CACM-2411 74  4.519546765574078 SMQ 
17 Q0 CACM-1275 75  4.5094066462888405 SMQ 
17 Q0 CACM-1756 76  4.5094066462888405 SMQ 
17 Q0 CACM-0091 77  4.501526512669095 SMQ 
17 Q0 CACM-2079 78  4.501526512669095 SMQ 
17 Q0 CACM-2527 79  4.493320139344754 SMQ 
17 Q0 CACM-1350 80  4.487500323001886 SMQ 
17 Q0 CACM-1652 81  4.470626035799752 SMQ 
17 Q0 CACM-2834 82  4.461166580192189 SMQ 
17 Q0 CACM-0035 83  4.453290797337045 SMQ 
17 Q0 CACM-0593 84  4.407324923296366 SMQ 
17 Q0 CACM-2344 85  4.405366943819626 SMQ 
17 Q0 CACM-0079 86  4.363426995416897 SMQ 
17 Q0 CACM-0333 87  4.362745890877249 SMQ 
17 Q0 CACM-1065 88  4.329283668465828 SMQ 
17 Q0 CACM-2586 89  4.296932981981651 SMQ 
17 Q0 CACM-0210 90  4.281152136510509 SMQ 
17 Q0 CACM-1204 91  4.235290319578843 SMQ 
17 Q0 CACM-1670 92  4.220471745544896 SMQ 
17 Q0 CACM-3066 93  4.205875915006942 SMQ 
17 Q0 CACM-2680 94  4.160522968814626 SMQ 
17 Q0 CACM-0693 95  4.153566429498905 SMQ 
17 Q0 CACM-2552 96  4.149594041743079 SMQ 
17 Q0 CACM-2537 97  4.14665947251045 SMQ 
17 Q0 CACM-2246 98  4.1015921077125865 SMQ 
17 Q0 CACM-0093 99  4.070864706008833 SMQ 
17 Q0 CACM-2624 100  4.053628917051812 SMQ 
