20 Q0 CACM-2695 1  18.14487900352638 SMQ 
20 Q0 CACM-2986 2  14.131114443028764 SMQ 
20 Q0 CACM-2769 3  13.094566844204925 SMQ 
20 Q0 CACM-2524 4  11.531761075232286 SMQ 
20 Q0 CACM-1563 5  11.408831155735886 SMQ 
20 Q0 CACM-2780 6  9.943164070189104 SMQ 
20 Q0 CACM-2630 7  8.822421220652668 SMQ 
20 Q0 CACM-1457 8  8.685748051238917 SMQ 
20 Q0 CACM-2490 9  8.35603545149457 SMQ 
20 Q0 CACM-2905 10  8.274149804801741 SMQ 
20 Q0 CACM-2167 11  8.172065137574414 SMQ 
20 Q0 CACM-2232 12  8.006618927863547 SMQ 
20 Q0 CACM-2273 13  7.994434846907366 SMQ 
20 Q0 CACM-2368 14  7.774399279014071 SMQ 
20 Q0 CACM-2289 15  7.343327261851831 SMQ 
20 Q0 CACM-2199 16  7.297540191536062 SMQ 
20 Q0 CACM-2506 17  7.297540191536062 SMQ 
20 Q0 CACM-1787 18  7.074945712967293 SMQ 
20 Q0 CACM-2442 19  6.976213404343258 SMQ 
20 Q0 CACM-2766 20  6.964005506438072 SMQ 
20 Q0 CACM-2484 21  6.840328563972445 SMQ 
20 Q0 CACM-1924 22  6.8061568274686195 SMQ 
20 Q0 CACM-3152 23  6.797137777366863 SMQ 
20 Q0 CACM-2081 24  6.711262932879173 SMQ 
20 Q0 CACM-2142 25  6.694003012745078 SMQ 
20 Q0 CACM-2877 26  6.68254512642083 SMQ 
20 Q0 CACM-2216 27  6.525962656951309 SMQ 
20 Q0 CACM-3156 28  6.512929275162075 SMQ 
20 Q0 CACM-2405 29  6.506769917726256 SMQ 
20 Q0 CACM-1886 30  6.496106538209956 SMQ 
20 Q0 CACM-2557 31  6.435458809767873 SMQ 
20 Q0 CACM-1504 32  6.357917206514556 SMQ 
20 Q0 CACM-0661 33  6.335199614497973 SMQ 
20 Q0 CACM-2453 34  6.318352085885765 SMQ 
20 Q0 CACM-3018 35  6.2702369906292015 SMQ 
20 Q0 CACM-3124 36  6.2383029082672214 SMQ 
20 Q0 CACM-3176 37  6.211818893425253 SMQ 
20 Q0 CACM-3094 38  6.196559345621837 SMQ 
20 Q0 CACM-1963 39  6.0961297661580796 SMQ 
20 Q0 CACM-1630 40  5.979284150050939 SMQ 
20 Q0 CACM-2888 41  5.911639126520667 SMQ 
20 Q0 CACM-2883 42  5.86443302779511 SMQ 
20 Q0 CACM-3040 43  5.852413428088863 SMQ 
20 Q0 CACM-1423 44  5.691141409194158 SMQ 
20 Q0 CACM-2699 45  5.672967209047895 SMQ 
20 Q0 CACM-2172 46  5.6665584968581335 SMQ 
20 Q0 CACM-2631 47  5.535118748505508 SMQ 
20 Q0 CACM-1047 48  5.500612180469516 SMQ 
20 Q0 CACM-2335 49  5.484928651088317 SMQ 
20 Q0 CACM-2290 50  5.466656339674077 SMQ 
20 Q0 CACM-0828 51  5.43513096845171 SMQ 
20 Q0 CACM-0749 52  5.42456329760165 SMQ 
20 Q0 CACM-2934 53  5.4116337081317205 SMQ 
20 Q0 CACM-2189 54  5.390353794540596 SMQ 
20 Q0 CACM-2314 55  5.382195693370319 SMQ 
20 Q0 CACM-0315 56  5.367664084888826 SMQ 
20 Q0 CACM-2133 57  5.367664084888826 SMQ 
20 Q0 CACM-2758 58  5.367664084888826 SMQ 
20 Q0 CACM-3164 59  5.34894807030742 SMQ 
20 Q0 CACM-0349 60  5.3138559975778605 SMQ 
20 Q0 CACM-0635 61  5.262821770016607 SMQ 
20 Q0 CACM-0777 62  5.262821770016607 SMQ 
20 Q0 CACM-0936 63  5.262821770016607 SMQ 
20 Q0 CACM-0956 64  5.262821770016607 SMQ 
20 Q0 CACM-1481 65  5.262821770016607 SMQ 
20 Q0 CACM-2430 66  5.262821770016607 SMQ 
20 Q0 CACM-2461 67  5.262821770016607 SMQ 
20 Q0 CACM-2752 68  5.2355666928478115 SMQ 
20 Q0 CACM-0256 69  5.2142906055752345 SMQ 
20 Q0 CACM-0285 70  5.2142906055752345 SMQ 
20 Q0 CACM-0301 71  5.2142906055752345 SMQ 
20 Q0 CACM-0511 72  5.2142906055752345 SMQ 
20 Q0 CACM-0896 73  5.2142906055752345 SMQ 
20 Q0 CACM-1151 74  5.2142906055752345 SMQ 
20 Q0 CACM-1876 75  5.2142906055752345 SMQ 
20 Q0 CACM-2778 76  5.2142906055752345 SMQ 
20 Q0 CACM-1727 77  5.170817259300472 SMQ 
20 Q0 CACM-0496 78  5.16802952260491 SMQ 
20 Q0 CACM-0660 79  5.16802952260491 SMQ 
20 Q0 CACM-0955 80  5.16802952260491 SMQ 
20 Q0 CACM-0144 81  5.132742157034376 SMQ 
20 Q0 CACM-1153 82  5.124945438010361 SMQ 
20 Q0 CACM-0751 83  5.081535809892805 SMQ 
20 Q0 CACM-2134 84  5.071237712053929 SMQ 
20 Q0 CACM-2805 85  5.071237712053929 SMQ 
20 Q0 CACM-2790 86  5.06330167134795 SMQ 
20 Q0 CACM-2192 87  5.039954064905164 SMQ 
20 Q0 CACM-1707 88  5.002010498659133 SMQ 
20 Q0 CACM-1145 89  4.989303765076324 SMQ 
20 Q0 CACM-1983 90  4.976865096683209 SMQ 
20 Q0 CACM-2161 91  4.976865096683209 SMQ 
20 Q0 CACM-3139 92  4.952344860382495 SMQ 
20 Q0 CACM-2768 93  4.946771898401979 SMQ 
20 Q0 CACM-0070 94  4.94630890373618 SMQ 
20 Q0 CACM-2177 95  4.897396861126644 SMQ 
20 Q0 CACM-3115 96  4.876621573453195 SMQ 
20 Q0 CACM-1417 97  4.848141599599429 SMQ 
20 Q0 CACM-1791 98  4.827412153322209 SMQ 
20 Q0 CACM-2281 99  4.827412153322209 SMQ 
20 Q0 CACM-0799 100  4.808719177412401 SMQ 
