50 Q0 CACM-2714 1  9.844152506427763 SMQ 
50 Q0 CACM-1811 2  9.81637714388951 SMQ 
50 Q0 CACM-3156 3  9.588508241605032 SMQ 
50 Q0 CACM-3075 4  9.554917410029578 SMQ 
50 Q0 CACM-2278 5  9.030864499435918 SMQ 
50 Q0 CACM-2114 6  8.855601117119686 SMQ 
50 Q0 CACM-1680 7  8.673271607226246 SMQ 
50 Q0 CACM-0275 8  8.181401360044603 SMQ 
50 Q0 CACM-0651 9  8.181401360044603 SMQ 
50 Q0 CACM-2070 10  8.094115520778182 SMQ 
50 Q0 CACM-2288 11  8.066848351664431 SMQ 
50 Q0 CACM-1830 12  8.014197192129913 SMQ 
50 Q0 CACM-0891 13  7.964213888851532 SMQ 
50 Q0 CACM-1927 14  7.961993019993557 SMQ 
50 Q0 CACM-3134 15  7.9411316246847115 SMQ 
50 Q0 CACM-2570 16  7.806228420915094 SMQ 
50 Q0 CACM-1457 17  7.790654063627597 SMQ 
50 Q0 CACM-1699 18  7.772687834210216 SMQ 
50 Q0 CACM-2723 19  7.763873185534913 SMQ 
50 Q0 CACM-0239 20  7.708761515908978 SMQ 
50 Q0 CACM-2497 21  7.6544046892574205 SMQ 
50 Q0 CACM-2532 22  7.640187843696086 SMQ 
50 Q0 CACM-2175 23  7.632949146702819 SMQ 
50 Q0 CACM-0292 24  7.5100187027165894 SMQ 
50 Q0 CACM-1831 25  7.5100187027165894 SMQ 
50 Q0 CACM-2967 26  7.441688111288858 SMQ 
50 Q0 CACM-2530 27  7.3300816993367075 SMQ 
50 Q0 CACM-2965 28  7.273706975615323 SMQ 
50 Q0 CACM-2976 29  7.273706975615323 SMQ 
50 Q0 CACM-1681 30  7.27289056139841 SMQ 
50 Q0 CACM-2552 31  7.218964145174226 SMQ 
50 Q0 CACM-3168 32  7.218964145174226 SMQ 
50 Q0 CACM-2781 33  7.114023281005132 SMQ 
50 Q0 CACM-3169 34  7.114023281005132 SMQ 
50 Q0 CACM-2412 35  7.063666968549653 SMQ 
50 Q0 CACM-2516 36  6.96683120405075 SMQ 
50 Q0 CACM-1935 37  6.897352290212601 SMQ 
50 Q0 CACM-3012 38  6.745561613948658 SMQ 
50 Q0 CACM-2631 39  6.742309292905743 SMQ 
50 Q0 CACM-1032 40  6.720738604801665 SMQ 
50 Q0 CACM-2140 41  6.680415474328472 SMQ 
50 Q0 CACM-2990 42  6.660358463100651 SMQ 
50 Q0 CACM-2519 43  6.628934350850022 SMQ 
50 Q0 CACM-1514 44  6.5379865476142225 SMQ 
50 Q0 CACM-1601 45  6.420224556536437 SMQ 
50 Q0 CACM-2882 46  6.288015438380089 SMQ 
50 Q0 CACM-1846 47  6.215230861491527 SMQ 
50 Q0 CACM-2139 48  6.160100531890922 SMQ 
50 Q0 CACM-1937 49  6.1264952712846 SMQ 
50 Q0 CACM-1959 50  6.109723015950156 SMQ 
50 Q0 CACM-2307 51  6.080699751795887 SMQ 
50 Q0 CACM-0655 52  6.054010244474652 SMQ 
50 Q0 CACM-2865 53  6.049583841354515 SMQ 
50 Q0 CACM-1747 54  6.0478185001277 SMQ 
50 Q0 CACM-1675 55  6.02549051383026 SMQ 
50 Q0 CACM-2258 56  5.9697707664363975 SMQ 
50 Q0 CACM-1627 57  5.95525802938633 SMQ 
50 Q0 CACM-2455 58  5.942015286622724 SMQ 
50 Q0 CACM-1359 59  5.787353172321679 SMQ 
50 Q0 CACM-2493 60  5.787353172321679 SMQ 
50 Q0 CACM-0082 61  5.78443644750913 SMQ 
50 Q0 CACM-2561 62  5.699353433685742 SMQ 
50 Q0 CACM-1652 63  5.662159573364831 SMQ 
50 Q0 CACM-2032 64  5.644617899198437 SMQ 
50 Q0 CACM-2711 65  5.622812458342855 SMQ 
50 Q0 CACM-1960 66  5.609972754880342 SMQ 
50 Q0 CACM-2160 67  5.564850361669041 SMQ 
50 Q0 CACM-1236 68  5.549572181213809 SMQ 
50 Q0 CACM-0763 69  5.544112687269563 SMQ 
50 Q0 CACM-2484 70  5.514299067694859 SMQ 
50 Q0 CACM-0440 71  5.45206711098289 SMQ 
50 Q0 CACM-2623 72  5.423104130563741 SMQ 
50 Q0 CACM-0944 73  5.394612488795277 SMQ 
50 Q0 CACM-2947 74  5.3792996423746615 SMQ 
50 Q0 CACM-1725 75  5.358139860583522 SMQ 
50 Q0 CACM-2846 76  5.32687191528633 SMQ 
50 Q0 CACM-2451 77  5.275145623133167 SMQ 
50 Q0 CACM-2645 78  5.167998861568336 SMQ 
50 Q0 CACM-2141 79  5.150384067999786 SMQ 
50 Q0 CACM-2795 80  5.108650717525139 SMQ 
50 Q0 CACM-0141 81  5.086858833522996 SMQ 
50 Q0 CACM-1456 82  5.084862457669308 SMQ 
50 Q0 CACM-1825 83  5.061045896898988 SMQ 
50 Q0 CACM-1527 84  5.059280922169965 SMQ 
50 Q0 CACM-0392 85  4.987425415608545 SMQ 
50 Q0 CACM-1302 86  4.987425415608545 SMQ 
50 Q0 CACM-2543 87  4.986667600603193 SMQ 
50 Q0 CACM-0670 88  4.960033857705865 SMQ 
50 Q0 CACM-2685 89  4.956389458451886 SMQ 
50 Q0 CACM-1194 90  4.922793249162102 SMQ 
50 Q0 CACM-1988 91  4.900190484790715 SMQ 
50 Q0 CACM-1711 92  4.895067178357606 SMQ 
50 Q0 CACM-1976 93  4.867630086587902 SMQ 
50 Q0 CACM-2987 94  4.863680691051833 SMQ 
50 Q0 CACM-1158 95  4.8548682923472875 SMQ 
50 Q0 CACM-1665 96  4.8422932133422645 SMQ 
50 Q0 CACM-2722 97  4.830373240278343 SMQ 
50 Q0 CACM-1262 98  4.804501632562519 SMQ 
50 Q0 CACM-2973 99  4.794730449493228 SMQ 
50 Q0 CACM-1367 100  4.738058577777179 SMQ 
