52 Q0 CACM-2721 1  12.030230287129882 SMQ 
52 Q0 CACM-0557 2  4.8130222610611515 SMQ 
52 Q0 CACM-2749 3  4.669108707621918 SMQ 
52 Q0 CACM-0757 4  4.642693958857239 SMQ 
52 Q0 CACM-3051 5  4.616971906526351 SMQ 
52 Q0 CACM-1207 6  4.591907468401877 SMQ 
52 Q0 CACM-1208 7  4.543623851444509 SMQ 
52 Q0 CACM-3070 8  4.528044286543082 SMQ 
52 Q0 CACM-1329 9  4.497610126561505 SMQ 
52 Q0 CACM-2725 10  4.4116105627329585 SMQ 
52 Q0 CACM-1928 11  4.396295977243594 SMQ 
52 Q0 CACM-2767 12  4.388368966858339 SMQ 
52 Q0 CACM-0238 13  4.371294091139828 SMQ 
52 Q0 CACM-1030 14  4.323135471469103 SMQ 
52 Q0 CACM-1870 15  4.3075975407319635 SMQ 
52 Q0 CACM-1812 16  4.2953433298429955 SMQ 
52 Q0 CACM-1366 17  4.291292644632359 SMQ 
52 Q0 CACM-0643 18  4.259480443099871 SMQ 
52 Q0 CACM-0678 19  4.213633041288445 SMQ 
52 Q0 CACM-3061 20  4.19149632277065 SMQ 
52 Q0 CACM-2844 21  4.15921049419088 SMQ 
52 Q0 CACM-0633 22  4.127965536237274 SMQ 
52 Q0 CACM-2902 23  4.127965536237274 SMQ 
52 Q0 CACM-2742 24  4.120309291246329 SMQ 
52 Q0 CACM-1894 25  4.012194928309581 SMQ 
52 Q0 CACM-1890 26  4.001346112332447 SMQ 
52 Q0 CACM-1716 27  3.985298428898287 SMQ 
52 Q0 CACM-2218 28  3.985298428898287 SMQ 
52 Q0 CACM-2914 29  3.976497194416591 SMQ 
52 Q0 CACM-2057 30  3.9591324042388405 SMQ 
52 Q0 CACM-2549 31  3.9591324042388405 SMQ 
52 Q0 CACM-2062 32  3.9420753364038488 SMQ 
52 Q0 CACM-3048 33  3.9286441513253365 SMQ 
52 Q0 CACM-2349 34  3.908842798647417 SMQ 
52 Q0 CACM-1380 35  3.896671043521972 SMQ 
52 Q0 CACM-1912 36  3.8610553168929225 SMQ 
52 Q0 CACM-1637 37  3.830470670227322 SMQ 
52 Q0 CACM-2970 38  3.8211098455237695 SMQ 
52 Q0 CACM-1695 39  3.7849150862932355 SMQ 
52 Q0 CACM-2936 40  3.751079649801898 SMQ 
52 Q0 CACM-1752 41  3.744179081243939 SMQ 
52 Q0 CACM-2798 42  3.6972252470591966 SMQ 
