44 Q0 CACM-2829 1  31.77333371108144 SMQ 
44 Q0 CACM-2523 2  31.712792989381374 SMQ 
44 Q0 CACM-2325 3  15.583059824100777 SMQ 
44 Q0 CACM-1002 4  12.379738355657583 SMQ 
44 Q0 CACM-1679 5  11.803139810626451 SMQ 
44 Q0 CACM-2825 6  11.557094302363861 SMQ 
44 Q0 CACM-0525 7  10.517441466537104 SMQ 
44 Q0 CACM-2751 8  10.292413407380009 SMQ 
44 Q0 CACM-0931 9  10.26547901798386 SMQ 
44 Q0 CACM-0461 10  10.147536248523142 SMQ 
44 Q0 CACM-0533 11  9.979266152707691 SMQ 
44 Q0 CACM-2478 12  9.933519020175337 SMQ 
44 Q0 CACM-1653 13  9.78521680457938 SMQ 
44 Q0 CACM-1809 14  9.713809611375702 SMQ 
44 Q0 CACM-2494 15  9.642937557777932 SMQ 
44 Q0 CACM-1732 16  9.396821103790511 SMQ 
44 Q0 CACM-1823 17  9.396821103790511 SMQ 
44 Q0 CACM-1260 18  9.28600040267192 SMQ 
44 Q0 CACM-2221 19  9.025045876777623 SMQ 
44 Q0 CACM-1801 20  8.999524395828333 SMQ 
44 Q0 CACM-2735 21  8.734704649401031 SMQ 
44 Q0 CACM-1404 22  8.63600162933327 SMQ 
44 Q0 CACM-1802 23  8.523252010876812 SMQ 
44 Q0 CACM-2812 24  8.46030058424367 SMQ 
44 Q0 CACM-0974 25  8.418758392553576 SMQ 
44 Q0 CACM-2286 26  8.34888744001608 SMQ 
44 Q0 CACM-1435 27  8.310959735609215 SMQ 
44 Q0 CACM-0633 28  8.260213562126404 SMQ 
44 Q0 CACM-2310 29  8.25386384229772 SMQ 
44 Q0 CACM-2771 30  8.18415078575479 SMQ 
44 Q0 CACM-1686 31  8.050364573713455 SMQ 
44 Q0 CACM-1014 32  8.042952393688763 SMQ 
44 Q0 CACM-1141 33  8.028663745928528 SMQ 
44 Q0 CACM-1780 34  8.028663745928528 SMQ 
44 Q0 CACM-1782 35  7.974868602415018 SMQ 
44 Q0 CACM-2387 36  7.945152791991806 SMQ 
44 Q0 CACM-2050 37  7.89325562885406 SMQ 
44 Q0 CACM-2719 38  7.838353709539822 SMQ 
44 Q0 CACM-0167 39  7.821950920735897 SMQ 
44 Q0 CACM-1104 40  7.821950920735897 SMQ 
44 Q0 CACM-1855 41  7.7855487947757975 SMQ 
44 Q0 CACM-1365 42  7.740829821615247 SMQ 
44 Q0 CACM-0085 43  7.726371687155864 SMQ 
44 Q0 CACM-0826 44  7.6353307504559105 SMQ 
44 Q0 CACM-1250 45  7.6353307504559105 SMQ 
44 Q0 CACM-0464 46  7.621048145829756 SMQ 
44 Q0 CACM-0726 47  7.5407501831085 SMQ 
44 Q0 CACM-1709 48  7.512208816118938 SMQ 
44 Q0 CACM-1325 49  7.508612963402993 SMQ 
44 Q0 CACM-2447 50  7.497726527921545 SMQ 
44 Q0 CACM-1927 51  7.480835217722918 SMQ 
44 Q0 CACM-3149 52  7.4667367573344645 SMQ 
44 Q0 CACM-2125 53  7.463148273254047 SMQ 
44 Q0 CACM-1034 54  7.445073092667951 SMQ 
44 Q0 CACM-1916 55  7.418465701265657 SMQ 
44 Q0 CACM-2634 56  7.4162645237632585 SMQ 
44 Q0 CACM-2871 57  7.400153578252186 SMQ 
44 Q0 CACM-0238 58  7.385649329897661 SMQ 
44 Q0 CACM-1669 59  7.347039889913752 SMQ 
44 Q0 CACM-1668 60  7.309199037231373 SMQ 
44 Q0 CACM-2923 61  7.287909427585434 SMQ 
44 Q0 CACM-2739 62  7.277236926626411 SMQ 
44 Q0 CACM-2754 63  7.263661991398648 SMQ 
44 Q0 CACM-0912 64  7.235707534570761 SMQ 
44 Q0 CACM-1917 65  7.200003092491443 SMQ 
44 Q0 CACM-0643 66  7.164959423134174 SMQ 
44 Q0 CACM-2831 67  7.164959423134174 SMQ 
44 Q0 CACM-1515 68  7.140672658133912 SMQ 
44 Q0 CACM-1424 69  7.1305531174645544 SMQ 
44 Q0 CACM-2062 70  7.113276828090232 SMQ 
44 Q0 CACM-1837 71  7.063564984980527 SMQ 
44 Q0 CACM-1921 72  7.063564984980527 SMQ 
44 Q0 CACM-1989 73  7.056995102749819 SMQ 
44 Q0 CACM-1507 74  7.052627861516607 SMQ 
44 Q0 CACM-1683 75  7.052627861516607 SMQ 
44 Q0 CACM-2820 76  7.0400818915969605 SMQ 
44 Q0 CACM-2505 77  7.03094212045341 SMQ 
44 Q0 CACM-3078 78  7.022413995781967 SMQ 
44 Q0 CACM-2947 79  6.998792216723789 SMQ 
44 Q0 CACM-3022 80  6.992932152821272 SMQ 
44 Q0 CACM-2643 81  6.962612906625681 SMQ 
44 Q0 CACM-0329 82  6.936332963381314 SMQ 
44 Q0 CACM-2823 83  6.932752832460854 SMQ 
44 Q0 CACM-2560 84  6.920163627727101 SMQ 
44 Q0 CACM-2671 85  6.905825659802982 SMQ 
44 Q0 CACM-1045 86  6.875806207864581 SMQ 
44 Q0 CACM-2025 87  6.788529170189804 SMQ 
44 Q0 CACM-1885 88  6.764892386847961 SMQ 
44 Q0 CACM-1366 89  6.713999348484024 SMQ 
44 Q0 CACM-0825 90  6.7024489141826615 SMQ 
44 Q0 CACM-1272 91  6.7024489141826615 SMQ 
44 Q0 CACM-2877 92  6.696105132380698 SMQ 
44 Q0 CACM-2924 93  6.639315960784132 SMQ 
44 Q0 CACM-1529 94  6.625328915902993 SMQ 
44 Q0 CACM-2437 95  6.573960048529656 SMQ 
44 Q0 CACM-2824 96  6.573960048529656 SMQ 
44 Q0 CACM-1083 97  6.559780798854973 SMQ 
44 Q0 CACM-3069 98  6.5239747686389435 SMQ 
44 Q0 CACM-2988 99  6.503810384078228 SMQ 
44 Q0 CACM-1482 100  6.4960051064343585 SMQ 
