29 Q0 CACM-2644 1  13.847880091687102 SMQ 
29 Q0 CACM-2200 2  13.771341108096717 SMQ 
29 Q0 CACM-2927 3  12.036743281014951 SMQ 
29 Q0 CACM-3021 4  11.576619853735625 SMQ 
29 Q0 CACM-3131 5  11.38973841395859 SMQ 
29 Q0 CACM-0942 6  10.846521105124571 SMQ 
29 Q0 CACM-1840 7  10.625445646304911 SMQ 
29 Q0 CACM-1539 8  10.49319523861578 SMQ 
29 Q0 CACM-1841 9  10.369285815750487 SMQ 
29 Q0 CACM-2229 10  10.355963259054544 SMQ 
29 Q0 CACM-1874 11  10.326714274702967 SMQ 
29 Q0 CACM-2089 12  10.162183728489577 SMQ 
29 Q0 CACM-2420 13  10.110887307664342 SMQ 
29 Q0 CACM-1537 14  9.892039572195849 SMQ 
29 Q0 CACM-1538 15  9.892039572195849 SMQ 
29 Q0 CACM-2462 16  9.892039572195849 SMQ 
29 Q0 CACM-1933 17  9.638870203278344 SMQ 
29 Q0 CACM-0804 18  9.288060921760534 SMQ 
29 Q0 CACM-2138 19  9.210179558082544 SMQ 
29 Q0 CACM-1967 20  9.188782513038438 SMQ 
29 Q0 CACM-2289 21  8.933732997440835 SMQ 
29 Q0 CACM-2402 22  8.820614065809838 SMQ 
29 Q0 CACM-0944 23  8.623102085819188 SMQ 
29 Q0 CACM-1420 24  8.529166848150606 SMQ 
29 Q0 CACM-2767 25  8.507113958423634 SMQ 
29 Q0 CACM-2355 26  8.446246432608932 SMQ 
29 Q0 CACM-1257 27  8.40219300092092 SMQ 
29 Q0 CACM-2770 28  8.394490756831608 SMQ 
29 Q0 CACM-2276 29  8.393956725809526 SMQ 
29 Q0 CACM-2507 30  8.076014206536403 SMQ 
29 Q0 CACM-2206 31  8.039723319392914 SMQ 
29 Q0 CACM-2555 32  7.762303925006762 SMQ 
29 Q0 CACM-2031 33  7.707816628090821 SMQ 
29 Q0 CACM-1725 34  7.673879697057554 SMQ 
29 Q0 CACM-2605 35  7.599258967821527 SMQ 
29 Q0 CACM-3037 36  7.538838355474519 SMQ 
29 Q0 CACM-1946 37  7.417917133786611 SMQ 
29 Q0 CACM-2095 38  7.312595279431836 SMQ 
29 Q0 CACM-2657 39  7.254159074612342 SMQ 
29 Q0 CACM-1691 40  7.239976115331249 SMQ 
29 Q0 CACM-1497 41  7.155223182466634 SMQ 
29 Q0 CACM-2109 42  7.048852538133712 SMQ 
29 Q0 CACM-1697 43  7.031642158080565 SMQ 
29 Q0 CACM-1957 44  6.976513582569187 SMQ 
29 Q0 CACM-1385 45  6.853976851391293 SMQ 
29 Q0 CACM-2325 46  6.85279928847538 SMQ 
29 Q0 CACM-0063 47  6.703213516517887 SMQ 
29 Q0 CACM-2114 48  6.688158541629253 SMQ 
29 Q0 CACM-1679 49  6.631828209062279 SMQ 
29 Q0 CACM-2561 50  6.590911731976253 SMQ 
29 Q0 CACM-2447 51  6.555488970062141 SMQ 
29 Q0 CACM-1924 52  6.538195949905419 SMQ 
29 Q0 CACM-1099 53  6.499593586557122 SMQ 
29 Q0 CACM-1862 54  6.473221075981772 SMQ 
29 Q0 CACM-1386 55  6.466513614543412 SMQ 
29 Q0 CACM-2606 56  6.452365840086672 SMQ 
29 Q0 CACM-2490 57  6.4358167449940495 SMQ 
29 Q0 CACM-2146 58  6.391780138430518 SMQ 
29 Q0 CACM-0116 59  6.363106816607256 SMQ 
29 Q0 CACM-3027 60  6.325748719712269 SMQ 
29 Q0 CACM-2306 61  6.30349438274982 SMQ 
29 Q0 CACM-2726 62  6.271388832809998 SMQ 
29 Q0 CACM-1094 63  6.252422509940178 SMQ 
29 Q0 CACM-2723 64  6.219235978221813 SMQ 
29 Q0 CACM-1171 65  6.187765548679764 SMQ 
29 Q0 CACM-2986 66  6.163973641824141 SMQ 
29 Q0 CACM-3166 67  6.062748968684366 SMQ 
29 Q0 CACM-1145 68  6.061047181144437 SMQ 
29 Q0 CACM-1710 69  6.032407722889866 SMQ 
29 Q0 CACM-2694 70  6.014309037432453 SMQ 
