55 Q0 CACM-1665 1  27.715931794905824 SMQ 
55 Q0 CACM-2112 2  27.109461304378442 SMQ 
55 Q0 CACM-2650 3  26.789553208313336 SMQ 
55 Q0 CACM-2921 4  25.5979316658158 SMQ 
55 Q0 CACM-1896 5  20.928640213029773 SMQ 
55 Q0 CACM-2051 6  20.89435673773076 SMQ 
55 Q0 CACM-1898 7  20.830364126363744 SMQ 
55 Q0 CACM-1993 8  20.553524293940473 SMQ 
55 Q0 CACM-1355 9  20.220220851885124 SMQ 
55 Q0 CACM-1739 10  19.90936405190094 SMQ 
55 Q0 CACM-2838 11  19.684190257071535 SMQ 
55 Q0 CACM-1846 12  18.592772806462907 SMQ 
55 Q0 CACM-1453 13  17.84432619425322 SMQ 
55 Q0 CACM-1906 14  15.908133857368451 SMQ 
55 Q0 CACM-1470 15  15.345875028174202 SMQ 
55 Q0 CACM-3056 16  14.668440075019543 SMQ 
55 Q0 CACM-1612 17  14.08476694185328 SMQ 
55 Q0 CACM-1962 18  13.839501455121543 SMQ 
55 Q0 CACM-3096 19  12.41059703796428 SMQ 
55 Q0 CACM-1469 20  12.002059418327335 SMQ 
55 Q0 CACM-3198 21  11.814629100262836 SMQ 
55 Q0 CACM-3034 22  11.695629434110472 SMQ 
55 Q0 CACM-1259 23  11.590983669323226 SMQ 
55 Q0 CACM-1235 24  11.463687058035834 SMQ 
55 Q0 CACM-2078 25  11.275966203460886 SMQ 
55 Q0 CACM-2398 26  11.274420646844018 SMQ 
55 Q0 CACM-1886 27  11.27244538519405 SMQ 
55 Q0 CACM-1379 28  11.258440168017636 SMQ 
55 Q0 CACM-2704 29  10.984742145450832 SMQ 
55 Q0 CACM-1324 30  10.749476730974896 SMQ 
55 Q0 CACM-2175 31  10.697294582264947 SMQ 
55 Q0 CACM-3065 32  10.429083874455973 SMQ 
55 Q0 CACM-3044 33  10.412216392275553 SMQ 
55 Q0 CACM-1152 34  10.327476980160466 SMQ 
55 Q0 CACM-3110 35  10.24457196999849 SMQ 
55 Q0 CACM-1237 36  10.23740154916792 SMQ 
55 Q0 CACM-1084 37  10.200926553538888 SMQ 
55 Q0 CACM-2002 38  10.115351409741375 SMQ 
55 Q0 CACM-1035 39  9.994547489779485 SMQ 
55 Q0 CACM-1488 40  9.903992664657025 SMQ 
55 Q0 CACM-1988 41  9.882943246875586 SMQ 
55 Q0 CACM-1216 42  9.808843303849597 SMQ 
