27 Q0 CACM-2297 1  16.592414980621026 SMQ 
27 Q0 CACM-2069 2  14.168154762354076 SMQ 
27 Q0 CACM-1752 3  13.137340450824464 SMQ 
27 Q0 CACM-2358 4  13.07026416841996 SMQ 
27 Q0 CACM-2319 5  12.991599920040146 SMQ 
27 Q0 CACM-3006 6  12.4191981693949 SMQ 
27 Q0 CACM-1751 7  12.165393574179802 SMQ 
27 Q0 CACM-1892 8  12.10147713966695 SMQ 
27 Q0 CACM-2902 9  12.04150320056244 SMQ 
27 Q0 CACM-2374 10  11.923904959705744 SMQ 
27 Q0 CACM-2406 11  11.839001805958297 SMQ 
27 Q0 CACM-3000 12  11.364388329462773 SMQ 
27 Q0 CACM-2988 13  11.271524601631349 SMQ 
27 Q0 CACM-2372 14  11.164874509994155 SMQ 
27 Q0 CACM-1753 15  10.69905941562861 SMQ 
27 Q0 CACM-2740 16  10.610486600032097 SMQ 
27 Q0 CACM-2867 17  10.578926382126067 SMQ 
27 Q0 CACM-1728 18  10.570591153309378 SMQ 
27 Q0 CACM-1750 19  10.46441740664653 SMQ 
27 Q0 CACM-1901 20  10.413078064923155 SMQ 
27 Q0 CACM-2314 21  10.17009714490633 SMQ 
27 Q0 CACM-2379 22  10.103122526340245 SMQ 
27 Q0 CACM-2669 23  10.036383443303105 SMQ 
27 Q0 CACM-3050 24  9.934411888668208 SMQ 
27 Q0 CACM-3067 25  9.698041275342543 SMQ 
27 Q0 CACM-2864 26  9.492895527117568 SMQ 
27 Q0 CACM-1747 27  9.44879090516195 SMQ 
27 Q0 CACM-2017 28  9.438327992301769 SMQ 
27 Q0 CACM-2311 29  9.35029550440033 SMQ 
27 Q0 CACM-2502 30  9.325028944923211 SMQ 
27 Q0 CACM-3068 31  9.2509122725547 SMQ 
27 Q0 CACM-0059 32  9.197616939217268 SMQ 
27 Q0 CACM-3028 33  8.996913689351787 SMQ 
27 Q0 CACM-1541 34  8.968244915818863 SMQ 
27 Q0 CACM-2479 35  8.944557485388433 SMQ 
27 Q0 CACM-0084 36  8.925929246432176 SMQ 
27 Q0 CACM-3011 37  8.894515719655608 SMQ 
27 Q0 CACM-3026 38  8.848508378023702 SMQ 
27 Q0 CACM-1725 39  8.766092730183919 SMQ 
27 Q0 CACM-0086 40  8.741656432532722 SMQ 
27 Q0 CACM-2625 41  8.692241710239665 SMQ 
27 Q0 CACM-1461 42  8.628495751061353 SMQ 
27 Q0 CACM-2798 43  8.602363821212476 SMQ 
