30 Q0 CACM-2876 1  24.66736147510263 SMQ 
30 Q0 CACM-2341 2  22.77276379191232 SMQ 
30 Q0 CACM-1926 3  19.432551938396827 SMQ 
30 Q0 CACM-3142 4  19.228669760997974 SMQ 
30 Q0 CACM-2871 5  17.02490638106366 SMQ 
30 Q0 CACM-2572 6  14.98937093419778 SMQ 
30 Q0 CACM-2864 7  14.882077916466422 SMQ 
30 Q0 CACM-3011 8  14.603013485461224 SMQ 
30 Q0 CACM-0195 9  14.553654025892198 SMQ 
30 Q0 CACM-1908 10  14.093051953881876 SMQ 
30 Q0 CACM-2312 11  14.013714428141018 SMQ 
30 Q0 CACM-1248 12  13.979589149730776 SMQ 
30 Q0 CACM-0248 13  13.901009075167647 SMQ 
30 Q0 CACM-2931 14  13.33243076058936 SMQ 
30 Q0 CACM-0084 15  13.170880303120903 SMQ 
30 Q0 CACM-1470 16  12.997984317631088 SMQ 
30 Q0 CACM-1112 17  12.825299205833568 SMQ 
30 Q0 CACM-1518 18  12.805351319540183 SMQ 
30 Q0 CACM-0718 19  12.799963638260001 SMQ 
30 Q0 CACM-2987 20  12.60896646678468 SMQ 
30 Q0 CACM-1001 21  12.528398686383428 SMQ 
30 Q0 CACM-1698 22  12.429106061774936 SMQ 
30 Q0 CACM-2786 23  12.387195832458197 SMQ 
30 Q0 CACM-2541 24  12.34655283579281 SMQ 
30 Q0 CACM-3179 25  12.298977956015973 SMQ 
30 Q0 CACM-3173 26  12.055120642302688 SMQ 
30 Q0 CACM-2764 27  11.981731811036001 SMQ 
30 Q0 CACM-1616 28  11.899938344320063 SMQ 
30 Q0 CACM-1828 29  11.815816030494378 SMQ 
30 Q0 CACM-0397 30  11.781361581193414 SMQ 
30 Q0 CACM-2835 31  11.70431602746435 SMQ 
30 Q0 CACM-1413 32  11.59113202500244 SMQ 
30 Q0 CACM-2988 33  11.524033974227697 SMQ 
30 Q0 CACM-2519 34  11.50308799276703 SMQ 
30 Q0 CACM-1625 35  11.493917867482516 SMQ 
30 Q0 CACM-2989 36  11.452455592190233 SMQ 
30 Q0 CACM-1457 37  11.444400491439687 SMQ 
30 Q0 CACM-3089 38  11.401545013194747 SMQ 
30 Q0 CACM-2909 39  11.364018910060931 SMQ 
30 Q0 CACM-2882 40  11.235820379909299 SMQ 
30 Q0 CACM-1383 41  11.216296144346833 SMQ 
30 Q0 CACM-2927 42  11.148075675607135 SMQ 
30 Q0 CACM-0724 43  10.96894151340659 SMQ 
30 Q0 CACM-2479 44  10.754534785832348 SMQ 
30 Q0 CACM-2314 45  10.740269953423967 SMQ 
30 Q0 CACM-2580 46  10.687230412647626 SMQ 
30 Q0 CACM-2165 47  10.645614702131267 SMQ 
30 Q0 CACM-1267 48  10.620350653716507 SMQ 
30 Q0 CACM-1461 49  10.562253452569342 SMQ 
30 Q0 CACM-2629 50  10.465305340961368 SMQ 
30 Q0 CACM-1196 51  10.313529046504065 SMQ 
30 Q0 CACM-1324 52  10.032286271228514 SMQ 
