58 Q0 CACM-2634 1  34.45918508215658 SMQ 
58 Q0 CACM-3138 2  33.65664481976029 SMQ 
58 Q0 CACM-1344 3  33.21457554502019 SMQ 
58 Q0 CACM-2849 4  31.91317705066647 SMQ 
58 Q0 CACM-1474 5  31.847822466272493 SMQ 
58 Q0 CACM-1709 6  29.885819802545168 SMQ 
58 Q0 CACM-1695 7  29.486991015986007 SMQ 
58 Q0 CACM-1946 8  28.867048427657295 SMQ 
58 Q0 CACM-1691 9  28.76890672464552 SMQ 
58 Q0 CACM-1698 10  27.902217993688186 SMQ 
58 Q0 CACM-2771 11  27.479118114124574 SMQ 
58 Q0 CACM-3087 12  27.066120480867117 SMQ 
58 Q0 CACM-1206 13  26.793545430968596 SMQ 
58 Q0 CACM-3166 14  26.749078882245822 SMQ 
58 Q0 CACM-2373 15  26.611531798740756 SMQ 
58 Q0 CACM-2994 16  26.23575069252661 SMQ 
58 Q0 CACM-1816 17  26.21981701189624 SMQ 
58 Q0 CACM-1609 18  25.36517965754451 SMQ 
58 Q0 CACM-1264 19  25.35561662831302 SMQ 
58 Q0 CACM-2993 20  25.26036664823337 SMQ 
58 Q0 CACM-3049 21  24.65149696884888 SMQ 
58 Q0 CACM-1454 22  24.46801411738891 SMQ 
58 Q0 CACM-2665 23  24.458318565328668 SMQ 
58 Q0 CACM-1171 24  24.358308061136754 SMQ 
58 Q0 CACM-1629 25  24.341932232047395 SMQ 
58 Q0 CACM-1366 26  24.32227231909236 SMQ 
58 Q0 CACM-1252 27  24.28254055909409 SMQ 
58 Q0 CACM-2525 28  24.245110158490373 SMQ 
58 Q0 CACM-2216 29  24.078941682914415 SMQ 
58 Q0 CACM-2786 30  23.85274058163886 SMQ 
58 Q0 CACM-2188 31  23.52735401393419 SMQ 
58 Q0 CACM-1270 32  23.342125268317684 SMQ 
58 Q0 CACM-1978 33  23.34197563415126 SMQ 
58 Q0 CACM-2167 34  23.19339440437951 SMQ 
58 Q0 CACM-1637 35  23.01060483911268 SMQ 
58 Q0 CACM-2145 36  22.662933034437 SMQ 
58 Q0 CACM-1433 37  22.564723694319532 SMQ 
58 Q0 CACM-0865 38  22.393969517033774 SMQ 
58 Q0 CACM-1420 39  22.373526761926026 SMQ 
58 Q0 CACM-2470 40  22.340448368560377 SMQ 
58 Q0 CACM-2986 41  22.29926752119203 SMQ 
58 Q0 CACM-2310 42  22.29196015894308 SMQ 
58 Q0 CACM-2670 43  22.24912503119167 SMQ 
58 Q0 CACM-2951 44  22.244855964563577 SMQ 
58 Q0 CACM-2604 45  22.221526351940433 SMQ 
58 Q0 CACM-1410 46  22.211947725093776 SMQ 
58 Q0 CACM-2098 47  22.19128716245979 SMQ 
58 Q0 CACM-3150 48  22.058073753235746 SMQ 
58 Q0 CACM-2395 49  21.926769535100604 SMQ 
58 Q0 CACM-1779 50  21.889796053517518 SMQ 
58 Q0 CACM-2645 51  21.8399499972263 SMQ 
58 Q0 CACM-1768 52  21.72951011822323 SMQ 
58 Q0 CACM-1631 53  21.709236119469015 SMQ 
58 Q0 CACM-2135 54  21.698423706417003 SMQ 
58 Q0 CACM-1944 55  21.657815558381444 SMQ 
58 Q0 CACM-2514 56  21.49640941329241 SMQ 
58 Q0 CACM-3142 57  21.481194825214907 SMQ 
58 Q0 CACM-1391 58  21.4171386494219 SMQ 
58 Q0 CACM-3105 59  21.23042185835388 SMQ 
58 Q0 CACM-2999 60  21.183571661790303 SMQ 
58 Q0 CACM-2062 61  21.129560743542697 SMQ 
58 Q0 CACM-1398 62  21.03512572474029 SMQ 
58 Q0 CACM-2753 63  20.789499405958537 SMQ 
58 Q0 CACM-1650 64  20.74135006799589 SMQ 
58 Q0 CACM-2820 65  20.659445695082752 SMQ 
58 Q0 CACM-1835 66  20.47510235409703 SMQ 
58 Q0 CACM-2439 67  20.40017043524011 SMQ 
58 Q0 CACM-1464 68  20.35349194363249 SMQ 
58 Q0 CACM-1856 69  20.346929426491748 SMQ 
58 Q0 CACM-1697 70  20.27970627341182 SMQ 
58 Q0 CACM-3136 71  20.220607616181585 SMQ 
58 Q0 CACM-2787 72  20.144393319324028 SMQ 
58 Q0 CACM-3131 73  20.123988208611735 SMQ 
58 Q0 CACM-2866 74  20.039828565276345 SMQ 
58 Q0 CACM-1066 75  19.98103073451894 SMQ 
58 Q0 CACM-1674 76  19.918118668569132 SMQ 
58 Q0 CACM-2217 77  19.91184079374086 SMQ 
58 Q0 CACM-1977 78  19.89720373957864 SMQ 
58 Q0 CACM-1848 79  19.8535990771889 SMQ 
58 Q0 CACM-1423 80  19.80329770171486 SMQ 
58 Q0 CACM-1455 81  19.709794145018535 SMQ 
58 Q0 CACM-1411 82  19.703977604571165 SMQ 
58 Q0 CACM-2402 83  19.692732332668044 SMQ 
58 Q0 CACM-1169 84  19.65367969882953 SMQ 
58 Q0 CACM-2722 85  19.648418069867176 SMQ 
58 Q0 CACM-2484 86  19.464863816513642 SMQ 
58 Q0 CACM-2851 87  19.457913842184578 SMQ 
58 Q0 CACM-2825 88  19.412187378085264 SMQ 
58 Q0 CACM-2860 89  19.39589315808224 SMQ 
58 Q0 CACM-1988 90  19.30783210982956 SMQ 
58 Q0 CACM-0202 91  19.29035429928188 SMQ 
58 Q0 CACM-0944 92  19.245371672668416 SMQ 
