21 Q0 CACM-2337 1  14.768392862281063 SMQ 
21 Q0 CACM-2325 2  14.327193339396782 SMQ 
21 Q0 CACM-2997 3  13.134041265542042 SMQ 
21 Q0 CACM-3086 4  12.455412193880878 SMQ 
21 Q0 CACM-2837 5  11.858809642271563 SMQ 
21 Q0 CACM-2216 6  10.960796197777988 SMQ 
21 Q0 CACM-2110 7  10.906565119003483 SMQ 
21 Q0 CACM-3018 8  10.607044889653766 SMQ 
21 Q0 CACM-2927 9  10.292118717826547 SMQ 
21 Q0 CACM-2932 10  10.175354139784629 SMQ 
21 Q0 CACM-2743 11  9.859267122164923 SMQ 
21 Q0 CACM-2986 12  9.615000418995526 SMQ 
21 Q0 CACM-1309 13  9.548874972026063 SMQ 
21 Q0 CACM-2950 14  9.265311526538987 SMQ 
21 Q0 CACM-2251 15  9.117060350279806 SMQ 
21 Q0 CACM-2784 16  9.041804511702123 SMQ 
21 Q0 CACM-3070 17  8.997173715726994 SMQ 
21 Q0 CACM-1658 18  8.939796615611206 SMQ 
21 Q0 CACM-2454 19  8.927155481656545 SMQ 
21 Q0 CACM-3131 20  8.870175001851985 SMQ 
21 Q0 CACM-2706 21  8.805030830197804 SMQ 
21 Q0 CACM-2679 22  8.578276406123724 SMQ 
21 Q0 CACM-3162 23  8.541485664192205 SMQ 
21 Q0 CACM-2702 24  8.537795872081773 SMQ 
21 Q0 CACM-1491 25  8.524413492231172 SMQ 
21 Q0 CACM-3055 26  8.417281476693933 SMQ 
21 Q0 CACM-1619 27  8.348865585439148 SMQ 
21 Q0 CACM-2365 28  8.213473102768281 SMQ 
21 Q0 CACM-2936 29  8.205413640263881 SMQ 
21 Q0 CACM-2903 30  8.198741659725128 SMQ 
21 Q0 CACM-2953 31  8.138016697347556 SMQ 
21 Q0 CACM-2033 32  8.121818293822916 SMQ 
21 Q0 CACM-1462 33  8.101250995862372 SMQ 
21 Q0 CACM-2828 34  8.086583046027421 SMQ 
21 Q0 CACM-3166 35  8.046980003491656 SMQ 
21 Q0 CACM-2226 36  8.020559942459727 SMQ 
21 Q0 CACM-2645 37  7.884255741092843 SMQ 
21 Q0 CACM-2703 38  7.783990579713359 SMQ 
