23 Q0 CACM-3148 1  11.330352377468666 SMQ 
23 Q0 CACM-1745 2  9.84609276231389 SMQ 
23 Q0 CACM-3137 3  9.687532884763547 SMQ 
23 Q0 CACM-2849 4  9.65753094136037 SMQ 
23 Q0 CACM-2081 5  9.578637585602895 SMQ 
23 Q0 CACM-2276 6  9.383477239777827 SMQ 
23 Q0 CACM-2406 7  9.283784835617613 SMQ 
23 Q0 CACM-3025 8  8.145545168854126 SMQ 
23 Q0 CACM-2630 9  7.923876877119297 SMQ 
23 Q0 CACM-2433 10  7.867438671625301 SMQ 
23 Q0 CACM-2890 11  7.7810151740312286 SMQ 
23 Q0 CACM-2832 12  7.777049443202561 SMQ 
23 Q0 CACM-1411 13  7.750222228768763 SMQ 
23 Q0 CACM-2216 14  7.723603917224738 SMQ 
23 Q0 CACM-1873 15  7.662977427856559 SMQ 
23 Q0 CACM-2834 16  7.63723980546658 SMQ 
23 Q0 CACM-3124 17  7.593782545410605 SMQ 
23 Q0 CACM-2454 18  7.586425302365499 SMQ 
23 Q0 CACM-3141 19  7.553452939531503 SMQ 
23 Q0 CACM-2169 20  7.48885882787671 SMQ 
23 Q0 CACM-3166 21  7.397116194043977 SMQ 
23 Q0 CACM-2130 22  7.371227468039338 SMQ 
23 Q0 CACM-3043 23  7.354710429542506 SMQ 
23 Q0 CACM-2766 24  7.212053874393767 SMQ 
23 Q0 CACM-2373 25  7.20080710009707 SMQ 
23 Q0 CACM-2999 26  7.162770779362637 SMQ 
23 Q0 CACM-0371 27  6.971311143953496 SMQ 
23 Q0 CACM-3082 28  6.920169300072395 SMQ 
23 Q0 CACM-2949 29  6.909547464789833 SMQ 
23 Q0 CACM-2060 30  6.808084640000499 SMQ 
23 Q0 CACM-3032 31  6.768739521637135 SMQ 
23 Q0 CACM-3037 32  6.752098481604395 SMQ 
23 Q0 CACM-2092 33  6.63130889176544 SMQ 
23 Q0 CACM-1153 34  6.550510501129176 SMQ 
23 Q0 CACM-2114 35  6.529826356937566 SMQ 
23 Q0 CACM-3086 36  6.497827133518594 SMQ 
23 Q0 CACM-2883 37  6.4312468963294815 SMQ 
23 Q0 CACM-2855 38  6.430292406393319 SMQ 
23 Q0 CACM-2484 39  6.414599368690242 SMQ 
23 Q0 CACM-2314 40  6.410447674191765 SMQ 
23 Q0 CACM-2756 41  6.404968782281612 SMQ 
23 Q0 CACM-1810 42  6.362313904412676 SMQ 
23 Q0 CACM-1862 43  6.27980405236775 SMQ 
23 Q0 CACM-2838 44  6.27318168555151 SMQ 
23 Q0 CACM-1946 45  6.268441097277815 SMQ 
23 Q0 CACM-2723 46  6.261887383160704 SMQ 
23 Q0 CACM-1224 47  6.192044583894912 SMQ 
23 Q0 CACM-0657 48  6.186331939035746 SMQ 
23 Q0 CACM-2709 49  6.130658540980676 SMQ 
23 Q0 CACM-3128 50  6.105224396935997 SMQ 
23 Q0 CACM-2578 51  6.0961297661580796 SMQ 
23 Q0 CACM-2828 52  6.077527803324905 SMQ 
23 Q0 CACM-2833 53  6.047201272932611 SMQ 
23 Q0 CACM-1275 54  6.036886761872566 SMQ 
23 Q0 CACM-3164 55  5.954676446965044 SMQ 
23 Q0 CACM-1423 56  5.9453134226018625 SMQ 
23 Q0 CACM-2816 57  5.944288498530806 SMQ 
23 Q0 CACM-2032 58  5.860688883383905 SMQ 
23 Q0 CACM-2969 59  5.84809803179556 SMQ 
23 Q0 CACM-2402 60  5.830785710750636 SMQ 
23 Q0 CACM-2325 61  5.8129038592022875 SMQ 
23 Q0 CACM-2963 62  5.78141471066058 SMQ 
23 Q0 CACM-2197 63  5.762117549362466 SMQ 
23 Q0 CACM-2524 64  5.761450121337965 SMQ 
23 Q0 CACM-2665 65  5.715756900288719 SMQ 
23 Q0 CACM-3011 66  5.636538139107205 SMQ 
23 Q0 CACM-0052 67  5.6338839924376165 SMQ 
23 Q0 CACM-2417 68  5.630887679700749 SMQ 
23 Q0 CACM-3090 69  5.609693721237184 SMQ 
23 Q0 CACM-2357 70  5.607452455959454 SMQ 
23 Q0 CACM-2926 71  5.590099369513723 SMQ 
23 Q0 CACM-0088 72  5.571594232373894 SMQ 
23 Q0 CACM-2810 73  5.5597849390405445 SMQ 
23 Q0 CACM-2615 74  5.538242566317801 SMQ 
23 Q0 CACM-1431 75  5.528588493960704 SMQ 
23 Q0 CACM-2594 76  5.506643068217841 SMQ 
23 Q0 CACM-1525 77  5.496795146000174 SMQ 
23 Q0 CACM-1780 78  5.484928651088317 SMQ 
23 Q0 CACM-1889 79  5.473666376574265 SMQ 
23 Q0 CACM-2371 80  5.472836348736394 SMQ 
23 Q0 CACM-2155 81  5.4483324855920685 SMQ 
23 Q0 CACM-3156 82  5.447061314744733 SMQ 
23 Q0 CACM-1158 83  5.427995745765467 SMQ 
23 Q0 CACM-3165 84  5.404796218787941 SMQ 
23 Q0 CACM-2954 85  5.398332796582889 SMQ 
23 Q0 CACM-3158 86  5.287794251777723 SMQ 
23 Q0 CACM-2272 87  5.287314814562969 SMQ 
23 Q0 CACM-3035 88  5.276385130341346 SMQ 
23 Q0 CACM-1050 89  5.261770901323068 SMQ 
23 Q0 CACM-3058 90  5.2402662035201 SMQ 
23 Q0 CACM-3006 91  5.227253674049781 SMQ 
23 Q0 CACM-2968 92  5.199246769943855 SMQ 
