50 Q0 CACM-2714 1  11.088543734477927 SMQ 
50 Q0 CACM-1811 2  10.96256070430266 SMQ 
50 Q0 CACM-3075 3  10.709662774255134 SMQ 
50 Q0 CACM-3156 4  10.332910232313104 SMQ 
50 Q0 CACM-1927 5  9.613821639125684 SMQ 
50 Q0 CACM-2175 6  9.532634916575725 SMQ 
50 Q0 CACM-1457 7  9.460285511281214 SMQ 
50 Q0 CACM-2570 8  9.375495538396263 SMQ 
50 Q0 CACM-1680 9  9.14416527741994 SMQ 
50 Q0 CACM-2278 10  9.030864499435918 SMQ 
50 Q0 CACM-2497 11  9.000370926443953 SMQ 
50 Q0 CACM-2530 12  8.899348816817877 SMQ 
50 Q0 CACM-2114 13  8.855601117119686 SMQ 
50 Q0 CACM-2965 14  8.820091346102101 SMQ 
50 Q0 CACM-2976 15  8.820091346102101 SMQ 
50 Q0 CACM-2288 16  8.789499862109606 SMQ 
50 Q0 CACM-3168 17  8.743245386135657 SMQ 
50 Q0 CACM-0891 18  8.741477887789848 SMQ 
50 Q0 CACM-1699 19  8.637937470038919 SMQ 
50 Q0 CACM-3169 20  8.596263447509777 SMQ 
50 Q0 CACM-2967 21  8.407338167308092 SMQ 
50 Q0 CACM-2990 22  8.29913487656 SMQ 
50 Q0 CACM-1935 23  8.294215954125615 SMQ 
50 Q0 CACM-1601 24  8.26877478957653 SMQ 
50 Q0 CACM-0275 25  8.181401360044603 SMQ 
50 Q0 CACM-0651 26  8.181401360044603 SMQ 
50 Q0 CACM-1681 27  8.144347275588238 SMQ 
50 Q0 CACM-2070 28  8.094115520778182 SMQ 
50 Q0 CACM-2519 29  8.071764458543017 SMQ 
50 Q0 CACM-1830 30  8.014197192129913 SMQ 
50 Q0 CACM-3134 31  7.9411316246847115 SMQ 
50 Q0 CACM-3012 32  7.936025764894563 SMQ 
50 Q0 CACM-2140 33  7.896097314854761 SMQ 
50 Q0 CACM-2723 34  7.763873185534913 SMQ 
50 Q0 CACM-0082 35  7.712700321810128 SMQ 
50 Q0 CACM-0239 36  7.708761515908978 SMQ 
50 Q0 CACM-2516 37  7.685290715428605 SMQ 
50 Q0 CACM-2882 38  7.671741825191711 SMQ 
50 Q0 CACM-2532 39  7.640187843696086 SMQ 
50 Q0 CACM-2631 40  7.639572093230015 SMQ 
50 Q0 CACM-1032 41  7.611398364585065 SMQ 
50 Q0 CACM-1846 42  7.518122833890503 SMQ 
50 Q0 CACM-0292 43  7.5100187027165894 SMQ 
50 Q0 CACM-1831 44  7.5100187027165894 SMQ 
50 Q0 CACM-1359 45  7.446247132315168 SMQ 
50 Q0 CACM-1959 46  7.426619993083777 SMQ 
50 Q0 CACM-1937 47  7.32315376820029 SMQ 
50 Q0 CACM-2865 48  7.317122321279262 SMQ 
50 Q0 CACM-2307 49  7.3160961346900475 SMQ 
50 Q0 CACM-2552 50  7.218964145174226 SMQ 
50 Q0 CACM-2781 51  7.114023281005132 SMQ 
50 Q0 CACM-1675 52  7.100474141818706 SMQ 
50 Q0 CACM-2412 53  7.063666968549653 SMQ 
50 Q0 CACM-2711 54  6.914495076400266 SMQ 
50 Q0 CACM-2846 55  6.903948089187956 SMQ 
50 Q0 CACM-0440 56  6.845986490009491 SMQ 
50 Q0 CACM-1236 57  6.812403677422217 SMQ 
50 Q0 CACM-1652 58  6.803647010932776 SMQ 
50 Q0 CACM-2947 59  6.785083266923052 SMQ 
50 Q0 CACM-2493 60  6.781122892949115 SMQ 
50 Q0 CACM-2795 61  6.756974062013663 SMQ 
50 Q0 CACM-2561 62  6.741089173068045 SMQ 
50 Q0 CACM-2160 63  6.725382865240192 SMQ 
50 Q0 CACM-2032 64  6.5912074406642915 SMQ 
50 Q0 CACM-2455 65  6.582795169287062 SMQ 
50 Q0 CACM-2451 66  6.552218192232585 SMQ 
50 Q0 CACM-1514 67  6.5379865476142225 SMQ 
50 Q0 CACM-1747 68  6.525806491566543 SMQ 
50 Q0 CACM-1527 69  6.5254572546931175 SMQ 
50 Q0 CACM-2623 70  6.518152694034496 SMQ 
50 Q0 CACM-1367 71  6.494039321899478 SMQ 
50 Q0 CACM-2896 72  6.494039321899478 SMQ 
50 Q0 CACM-1725 73  6.484881338268955 SMQ 
50 Q0 CACM-1711 74  6.450508482707477 SMQ 
50 Q0 CACM-1960 75  6.397193283260059 SMQ 
50 Q0 CACM-0670 76  6.393390320385882 SMQ 
50 Q0 CACM-1262 77  6.381577806464145 SMQ 
50 Q0 CACM-1976 78  6.361600748752579 SMQ 
50 Q0 CACM-2484 79  6.352738271552135 SMQ 
50 Q0 CACM-0303 80  6.2849332031800635 SMQ 
50 Q0 CACM-3135 81  6.2747627429489325 SMQ 
50 Q0 CACM-2166 82  6.262311558144251 SMQ 
50 Q0 CACM-2987 83  6.234551666234705 SMQ 
50 Q0 CACM-2664 84  6.231647366265124 SMQ 
50 Q0 CACM-1665 85  6.211283039252779 SMQ 
50 Q0 CACM-1194 86  6.168319213933519 SMQ 
50 Q0 CACM-2139 87  6.160100531890922 SMQ 
50 Q0 CACM-1988 88  6.128936009992778 SMQ 
50 Q0 CACM-2575 89  6.121653013257442 SMQ 
50 Q0 CACM-1684 90  6.119095716245622 SMQ 
50 Q0 CACM-1409 91  6.076446300050716 SMQ 
50 Q0 CACM-1456 92  6.062351090769846 SMQ 
50 Q0 CACM-2973 93  6.057561945701636 SMQ 
50 Q0 CACM-0655 94  6.054010244474652 SMQ 
50 Q0 CACM-2650 95  6.043898301591522 SMQ 
50 Q0 CACM-3096 96  6.027585171436222 SMQ 
50 Q0 CACM-2388 97  6.007154009787465 SMQ 
50 Q0 CACM-2258 98  5.9697707664363975 SMQ 
50 Q0 CACM-1627 99  5.95525802938633 SMQ 
50 Q0 CACM-2645 100  5.955219389948053 SMQ 
