29 Q0 CACM-2200 1  14.923381282636122 SMQ 
29 Q0 CACM-2644 2  14.877699170498984 SMQ 
29 Q0 CACM-2927 3  12.943244728440503 SMQ 
29 Q0 CACM-3021 4  12.649615790826608 SMQ 
29 Q0 CACM-3131 5  12.58911345424439 SMQ 
29 Q0 CACM-2229 6  12.086774096344682 SMQ 
29 Q0 CACM-1874 7  11.734247456964159 SMQ 
29 Q0 CACM-0942 8  11.451718740278217 SMQ 
29 Q0 CACM-2420 9  11.18820296432251 SMQ 
29 Q0 CACM-1840 10  10.625445646304911 SMQ 
29 Q0 CACM-1933 11  10.577949895097827 SMQ 
29 Q0 CACM-1539 12  10.49319523861578 SMQ 
29 Q0 CACM-1841 13  10.369285815750487 SMQ 
29 Q0 CACM-2289 14  10.238954513335825 SMQ 
29 Q0 CACM-0944 15  10.174288511880102 SMQ 
29 Q0 CACM-2089 16  10.162183728489577 SMQ 
29 Q0 CACM-2276 17  9.94514315187044 SMQ 
29 Q0 CACM-1537 18  9.892039572195849 SMQ 
29 Q0 CACM-1538 19  9.892039572195849 SMQ 
29 Q0 CACM-2462 20  9.892039572195849 SMQ 
29 Q0 CACM-2402 21  9.838781227650252 SMQ 
29 Q0 CACM-2355 22  9.798240003596863 SMQ 
29 Q0 CACM-1420 23  9.734071157110876 SMQ 
29 Q0 CACM-2138 24  9.724275737636264 SMQ 
29 Q0 CACM-0804 25  9.288060921760534 SMQ 
29 Q0 CACM-2767 26  9.268411252230264 SMQ 
29 Q0 CACM-1967 27  9.188782513038438 SMQ 
29 Q0 CACM-1257 28  9.066715488731512 SMQ 
29 Q0 CACM-2031 29  8.849894172396535 SMQ 
29 Q0 CACM-3037 30  8.83416120941659 SMQ 
29 Q0 CACM-2555 31  8.682466973816288 SMQ 
29 Q0 CACM-2657 32  8.584899276865464 SMQ 
29 Q0 CACM-1697 33  8.48862068877163 SMQ 
29 Q0 CACM-2325 34  8.468767650809907 SMQ 
29 Q0 CACM-1957 35  8.46112128858009 SMQ 
29 Q0 CACM-2770 36  8.394490756831608 SMQ 
29 Q0 CACM-1385 37  8.314396918228084 SMQ 
29 Q0 CACM-2605 38  8.259147106541455 SMQ 
29 Q0 CACM-1946 39  8.116874574247069 SMQ 
