13 Q0 CACM-1947 1  12.900075144154727 SMQ 
13 Q0 CACM-1795 2  11.673947766584813 SMQ 
13 Q0 CACM-2559 3  11.635710802919977 SMQ 
13 Q0 CACM-2495 4  11.103928269919772 SMQ 
13 Q0 CACM-1886 5  10.94527841203233 SMQ 
13 Q0 CACM-2748 6  10.53970270614801 SMQ 
13 Q0 CACM-2897 7  10.153401545249753 SMQ 
13 Q0 CACM-2944 8  10.043167905918516 SMQ 
13 Q0 CACM-2680 9  9.694725015279996 SMQ 
13 Q0 CACM-2537 10  9.369549541451473 SMQ 
13 Q0 CACM-2491 11  9.144894678112594 SMQ 
13 Q0 CACM-1195 12  9.103346559305027 SMQ 
13 Q0 CACM-2904 13  9.07754725046063 SMQ 
13 Q0 CACM-3171 14  8.992644387659336 SMQ 
13 Q0 CACM-2253 15  8.912031026430538 SMQ 
13 Q0 CACM-3080 16  8.788828505377927 SMQ 
13 Q0 CACM-1901 17  8.517386222320066 SMQ 
13 Q0 CACM-1651 18  8.331038557861834 SMQ 
13 Q0 CACM-1564 19  8.330501438405022 SMQ 
13 Q0 CACM-2929 20  8.230644614674292 SMQ 
13 Q0 CACM-3053 21  8.210144578183076 SMQ 
13 Q0 CACM-2858 22  8.104678929951962 SMQ 
13 Q0 CACM-2374 23  8.085773014879317 SMQ 
13 Q0 CACM-2716 24  8.037399327018013 SMQ 
13 Q0 CACM-3054 25  8.001651323047458 SMQ 
13 Q0 CACM-2856 26  7.747845617379729 SMQ 
13 Q0 CACM-2701 27  7.716031906958474 SMQ 
13 Q0 CACM-2423 28  7.686490897054057 SMQ 
13 Q0 CACM-2464 29  7.6713101943963515 SMQ 
13 Q0 CACM-3005 30  7.558259955094251 SMQ 
13 Q0 CACM-2033 31  7.482435847016317 SMQ 
13 Q0 CACM-1234 32  7.460844559613749 SMQ 
13 Q0 CACM-0267 33  7.4248143377674705 SMQ 
13 Q0 CACM-2611 34  7.321040644550575 SMQ 
13 Q0 CACM-2433 35  7.171256219376637 SMQ 
13 Q0 CACM-0797 36  7.125079415529822 SMQ 
13 Q0 CACM-3083 37  7.1143034348244285 SMQ 
13 Q0 CACM-0066 38  7.099611566385016 SMQ 
13 Q0 CACM-1289 39  6.916038199206314 SMQ 
13 Q0 CACM-2734 40  6.874199326361486 SMQ 
13 Q0 CACM-2524 41  6.847721112146386 SMQ 
13 Q0 CACM-0230 42  6.820097985814715 SMQ 
13 Q0 CACM-1064 43  6.820097985814715 SMQ 
13 Q0 CACM-2835 44  6.774692749319008 SMQ 
13 Q0 CACM-2722 45  6.765078762284533 SMQ 
13 Q0 CACM-1223 46  6.755043828560398 SMQ 
13 Q0 CACM-0149 47  6.736750556272423 SMQ 
13 Q0 CACM-1807 48  6.688129596476722 SMQ 
13 Q0 CACM-1414 49  6.642655464213004 SMQ 
13 Q0 CACM-1542 50  6.584892836830525 SMQ 
13 Q0 CACM-1204 51  6.495524975486327 SMQ 
13 Q0 CACM-2133 52  6.421295569690654 SMQ 
13 Q0 CACM-1275 53  6.406475107599162 SMQ 
13 Q0 CACM-1708 54  6.39192113575035 SMQ 
13 Q0 CACM-2645 55  6.343886501940634 SMQ 
13 Q0 CACM-2892 56  6.328786608491086 SMQ 
13 Q0 CACM-1030 57  6.217770995330406 SMQ 
13 Q0 CACM-1992 58  6.199918643703614 SMQ 
13 Q0 CACM-1655 59  6.144088088795026 SMQ 
13 Q0 CACM-1362 60  6.134254256854435 SMQ 
13 Q0 CACM-3129 61  6.1306278619470795 SMQ 
13 Q0 CACM-2078 62  6.1119269981361874 SMQ 
13 Q0 CACM-2530 63  6.105984862727054 SMQ 
13 Q0 CACM-1235 64  6.105809560992606 SMQ 
13 Q0 CACM-1065 65  6.07359087594794 SMQ 
13 Q0 CACM-0048 66  6.056497187694635 SMQ 
13 Q0 CACM-1757 67  6.043660397494092 SMQ 
13 Q0 CACM-2586 68  6.014258997951357 SMQ 
13 Q0 CACM-2745 69  5.943140307840276 SMQ 
13 Q0 CACM-1352 70  5.889123968088265 SMQ 
13 Q0 CACM-1429 71  5.889123968088265 SMQ 
13 Q0 CACM-2711 72  5.8623574462126795 SMQ 
13 Q0 CACM-2950 73  5.826491325024478 SMQ 
13 Q0 CACM-2126 74  5.81395157847293 SMQ 
13 Q0 CACM-1369 75  5.799842150437966 SMQ 
13 Q0 CACM-1523 76  5.70764424527386 SMQ 
13 Q0 CACM-2365 77  5.6966831044275645 SMQ 
13 Q0 CACM-2230 78  5.648898834227964 SMQ 
13 Q0 CACM-2015 79  5.62461956593486 SMQ 
13 Q0 CACM-0093 80  5.603909241771847 SMQ 
13 Q0 CACM-3134 81  5.589799233817054 SMQ 
13 Q0 CACM-1465 82  5.5332057341502425 SMQ 
13 Q0 CACM-2836 83  5.531586694656611 SMQ 
13 Q0 CACM-2134 84  5.530178436886037 SMQ 
13 Q0 CACM-1270 85  5.5248995708057755 SMQ 
