6 Q0 CACM-0695 1  28.662133178380373 SMQ 
6 Q0 CACM-2828 2  26.968935661089485 SMQ 
6 Q0 CACM-0531 3  25.66993053807587 SMQ 
6 Q0 CACM-2931 4  25.364551244550174 SMQ 
6 Q0 CACM-2826 5  25.321627427669206 SMQ 
6 Q0 CACM-0435 6  24.821609803331445 SMQ 
6 Q0 CACM-2721 7  23.86289191947451 SMQ 
6 Q0 CACM-0492 8  23.788138679539905 SMQ 
6 Q0 CACM-1014 9  23.771344930349336 SMQ 
6 Q0 CACM-0605 10  22.5642809042633 SMQ 
6 Q0 CACM-1867 11  22.019906992000813 SMQ 
6 Q0 CACM-1397 12  21.70878511285722 SMQ 
6 Q0 CACM-1543 13  21.143911292391707 SMQ 
6 Q0 CACM-1365 14  21.125199421604975 SMQ 
6 Q0 CACM-0670 15  20.950841131586497 SMQ 
6 Q0 CACM-1341 16  20.9499571368371 SMQ 
6 Q0 CACM-1623 17  20.807959295342588 SMQ 
6 Q0 CACM-0616 18  20.753678517031666 SMQ 
6 Q0 CACM-1664 19  19.902112247852934 SMQ 
6 Q0 CACM-1234 20  19.763024971808974 SMQ 
6 Q0 CACM-0417 21  19.41686894155609 SMQ 
6 Q0 CACM-1046 22  19.399594300380226 SMQ 
6 Q0 CACM-2230 23  18.923470118604442 SMQ 
6 Q0 CACM-2176 24  18.23796769731895 SMQ 
6 Q0 CACM-1885 25  17.043761403749333 SMQ 
6 Q0 CACM-1009 26  16.782814696782744 SMQ 
6 Q0 CACM-2572 27  16.695879616876642 SMQ 
6 Q0 CACM-1385 28  16.542999919471868 SMQ 
6 Q0 CACM-3033 29  16.507873810444195 SMQ 
6 Q0 CACM-3135 30  16.359950371161762 SMQ 
6 Q0 CACM-3198 31  16.34922653737663 SMQ 
6 Q0 CACM-2046 32  16.302355771400606 SMQ 
6 Q0 CACM-1698 33  16.299482177637252 SMQ 
6 Q0 CACM-2873 34  16.28076387329888 SMQ 
6 Q0 CACM-2486 35  16.221675578554706 SMQ 
6 Q0 CACM-2095 36  16.12861131669072 SMQ 
6 Q0 CACM-2389 37  16.076233237445507 SMQ 
6 Q0 CACM-2810 38  15.914278092293879 SMQ 
6 Q0 CACM-2943 39  15.76175364559171 SMQ 
6 Q0 CACM-2319 40  15.72408837540832 SMQ 
6 Q0 CACM-0731 41  15.665965402467007 SMQ 
6 Q0 CACM-1928 42  15.617747554452299 SMQ 
6 Q0 CACM-0242 43  15.60553712852266 SMQ 
6 Q0 CACM-2622 44  15.582130008060917 SMQ 
6 Q0 CACM-1846 45  15.580850163808286 SMQ 
6 Q0 CACM-1348 46  15.54966932715761 SMQ 
6 Q0 CACM-0438 47  15.54761746529703 SMQ 
6 Q0 CACM-3035 48  15.547539107463685 SMQ 
