51 Q0 CACM-3075 1  13.577751844214054 SMQ 
51 Q0 CACM-3156 2  12.005681659478256 SMQ 
51 Q0 CACM-2723 3  11.444963852679876 SMQ 
51 Q0 CACM-2570 4  11.239338349097448 SMQ 
51 Q0 CACM-2714 5  11.096955302386478 SMQ 
51 Q0 CACM-3006 6  10.204819285331705 SMQ 
51 Q0 CACM-1811 7  10.157965115141593 SMQ 
51 Q0 CACM-2973 8  9.063635922437733 SMQ 
51 Q0 CACM-1752 9  8.910920914337362 SMQ 
51 Q0 CACM-2365 10  8.632958762083321 SMQ 
51 Q0 CACM-2863 11  8.430683739576331 SMQ 
51 Q0 CACM-2497 12  8.085653466129648 SMQ 
51 Q0 CACM-2175 13  8.064197923575046 SMQ 
51 Q0 CACM-2450 14  8.036775722448695 SMQ 
51 Q0 CACM-2740 15  7.836126472196252 SMQ 
51 Q0 CACM-1924 16  7.8138683070054 SMQ 
51 Q0 CACM-2266 17  7.680121296538365 SMQ 
51 Q0 CACM-2128 18  7.649803602801718 SMQ 
51 Q0 CACM-2557 19  7.62912365590519 SMQ 
51 Q0 CACM-2433 20  7.556586081715934 SMQ 
51 Q0 CACM-1810 21  7.521724352583905 SMQ 
51 Q0 CACM-3153 22  7.470907295253557 SMQ 
51 Q0 CACM-2373 23  7.467644355053009 SMQ 
51 Q0 CACM-2289 24  7.459714468480387 SMQ 
51 Q0 CACM-2579 25  7.253964263248802 SMQ 
51 Q0 CACM-1957 26  7.234598022417705 SMQ 
51 Q0 CACM-1601 27  7.187045372911175 SMQ 
51 Q0 CACM-0371 28  6.971311143953496 SMQ 
51 Q0 CACM-0082 29  6.956992262065569 SMQ 
51 Q0 CACM-2114 30  6.888163619307937 SMQ 
51 Q0 CACM-1468 31  6.87206428492118 SMQ 
51 Q0 CACM-1728 32  6.833181905784162 SMQ 
51 Q0 CACM-2522 33  6.692975225600866 SMQ 
51 Q0 CACM-0950 34  6.681250208761389 SMQ 
51 Q0 CACM-2645 35  6.663666750054196 SMQ 
51 Q0 CACM-3152 36  6.638797672040142 SMQ 
51 Q0 CACM-2838 37  6.6357040371714096 SMQ 
51 Q0 CACM-2498 38  6.591818971834954 SMQ 
51 Q0 CACM-1158 39  6.481904373051518 SMQ 
51 Q0 CACM-0303 40  6.389491370424571 SMQ 
51 Q0 CACM-1367 41  6.271578675978549 SMQ 
51 Q0 CACM-2692 42  6.115838139481822 SMQ 
51 Q0 CACM-1753 43  6.1090999295063675 SMQ 
51 Q0 CACM-2277 44  6.05618916056455 SMQ 
51 Q0 CACM-2022 45  6.041566439113641 SMQ 
51 Q0 CACM-2085 46  6.041566439113641 SMQ 
51 Q0 CACM-1795 47  6.028040623837424 SMQ 
51 Q0 CACM-1825 48  6.023279024933123 SMQ 
51 Q0 CACM-1988 49  5.941955282624638 SMQ 
51 Q0 CACM-1665 50  5.933357161453117 SMQ 
51 Q0 CACM-1684 51  5.904328183234526 SMQ 
51 Q0 CACM-1262 52  5.883991464116536 SMQ 
51 Q0 CACM-1324 53  5.878056013200805 SMQ 
51 Q0 CACM-2685 54  5.876552507261412 SMQ 
51 Q0 CACM-2952 55  5.867231653858289 SMQ 
51 Q0 CACM-2325 56  5.8129038592022875 SMQ 
51 Q0 CACM-3070 57  5.760898707610531 SMQ 
51 Q0 CACM-1569 58  5.723671970732135 SMQ 
51 Q0 CACM-2017 59  5.7219118416226085 SMQ 
51 Q0 CACM-2069 60  5.636361825809661 SMQ 
51 Q0 CACM-2667 61  5.633767878140234 SMQ 
51 Q0 CACM-2417 62  5.630887679700749 SMQ 
51 Q0 CACM-3059 63  5.6285197983995605 SMQ 
51 Q0 CACM-2669 64  5.623197662375369 SMQ 
51 Q0 CACM-3088 65  5.568089340465943 SMQ 
51 Q0 CACM-2741 66  5.552398377261299 SMQ 
51 Q0 CACM-0763 67  5.544112687269563 SMQ 
51 Q0 CACM-2896 68  5.531723853974202 SMQ 
51 Q0 CACM-1884 69  5.5278590577083815 SMQ 
51 Q0 CACM-1964 70  5.499666842193962 SMQ 
51 Q0 CACM-2016 71  5.499408559252766 SMQ 
51 Q0 CACM-2785 72  5.489045267952878 SMQ 
51 Q0 CACM-2298 73  5.482197383275692 SMQ 
51 Q0 CACM-2080 74  5.476560226868465 SMQ 
51 Q0 CACM-2342 75  5.450433089857155 SMQ 
51 Q0 CACM-1680 76  5.399725025999226 SMQ 
51 Q0 CACM-2297 77  5.39290904427836 SMQ 
51 Q0 CACM-2700 78  5.34433090689264 SMQ 
51 Q0 CACM-2401 79  5.337246319533501 SMQ 
51 Q0 CACM-2272 80  5.287314814562969 SMQ 
51 Q0 CACM-2668 81  5.282077931355451 SMQ 
51 Q0 CACM-2380 82  5.278150729081139 SMQ 
51 Q0 CACM-1828 83  5.267815992748094 SMQ 
51 Q0 CACM-2872 84  5.245960766165151 SMQ 
51 Q0 CACM-3028 85  5.245474618921073 SMQ 
51 Q0 CACM-2137 86  5.201632074453305 SMQ 
51 Q0 CACM-2968 87  5.199246769943855 SMQ 
51 Q0 CACM-0320 88  5.197022242220029 SMQ 
51 Q0 CACM-1570 89  5.173756653006456 SMQ 
51 Q0 CACM-2236 90  5.161693869325582 SMQ 
51 Q0 CACM-2505 91  5.1613925924142645 SMQ 
51 Q0 CACM-1658 92  5.159735968772138 SMQ 
51 Q0 CACM-2358 93  5.157189176024168 SMQ 
51 Q0 CACM-3073 94  5.135333934599605 SMQ 
51 Q0 CACM-2895 95  5.1306270051472564 SMQ 
51 Q0 CACM-1389 96  5.122455071771153 SMQ 
51 Q0 CACM-2283 97  5.112881448503759 SMQ 
51 Q0 CACM-0409 98  5.096246733704671 SMQ 
51 Q0 CACM-0141 99  5.086858833522996 SMQ 
51 Q0 CACM-2166 100  5.0840996546243025 SMQ 
