2 Q0 CACM-2434 1  21.68127003584072 SMQ 
2 Q0 CACM-3078 2  19.02543558197412 SMQ 
2 Q0 CACM-2863 3  18.096892135742177 SMQ 
2 Q0 CACM-1977 4  14.74641785673683 SMQ 
2 Q0 CACM-0497 5  14.388244151367427 SMQ 
2 Q0 CACM-1264 6  13.795515744876912 SMQ 
2 Q0 CACM-2177 7  13.78486472124672 SMQ 
2 Q0 CACM-0616 8  13.418440995137383 SMQ 
2 Q0 CACM-1046 9  13.13333111410283 SMQ 
2 Q0 CACM-3202 10  12.84118684951465 SMQ 
2 Q0 CACM-1012 11  12.724640038733359 SMQ 
2 Q0 CACM-2939 12  12.36561561411554 SMQ 
2 Q0 CACM-3129 13  12.10894356206482 SMQ 
2 Q0 CACM-1652 14  12.004080831481353 SMQ 
2 Q0 CACM-1010 15  11.94838770035392 SMQ 
2 Q0 CACM-1519 16  11.93493616406347 SMQ 
2 Q0 CACM-1931 17  11.933837725591019 SMQ 
2 Q0 CACM-1272 18  11.84099094325496 SMQ 
2 Q0 CACM-2039 19  11.662830637945035 SMQ 
2 Q0 CACM-2786 20  11.64631016868303 SMQ 
2 Q0 CACM-0282 21  11.62107830127924 SMQ 
2 Q0 CACM-1593 22  11.0275208429655 SMQ 
2 Q0 CACM-2439 23  10.7771951524674 SMQ 
2 Q0 CACM-3171 24  10.672322163109335 SMQ 
2 Q0 CACM-1364 25  10.672022174085061 SMQ 
2 Q0 CACM-1877 26  10.647246204128678 SMQ 
2 Q0 CACM-0531 27  10.601003942570038 SMQ 
2 Q0 CACM-0727 28  10.567313453119288 SMQ 
2 Q0 CACM-1062 29  10.559992698902166 SMQ 
2 Q0 CACM-1553 30  10.316393795364782 SMQ 
2 Q0 CACM-3144 31  10.310517369630563 SMQ 
2 Q0 CACM-2905 32  10.253475110016897 SMQ 
2 Q0 CACM-1379 33  10.129170894262172 SMQ 
2 Q0 CACM-2047 34  10.108288304081503 SMQ 
2 Q0 CACM-2194 35  10.064422314500675 SMQ 
2 Q0 CACM-2215 36  10.060989833091906 SMQ 
2 Q0 CACM-1975 37  10.00058730052813 SMQ 
2 Q0 CACM-1867 38  9.92652539681211 SMQ 
2 Q0 CACM-2852 39  9.90740774707047 SMQ 
2 Q0 CACM-2980 40  9.815785166357367 SMQ 
2 Q0 CACM-1638 41  9.807561882154829 SMQ 
2 Q0 CACM-2352 42  9.710862247088333 SMQ 
2 Q0 CACM-1397 43  9.673241278242672 SMQ 
2 Q0 CACM-0397 44  9.649818106597111 SMQ 
2 Q0 CACM-1154 45  9.618162150571866 SMQ 
2 Q0 CACM-2451 46  9.494092034980794 SMQ 
2 Q0 CACM-1464 47  9.315078750117564 SMQ 
2 Q0 CACM-1674 48  9.299829331843778 SMQ 
2 Q0 CACM-1651 49  9.278619214673858 SMQ 
2 Q0 CACM-2233 50  9.243248943658022 SMQ 
2 Q0 CACM-2354 51  9.235217874748766 SMQ 
2 Q0 CACM-2572 52  9.186518234591647 SMQ 
2 Q0 CACM-1259 53  9.135574896341282 SMQ 
2 Q0 CACM-1676 54  9.117992207866662 SMQ 
2 Q0 CACM-1486 55  9.080791146207995 SMQ 
2 Q0 CACM-1821 56  9.08047408941124 SMQ 
2 Q0 CACM-0626 57  9.054251050230144 SMQ 
2 Q0 CACM-1846 58  9.030002256671093 SMQ 
2 Q0 CACM-1623 59  9.026323863053536 SMQ 
2 Q0 CACM-2342 60  9.01841602337645 SMQ 
2 Q0 CACM-1564 61  8.95004690858181 SMQ 
2 Q0 CACM-0242 62  8.949814018276504 SMQ 
2 Q0 CACM-0670 63  8.882692451513886 SMQ 
2 Q0 CACM-2534 64  8.878446444170084 SMQ 
2 Q0 CACM-2143 65  8.817195399343145 SMQ 
2 Q0 CACM-1930 66  8.790883506254156 SMQ 
2 Q0 CACM-1671 67  8.775938665658737 SMQ 
2 Q0 CACM-2519 68  8.761564486908608 SMQ 
2 Q0 CACM-0204 69  8.73371193085367 SMQ 
2 Q0 CACM-2219 70  8.716234334907776 SMQ 
2 Q0 CACM-3201 71  8.708873451467579 SMQ 
2 Q0 CACM-1705 72  8.687949496096955 SMQ 
2 Q0 CACM-2899 73  8.685114045652215 SMQ 
2 Q0 CACM-1527 74  8.677341147830866 SMQ 
2 Q0 CACM-2986 75  8.617457319581908 SMQ 
2 Q0 CACM-2741 76  8.610439269988973 SMQ 
2 Q0 CACM-2368 77  8.580152793511473 SMQ 
2 Q0 CACM-0335 78  8.477698436318923 SMQ 
2 Q0 CACM-1427 79  8.4660584443823 SMQ 
2 Q0 CACM-1741 80  8.41633606312504 SMQ 
2 Q0 CACM-2812 81  8.393760234211264 SMQ 
2 Q0 CACM-3057 82  8.343969708667938 SMQ 
2 Q0 CACM-1309 83  8.308406774269589 SMQ 
2 Q0 CACM-1861 84  8.307930071392398 SMQ 
2 Q0 CACM-2837 85  8.30296076840155 SMQ 
2 Q0 CACM-3194 86  8.25935516638681 SMQ 
2 Q0 CACM-1014 87  8.252152463981597 SMQ 
2 Q0 CACM-3110 88  8.240712263861553 SMQ 
