54 Q0 CACM-2940 1  37.94053721443381 SMQ 
54 Q0 CACM-2732 2  33.13697147568064 SMQ 
54 Q0 CACM-2931 3  32.98742773452095 SMQ 
54 Q0 CACM-2326 4  31.323819208677477 SMQ 
54 Q0 CACM-2842 5  30.529770349261756 SMQ 
54 Q0 CACM-2958 6  30.516012492611846 SMQ 
54 Q0 CACM-3031 7  30.01935408027389 SMQ 
54 Q0 CACM-2470 8  28.866212815493057 SMQ 
54 Q0 CACM-2227 9  27.507708710507703 SMQ 
54 Q0 CACM-2295 10  26.88405198010931 SMQ 
54 Q0 CACM-1747 11  26.323245551466105 SMQ 
54 Q0 CACM-2264 12  25.910378365708382 SMQ 
54 Q0 CACM-2314 13  25.565993769414856 SMQ 
54 Q0 CACM-2943 14  25.367680934120234 SMQ 
54 Q0 CACM-2411 15  24.971721504844737 SMQ 
54 Q0 CACM-3073 16  24.78560896619296 SMQ 
54 Q0 CACM-3105 17  24.662305293989373 SMQ 
54 Q0 CACM-2265 18  24.525799374955184 SMQ 
54 Q0 CACM-3133 19  24.440059255431084 SMQ 
54 Q0 CACM-2148 20  24.317086601300716 SMQ 
54 Q0 CACM-1834 21  23.981416394041624 SMQ 
54 Q0 CACM-3077 22  23.239176209824535 SMQ 
54 Q0 CACM-2155 23  22.339258624026943 SMQ 
54 Q0 CACM-2178 24  22.19112900365086 SMQ 
54 Q0 CACM-1323 25  21.90950021031589 SMQ 
54 Q0 CACM-2342 26  21.799357932070055 SMQ 
54 Q0 CACM-1471 27  21.655793790314625 SMQ 
54 Q0 CACM-2941 28  21.612602058212786 SMQ 
54 Q0 CACM-1496 29  21.542428484494415 SMQ 
54 Q0 CACM-2705 30  21.439432772952816 SMQ 
54 Q0 CACM-2112 31  21.401040140650977 SMQ 
54 Q0 CACM-0949 32  21.070375359567343 SMQ 
54 Q0 CACM-2886 33  20.904946319117894 SMQ 
54 Q0 CACM-1902 34  20.846728004128682 SMQ 
54 Q0 CACM-3198 35  20.498391196314127 SMQ 
54 Q0 CACM-1213 36  20.40912482651284 SMQ 
54 Q0 CACM-2851 37  20.162214013974463 SMQ 
54 Q0 CACM-1358 38  20.07957771109054 SMQ 
54 Q0 CACM-3103 39  20.050345711445555 SMQ 
54 Q0 CACM-1421 40  20.02187556173423 SMQ 
54 Q0 CACM-1457 41  19.844630306004234 SMQ 
54 Q0 CACM-1098 42  19.6844296692009 SMQ 
54 Q0 CACM-3039 43  19.653568816162256 SMQ 
54 Q0 CACM-2865 44  19.60243694251025 SMQ 
54 Q0 CACM-1781 45  19.584253030164025 SMQ 
54 Q0 CACM-2254 46  19.334786839036173 SMQ 
54 Q0 CACM-2632 47  19.254694080786606 SMQ 
54 Q0 CACM-2616 48  19.082351591896654 SMQ 
54 Q0 CACM-2939 49  18.772491074698614 SMQ 
54 Q0 CACM-3188 50  18.59886134471287 SMQ 
54 Q0 CACM-2956 51  18.554879960424586 SMQ 
54 Q0 CACM-3104 52  18.47975187777811 SMQ 
54 Q0 CACM-2703 53  18.46339097968681 SMQ 
54 Q0 CACM-1198 54  18.445689646095666 SMQ 
54 Q0 CACM-2341 55  18.37150137912922 SMQ 
54 Q0 CACM-3185 56  18.370430838580795 SMQ 
54 Q0 CACM-2733 57  18.36522451185705 SMQ 
54 Q0 CACM-2651 58  18.287814758005492 SMQ 
54 Q0 CACM-2887 59  18.129430121287957 SMQ 
54 Q0 CACM-2192 60  18.0846001491189 SMQ 
54 Q0 CACM-2597 61  17.73212568450677 SMQ 
54 Q0 CACM-1749 62  17.705685331797284 SMQ 
54 Q0 CACM-2204 63  17.69778591743429 SMQ 
54 Q0 CACM-3000 64  17.620845203295683 SMQ 
54 Q0 CACM-0689 65  17.515057220254516 SMQ 
54 Q0 CACM-2972 66  17.40041607992056 SMQ 
54 Q0 CACM-2945 67  17.15235034367912 SMQ 
54 Q0 CACM-1135 68  17.129704434818475 SMQ 
54 Q0 CACM-2870 69  17.108432827402968 SMQ 
54 Q0 CACM-2316 70  17.036804404458422 SMQ 
54 Q0 CACM-2718 71  16.73524117579431 SMQ 
54 Q0 CACM-3081 72  16.71801660155991 SMQ 
54 Q0 CACM-1604 73  16.61416878141154 SMQ 
54 Q0 CACM-2814 74  16.59638690040658 SMQ 
54 Q0 CACM-2111 75  16.517720978390333 SMQ 
54 Q0 CACM-1484 76  16.513316627469106 SMQ 
54 Q0 CACM-3014 77  16.39075887675514 SMQ 
54 Q0 CACM-1835 78  16.3895358974667 SMQ 
54 Q0 CACM-1470 79  16.33147913483156 SMQ 
54 Q0 CACM-2895 80  16.267318493737175 SMQ 
54 Q0 CACM-0920 81  16.078722607885542 SMQ 
54 Q0 CACM-2317 82  15.973468644188632 SMQ 
54 Q0 CACM-1678 83  15.798799100733468 SMQ 
54 Q0 CACM-3140 84  15.761665833127644 SMQ 
54 Q0 CACM-2787 85  15.722108804622392 SMQ 
54 Q0 CACM-0762 86  15.714827110065897 SMQ 
54 Q0 CACM-0409 87  15.706372385725505 SMQ 
54 Q0 CACM-2937 88  15.653676555510275 SMQ 
54 Q0 CACM-2634 89  15.515434642619844 SMQ 
54 Q0 CACM-1099 90  15.342288710671989 SMQ 
54 Q0 CACM-2092 91  15.212099504041147 SMQ 
54 Q0 CACM-2046 92  15.189596540894547 SMQ 
54 Q0 CACM-1339 93  15.168455764193089 SMQ 
54 Q0 CACM-1677 94  15.153060865503829 SMQ 
