22 Q0 CACM-2845 1  22.358675430937367 SMQ 
22 Q0 CACM-0616 2  21.588479381376512 SMQ 
22 Q0 CACM-1978 3  20.55072539055312 SMQ 
22 Q0 CACM-2924 4  20.43259660068844 SMQ 
22 Q0 CACM-2367 5  19.79169516574338 SMQ 
22 Q0 CACM-2913 6  19.767913825063367 SMQ 
22 Q0 CACM-2341 7  19.325040659265476 SMQ 
22 Q0 CACM-0435 8  19.214869577472108 SMQ 
22 Q0 CACM-2918 9  18.866157556793212 SMQ 
22 Q0 CACM-2674 10  18.695828949926074 SMQ 
22 Q0 CACM-2905 11  18.557082263595372 SMQ 
22 Q0 CACM-1742 12  18.245802446638 SMQ 
22 Q0 CACM-2809 13  18.08776322527723 SMQ 
22 Q0 CACM-2111 14  18.05697241821982 SMQ 
22 Q0 CACM-3116 15  18.03309080197324 SMQ 
22 Q0 CACM-2919 16  18.01252171849791 SMQ 
22 Q0 CACM-3049 17  17.381274600401454 SMQ 
22 Q0 CACM-2433 18  17.349504371766976 SMQ 
22 Q0 CACM-1014 19  17.321407335427146 SMQ 
22 Q0 CACM-3028 20  17.27102261080993 SMQ 
22 Q0 CACM-3082 21  17.23511783641165 SMQ 
22 Q0 CACM-3141 22  17.124973625152343 SMQ 
22 Q0 CACM-0531 23  17.108939460034136 SMQ 
22 Q0 CACM-2146 24  17.0134860258862 SMQ 
22 Q0 CACM-2402 25  16.946484269206092 SMQ 
22 Q0 CACM-1159 26  16.810241650029667 SMQ 
22 Q0 CACM-1710 27  16.80859573175819 SMQ 
22 Q0 CACM-1397 28  16.698022135123196 SMQ 
22 Q0 CACM-1931 29  16.37993535892504 SMQ 
22 Q0 CACM-3032 30  16.376080670307985 SMQ 
22 Q0 CACM-2829 31  16.375363283670673 SMQ 
22 Q0 CACM-2987 32  16.323527618581306 SMQ 
22 Q0 CACM-2741 33  16.308251609992823 SMQ 
22 Q0 CACM-2485 34  15.964618902824487 SMQ 
22 Q0 CACM-2369 35  15.739393988068148 SMQ 
22 Q0 CACM-1433 36  15.64209992015773 SMQ 
22 Q0 CACM-2969 37  15.434105530264395 SMQ 
22 Q0 CACM-3111 38  15.433870234368634 SMQ 
22 Q0 CACM-2188 39  15.411071296145236 SMQ 
22 Q0 CACM-2959 40  15.403248187033103 SMQ 
22 Q0 CACM-1623 41  15.390987074438623 SMQ 
22 Q0 CACM-1551 42  15.387102995611691 SMQ 
22 Q0 CACM-3152 43  15.37700949542084 SMQ 
22 Q0 CACM-1181 44  15.36680735408304 SMQ 
22 Q0 CACM-2708 45  15.360354605144162 SMQ 
22 Q0 CACM-3071 46  15.325432152752002 SMQ 
22 Q0 CACM-0409 47  15.26265726914409 SMQ 
22 Q0 CACM-2535 48  15.176257890773197 SMQ 
22 Q0 CACM-2180 49  15.138732963400836 SMQ 
22 Q0 CACM-2751 50  15.126922299746743 SMQ 
22 Q0 CACM-2004 51  15.074801767024443 SMQ 
22 Q0 CACM-1012 52  15.049266847659853 SMQ 
22 Q0 CACM-1272 53  15.041707198473723 SMQ 
22 Q0 CACM-2692 54  15.021891353230494 SMQ 
22 Q0 CACM-1697 55  14.989234030177913 SMQ 
22 Q0 CACM-2355 56  14.970653324845216 SMQ 
22 Q0 CACM-2152 57  14.94465127998173 SMQ 
22 Q0 CACM-2289 58  14.923938473967343 SMQ 
22 Q0 CACM-2406 59  14.912153490966903 SMQ 
22 Q0 CACM-2837 60  14.905206816915541 SMQ 
22 Q0 CACM-3038 61  14.897169896376031 SMQ 
22 Q0 CACM-2016 62  14.88660440635791 SMQ 
22 Q0 CACM-0046 63  14.854124209501094 SMQ 
22 Q0 CACM-2368 64  14.8521582945413 SMQ 
22 Q0 CACM-2715 65  14.84418391019561 SMQ 
22 Q0 CACM-1253 66  14.821247765121658 SMQ 
22 Q0 CACM-1957 67  14.801833112349284 SMQ 
22 Q0 CACM-3195 68  14.780609009823895 SMQ 
22 Q0 CACM-2949 69  14.773398848878825 SMQ 
22 Q0 CACM-1908 70  14.75112738526511 SMQ 
22 Q0 CACM-2598 71  14.746435120057399 SMQ 
22 Q0 CACM-1179 72  14.724212261988905 SMQ 
22 Q0 CACM-3193 73  14.715119194340502 SMQ 
22 Q0 CACM-2438 74  14.689326863131472 SMQ 
22 Q0 CACM-2211 75  14.682825848445084 SMQ 
22 Q0 CACM-2973 76  14.67073313333805 SMQ 
22 Q0 CACM-1385 77  14.657733738979221 SMQ 
22 Q0 CACM-3075 78  14.616152826915089 SMQ 
22 Q0 CACM-0828 79  14.565789317390454 SMQ 
