53 Q0 CACM-1186 1  22.417193931461256 SMQ 
53 Q0 CACM-0514 2  22.247929602616342 SMQ 
53 Q0 CACM-0569 3  22.247929602616342 SMQ 
53 Q0 CACM-0139 4  22.076629820477486 SMQ 
53 Q0 CACM-2391 5  19.611058897811617 SMQ 
53 Q0 CACM-2210 6  19.115584675471403 SMQ 
53 Q0 CACM-2229 7  17.827324133954953 SMQ 
53 Q0 CACM-2031 8  17.273510714091348 SMQ 
53 Q0 CACM-2986 9  17.174578859603116 SMQ 
53 Q0 CACM-0679 10  16.164666687412627 SMQ 
53 Q0 CACM-2416 11  14.382107228441253 SMQ 
53 Q0 CACM-2769 12  14.239524820704787 SMQ 
53 Q0 CACM-1567 13  13.637706645449564 SMQ 
53 Q0 CACM-1817 14  13.636386798233776 SMQ 
53 Q0 CACM-1609 15  13.58532025799679 SMQ 
53 Q0 CACM-2420 16  12.736851404287764 SMQ 
53 Q0 CACM-3010 17  12.100686383842984 SMQ 
53 Q0 CACM-2476 18  12.022928654837003 SMQ 
53 Q0 CACM-2739 19  11.667603700948213 SMQ 
53 Q0 CACM-2981 20  11.387526772455159 SMQ 
53 Q0 CACM-0269 21  11.379121946367121 SMQ 
53 Q0 CACM-0248 22  11.284882019049538 SMQ 
53 Q0 CACM-0717 23  11.13994902375732 SMQ 
53 Q0 CACM-0382 24  11.062256124166527 SMQ 
53 Q0 CACM-1707 25  11.031823405598658 SMQ 
53 Q0 CACM-1933 26  10.963559879580064 SMQ 
53 Q0 CACM-1423 27  10.888954514478527 SMQ 
53 Q0 CACM-1887 28  10.881943607766758 SMQ 
53 Q0 CACM-2028 29  10.828806077562932 SMQ 
53 Q0 CACM-2648 30  10.53793933325986 SMQ 
53 Q0 CACM-1403 31  10.515660539233012 SMQ 
53 Q0 CACM-1948 32  10.514637770981063 SMQ 
53 Q0 CACM-2169 33  10.336667588267286 SMQ 
53 Q0 CACM-0373 34  10.305500507056049 SMQ 
53 Q0 CACM-3037 35  10.051681057210605 SMQ 
53 Q0 CACM-1870 36  10.037148827184799 SMQ 
53 Q0 CACM-2149 37  10.028316403270374 SMQ 
53 Q0 CACM-1914 38  9.860709433527989 SMQ 
53 Q0 CACM-2430 39  9.846341870051988 SMQ 
53 Q0 CACM-2032 40  9.520838725692695 SMQ 
53 Q0 CACM-2326 41  9.474972491485744 SMQ 
53 Q0 CACM-2613 42  9.474651299153432 SMQ 
53 Q0 CACM-2327 43  9.308413349540754 SMQ 
53 Q0 CACM-2953 44  9.304842930919563 SMQ 
53 Q0 CACM-1521 45  9.144439653627856 SMQ 
53 Q0 CACM-1066 46  9.138953735895102 SMQ 
53 Q0 CACM-1308 47  8.891547746088218 SMQ 
53 Q0 CACM-2763 48  8.776203572774767 SMQ 
53 Q0 CACM-0495 49  8.770762491868409 SMQ 
53 Q0 CACM-1836 50  8.621072275195495 SMQ 
53 Q0 CACM-2298 51  8.522625885458368 SMQ 
53 Q0 CACM-1725 52  8.46683886425233 SMQ 
53 Q0 CACM-2373 53  8.425438146102193 SMQ 
53 Q0 CACM-1935 54  8.418597655362943 SMQ 
53 Q0 CACM-2134 55  8.39967678064838 SMQ 
53 Q0 CACM-2059 56  8.335853028980452 SMQ 
53 Q0 CACM-1867 57  8.262828892982597 SMQ 
53 Q0 CACM-1533 58  8.210577365859795 SMQ 
53 Q0 CACM-2096 59  8.204343776341894 SMQ 
53 Q0 CACM-2842 60  8.135813598509204 SMQ 
53 Q0 CACM-2806 61  8.054823852089925 SMQ 
53 Q0 CACM-1455 62  8.015338542830277 SMQ 
53 Q0 CACM-0727 63  7.980335895166524 SMQ 
53 Q0 CACM-2220 64  7.943712142966838 SMQ 
53 Q0 CACM-2720 65  7.9147784599225774 SMQ 
53 Q0 CACM-1365 66  7.9020714054237615 SMQ 
53 Q0 CACM-2569 67  7.900319567094611 SMQ 
53 Q0 CACM-2340 68  7.88439200951402 SMQ 
53 Q0 CACM-2695 69  7.823615303375698 SMQ 
53 Q0 CACM-2809 70  7.810477239543621 SMQ 
53 Q0 CACM-2484 71  7.788984902416123 SMQ 
53 Q0 CACM-2289 72  7.76529933419551 SMQ 
53 Q0 CACM-0852 73  7.758465677379386 SMQ 
53 Q0 CACM-0616 74  7.741113334103213 SMQ 
53 Q0 CACM-1752 75  7.733860980128937 SMQ 
53 Q0 CACM-2052 76  7.692967598887877 SMQ 
53 Q0 CACM-2217 77  7.637242087000991 SMQ 
53 Q0 CACM-1961 78  7.59938643435283 SMQ 
53 Q0 CACM-1170 79  7.5849283497332145 SMQ 
53 Q0 CACM-1099 80  7.5515604657534645 SMQ 
53 Q0 CACM-1649 81  7.536538210428478 SMQ 
53 Q0 CACM-1834 82  7.528027567997527 SMQ 
53 Q0 CACM-2710 83  7.5087725313006874 SMQ 
53 Q0 CACM-1683 84  7.503968067783179 SMQ 
53 Q0 CACM-2081 85  7.493393925913129 SMQ 
53 Q0 CACM-1922 86  7.441434782864745 SMQ 
53 Q0 CACM-1691 87  7.435137271754439 SMQ 
53 Q0 CACM-2554 88  7.213550339287805 SMQ 
53 Q0 CACM-1543 89  7.188844423079694 SMQ 
53 Q0 CACM-2470 90  7.049359032445925 SMQ 
53 Q0 CACM-2249 91  6.913436597056679 SMQ 
53 Q0 CACM-3124 92  6.86315782388624 SMQ 
53 Q0 CACM-3021 93  6.774117038695472 SMQ 
53 Q0 CACM-1859 94  6.7325918369556526 SMQ 
53 Q0 CACM-1217 95  6.662442644136529 SMQ 
53 Q0 CACM-2197 96  6.653027974600258 SMQ 
53 Q0 CACM-0203 97  6.540007006517385 SMQ 
53 Q0 CACM-2457 98  6.486181740360612 SMQ 
53 Q0 CACM-0722 99  6.4462386225177815 SMQ 
53 Q0 CACM-2103 100  6.4309743712464975 SMQ 
