1 Q0 CACM-3127 1  24.786886609272734 SMQ-stem 
1 Q0 CACM-2246 2  15.873498668475236 SMQ-stem 
1 Q0 CACM-3068 3  14.89369071708451 SMQ-stem 
1 Q0 CACM-2092 4  14.565218272393398 SMQ-stem 
1 Q0 CACM-2372 5  14.314039319454395 SMQ-stem 
1 Q0 CACM-2622 6  14.314039319454395 SMQ-stem 
1 Q0 CACM-2153 7  14.160016698884661 SMQ-stem 
1 Q0 CACM-2111 8  13.977874397505094 SMQ-stem 
1 Q0 CACM-1652 9  13.75499966907842 SMQ-stem 
1 Q0 CACM-3196 10  13.471188463166808 SMQ-stem 
1 Q0 CACM-2319 11  13.46776547424432 SMQ-stem 
1 Q0 CACM-1591 12  13.18160937441143 SMQ-stem 
1 Q0 CACM-1752 13  13.063195520037272 SMQ-stem 
1 Q0 CACM-1748 14  13.062642675869903 SMQ-stem 
1 Q0 CACM-1324 15  12.945136365813397 SMQ-stem 
1 Q0 CACM-2065 16  12.945136365813397 SMQ-stem 
1 Q0 CACM-2522 17  12.811925802063438 SMQ-stem 
1 Q0 CACM-2020 18  12.7754084810358 SMQ-stem 
1 Q0 CACM-2358 19  12.7754084810358 SMQ-stem 
1 Q0 CACM-2342 20  12.658125583654325 SMQ-stem 
1 Q0 CACM-2317 21  12.657849308987826 SMQ-stem 
1 Q0 CACM-1747 22  12.593948727714679 SMQ-stem 
1 Q0 CACM-2424 23  12.57333603010292 SMQ-stem 
1 Q0 CACM-2632 24  12.480446766366985 SMQ-stem 
1 Q0 CACM-2470 25  12.475914325057339 SMQ-stem 
1 Q0 CACM-3112 26  12.475914325057339 SMQ-stem 
1 Q0 CACM-0322 27  12.372729003396277 SMQ-stem 
1 Q0 CACM-1698 28  12.372729003396277 SMQ-stem 
1 Q0 CACM-2184 29  12.372729003396277 SMQ-stem 
1 Q0 CACM-2697 30  12.372729003396277 SMQ-stem 
1 Q0 CACM-1476 31  12.370838526828752 SMQ-stem 
1 Q0 CACM-2667 32  12.370838526828752 SMQ-stem 
1 Q0 CACM-2849 33  12.370838526828752 SMQ-stem 
1 Q0 CACM-3141 34  12.370838526828752 SMQ-stem 
1 Q0 CACM-1534 35  12.33042404586027 SMQ-stem 
1 Q0 CACM-2593 36  12.265475085250305 SMQ-stem 
1 Q0 CACM-1464 37  12.254001705750246 SMQ-stem 
1 Q0 CACM-1472 38  12.254001705750246 SMQ-stem 
1 Q0 CACM-2297 39  12.254001705750246 SMQ-stem 
1 Q0 CACM-1071 40  12.253173764328004 SMQ-stem 
1 Q0 CACM-2379 41  12.043507565737752 SMQ-stem 
1 Q0 CACM-1766 42  11.969937392455389 SMQ-stem 
1 Q0 CACM-1108 43  11.966162982168932 SMQ-stem 
1 Q0 CACM-1589 44  11.966162982168932 SMQ-stem 
1 Q0 CACM-2095 45  11.966162982168932 SMQ-stem 
1 Q0 CACM-2625 46  11.966162982168932 SMQ-stem 
1 Q0 CACM-1924 47  11.92561712381514 SMQ-stem 
1 Q0 CACM-0696 48  11.901876405382193 SMQ-stem 
1 Q0 CACM-3049 49  11.901876405382193 SMQ-stem 
1 Q0 CACM-1462 50  11.784378133343715 SMQ-stem 
1 Q0 CACM-0585 51  11.680372010187757 SMQ-stem 
1 Q0 CACM-1010 52  11.680372010187757 SMQ-stem 
1 Q0 CACM-1247 53  11.680372010187757 SMQ-stem 
1 Q0 CACM-1255 54  11.680372010187757 SMQ-stem 
1 Q0 CACM-1517 55  11.680372010187757 SMQ-stem 
1 Q0 CACM-2536 56  11.680372010187757 SMQ-stem 
1 Q0 CACM-2920 57  11.659346487477924 SMQ-stem 
1 Q0 CACM-2840 58  11.658703447224738 SMQ-stem 
1 Q0 CACM-1393 59  11.638788697531789 SMQ-stem 
1 Q0 CACM-2380 60  11.638788697531789 SMQ-stem 
1 Q0 CACM-2741 61  11.638788697531789 SMQ-stem 
1 Q0 CACM-2113 62  11.564867456072442 SMQ-stem 
1 Q0 CACM-2399 63  11.564867456072442 SMQ-stem 
1 Q0 CACM-1827 64  11.562039104264853 SMQ-stem 
1 Q0 CACM-1854 65  11.562039104264853 SMQ-stem 
1 Q0 CACM-2036 66  11.562039104264853 SMQ-stem 
1 Q0 CACM-2526 67  11.562039104264853 SMQ-stem 
1 Q0 CACM-1912 68  11.456914617525833 SMQ-stem 
1 Q0 CACM-2138 69  11.456914617525833 SMQ-stem 
1 Q0 CACM-3026 70  11.456914617525833 SMQ-stem 
