5 Q0 CACM-2535 1  16.074044402312076 SMQ-stem 
5 Q0 CACM-2065 2  15.57249009834298 SMQ-stem 
5 Q0 CACM-1359 3  15.467157239332966 SMQ-stem 
5 Q0 CACM-1194 4  15.43660819865771 SMQ-stem 
5 Q0 CACM-2931 5  15.179650250380334 SMQ-stem 
5 Q0 CACM-1410 6  14.381633970197989 SMQ-stem 
5 Q0 CACM-1892 7  14.362956715576008 SMQ-stem 
5 Q0 CACM-1671 8  14.082437527246743 SMQ-stem 
5 Q0 CACM-3030 9  14.082437527246743 SMQ-stem 
5 Q0 CACM-3020 10  13.636766003280746 SMQ-stem 
5 Q0 CACM-3059 11  13.348665996573523 SMQ-stem 
5 Q0 CACM-0078 12  13.272738185249665 SMQ-stem 
5 Q0 CACM-1003 13  13.272738185249665 SMQ-stem 
5 Q0 CACM-2396 14  12.963855769290836 SMQ-stem 
5 Q0 CACM-1169 15  12.698603783300008 SMQ-stem 
5 Q0 CACM-2753 16  12.698603783300008 SMQ-stem 
5 Q0 CACM-3165 17  12.698603783300008 SMQ-stem 
5 Q0 CACM-3120 18  12.474458555433092 SMQ-stem 
5 Q0 CACM-1180 19  12.253545294669681 SMQ-stem 
5 Q0 CACM-3138 20  12.253545294669681 SMQ-stem 
5 Q0 CACM-1468 21  11.96503054115523 SMQ-stem 
5 Q0 CACM-2252 22  11.890129668426379 SMQ-stem 
5 Q0 CACM-3153 23  11.77520181602929 SMQ-stem 
5 Q0 CACM-1233 24  11.771325521171097 SMQ-stem 
5 Q0 CACM-0020 25  11.58305467175813 SMQ-stem 
5 Q0 CACM-1307 26  11.58305467175813 SMQ-stem 
5 Q0 CACM-2137 27  11.58305467175813 SMQ-stem 
5 Q0 CACM-1216 28  11.561309702532709 SMQ-stem 
5 Q0 CACM-2453 29  11.317217127425003 SMQ-stem 
5 Q0 CACM-2523 30  11.317217127425003 SMQ-stem 
5 Q0 CACM-0942 31  11.082875177238687 SMQ-stem 
5 Q0 CACM-1051 32  10.873377149533798 SMQ-stem 
5 Q0 CACM-1637 33  10.873377149533798 SMQ-stem 
5 Q0 CACM-1925 34  10.873377149533798 SMQ-stem 
5 Q0 CACM-3013 35  10.873377149533798 SMQ-stem 
5 Q0 CACM-1435 36  10.025501901325262 SMQ-stem 
5 Q0 CACM-1696 37  9.9077243977515 SMQ-stem 
5 Q0 CACM-1235 38  9.332398976569403 SMQ-stem 
5 Q0 CACM-2742 39  9.332398976569403 SMQ-stem 
5 Q0 CACM-2767 40  9.332398976569403 SMQ-stem 
5 Q0 CACM-1540 41  9.109277552422792 SMQ-stem 
5 Q0 CACM-2882 42  9.109277552422792 SMQ-stem 
5 Q0 CACM-2000 43  8.608574174423808 SMQ-stem 
5 Q0 CACM-0268 44  8.416241000357266 SMQ-stem 
5 Q0 CACM-2342 45  8.062163211235214 SMQ-stem 
5 Q0 CACM-1008 46  7.915609511193145 SMQ-stem 
5 Q0 CACM-1147 47  7.915609511193145 SMQ-stem 
5 Q0 CACM-1631 48  7.915609511193145 SMQ-stem 
5 Q0 CACM-1703 49  7.915609511193145 SMQ-stem 
5 Q0 CACM-1834 50  7.915609511193145 SMQ-stem 
5 Q0 CACM-1911 51  7.915609511193145 SMQ-stem 
5 Q0 CACM-1947 52  7.915609511193145 SMQ-stem 
5 Q0 CACM-2186 53  7.915609511193145 SMQ-stem 
5 Q0 CACM-2622 54  7.915609511193145 SMQ-stem 
5 Q0 CACM-2705 55  7.915609511193145 SMQ-stem 
5 Q0 CACM-2953 56  7.915609511193145 SMQ-stem 
5 Q0 CACM-3068 57  7.915609511193145 SMQ-stem 
5 Q0 CACM-3094 58  7.915609511193145 SMQ-stem 
