7 Q0 CACM-2967 1  28.142724837747174 SMQ-stem 
7 Q0 CACM-2497 2  20.856394377777363 SMQ-stem 
7 Q0 CACM-1680 3  20.713275770411354 SMQ-stem 
7 Q0 CACM-2307 4  20.452746248317247 SMQ-stem 
7 Q0 CACM-2342 5  20.35896493228977 SMQ-stem 
7 Q0 CACM-2714 6  20.239210579715188 SMQ-stem 
7 Q0 CACM-2175 7  20.052694534409074 SMQ-stem 
7 Q0 CACM-1652 8  19.98746653639701 SMQ-stem 
7 Q0 CACM-2092 9  19.980966021259746 SMQ-stem 
7 Q0 CACM-2865 10  19.848232234608613 SMQ-stem 
7 Q0 CACM-1359 11  19.764374988007173 SMQ-stem 
7 Q0 CACM-1927 12  19.642366085601008 SMQ-stem 
7 Q0 CACM-1811 13  19.51843156647746 SMQ-stem 
7 Q0 CACM-1457 14  19.462219373902062 SMQ-stem 
7 Q0 CACM-2451 15  19.23678255688173 SMQ-stem 
7 Q0 CACM-2543 16  19.07194761709488 SMQ-stem 
7 Q0 CACM-0409 17  19.067551828541028 SMQ-stem 
7 Q0 CACM-1726 18  19.067551828541028 SMQ-stem 
7 Q0 CACM-2050 19  19.067551828541028 SMQ-stem 
7 Q0 CACM-2765 20  19.067551828541028 SMQ-stem 
7 Q0 CACM-1725 21  18.96060064078128 SMQ-stem 
7 Q0 CACM-2160 22  18.782522200312293 SMQ-stem 
7 Q0 CACM-2114 23  18.74552107021018 SMQ-stem 
7 Q0 CACM-2570 24  18.579987304503828 SMQ-stem 
7 Q0 CACM-2388 25  18.494966854482097 SMQ-stem 
7 Q0 CACM-0634 26  18.379180568230954 SMQ-stem 
7 Q0 CACM-3096 27  18.379180568230954 SMQ-stem 
7 Q0 CACM-2631 28  18.09268315748454 SMQ-stem 
7 Q0 CACM-2973 29  17.893947184024366 SMQ-stem 
7 Q0 CACM-3075 30  17.662988778163186 SMQ-stem 
7 Q0 CACM-1409 31  17.661001297672737 SMQ-stem 
7 Q0 CACM-0670 32  17.603223189591777 SMQ-stem 
7 Q0 CACM-1846 33  17.540733436069903 SMQ-stem 
7 Q0 CACM-1601 34  17.52528858589332 SMQ-stem 
7 Q0 CACM-2519 35  17.51414902732113 SMQ-stem 
7 Q0 CACM-1747 36  17.495345871525423 SMQ-stem 
7 Q0 CACM-2288 37  17.436210385152823 SMQ-stem 
7 Q0 CACM-2846 38  17.395784819025288 SMQ-stem 
7 Q0 CACM-2723 39  17.37031289785346 SMQ-stem 
7 Q0 CACM-2990 40  17.25571488937186 SMQ-stem 
7 Q0 CACM-2838 41  17.183545441147583 SMQ-stem 
7 Q0 CACM-2493 42  17.168637742262714 SMQ-stem 
7 Q0 CACM-2965 43  17.168637742262714 SMQ-stem 
7 Q0 CACM-2455 44  17.0326663845294 SMQ-stem 
7 Q0 CACM-3135 45  17.003808226060038 SMQ-stem 
7 Q0 CACM-3156 46  16.946588567469522 SMQ-stem 
7 Q0 CACM-2916 47  16.923591179499514 SMQ-stem 
7 Q0 CACM-1108 48  16.910813759506702 SMQ-stem 
7 Q0 CACM-3012 49  16.894701266706537 SMQ-stem 
7 Q0 CACM-2561 50  16.882730459158612 SMQ-stem 
7 Q0 CACM-1700 51  16.877341546777846 SMQ-stem 
7 Q0 CACM-2991 52  16.730627075147442 SMQ-stem 
7 Q0 CACM-2987 53  16.70211859895381 SMQ-stem 
7 Q0 CACM-2882 54  16.554718438605093 SMQ-stem 
7 Q0 CACM-2664 55  16.542181641802294 SMQ-stem 
7 Q0 CACM-1929 56  16.423450730106094 SMQ-stem 
7 Q0 CACM-1236 57  16.361727469261993 SMQ-stem 
7 Q0 CACM-2032 58  16.311420875666265 SMQ-stem 
7 Q0 CACM-2645 59  16.308103631687196 SMQ-stem 
7 Q0 CACM-2198 60  16.23295655182396 SMQ-stem 
7 Q0 CACM-1681 61  16.209639271135444 SMQ-stem 
7 Q0 CACM-1699 62  16.052761875101528 SMQ-stem 
7 Q0 CACM-2947 63  16.044399432426896 SMQ-stem 
7 Q0 CACM-2046 64  16.01728464494317 SMQ-stem 
7 Q0 CACM-1935 65  15.960977830283403 SMQ-stem 
7 Q0 CACM-2140 66  15.873384234932029 SMQ-stem 
7 Q0 CACM-1032 67  15.87068019729185 SMQ-stem 
7 Q0 CACM-2484 68  15.87068019729185 SMQ-stem 
7 Q0 CACM-1527 69  15.860331353161337 SMQ-stem 
7 Q0 CACM-1936 70  15.785637253919282 SMQ-stem 
7 Q0 CACM-2390 71  15.785637253919282 SMQ-stem 
7 Q0 CACM-2377 72  15.774609904416529 SMQ-stem 
7 Q0 CACM-2711 73  15.760670544386516 SMQ-stem 
7 Q0 CACM-1194 74  15.745185603079872 SMQ-stem 
7 Q0 CACM-0675 75  15.726580660280543 SMQ-stem 
7 Q0 CACM-1937 76  15.675952998984503 SMQ-stem 
7 Q0 CACM-2722 77  15.647796637489442 SMQ-stem 
7 Q0 CACM-2968 78  15.647796637489442 SMQ-stem 
7 Q0 CACM-3168 79  15.647796637489442 SMQ-stem 
7 Q0 CACM-1960 80  15.598536463845242 SMQ-stem 
7 Q0 CACM-0440 81  15.354151106449311 SMQ-stem 
7 Q0 CACM-2033 82  15.3417434030654 SMQ-stem 
7 Q0 CACM-2746 83  15.328666867087861 SMQ-stem 
7 Q0 CACM-1976 84  15.203452435141983 SMQ-stem 
7 Q0 CACM-1959 85  15.182213450856338 SMQ-stem 
7 Q0 CACM-2530 86  15.10661565750576 SMQ-stem 
7 Q0 CACM-2976 87  15.10661565750576 SMQ-stem 
7 Q0 CACM-1613 88  14.983160141587362 SMQ-stem 
7 Q0 CACM-2650 89  14.977994981334788 SMQ-stem 
7 Q0 CACM-0891 90  14.97796455680739 SMQ-stem 
7 Q0 CACM-1456 91  14.95654579081663 SMQ-stem 
7 Q0 CACM-1711 92  14.95654579081663 SMQ-stem 
7 Q0 CACM-2623 93  14.95654579081663 SMQ-stem 
7 Q0 CACM-3041 94  14.929514389325231 SMQ-stem 
7 Q0 CACM-3120 95  14.758313921429659 SMQ-stem 
7 Q0 CACM-2516 96  14.693133428963788 SMQ-stem 
7 Q0 CACM-2437 97  14.664587500873406 SMQ-stem 
7 Q0 CACM-3087 98  14.579617606608412 SMQ-stem 
7 Q0 CACM-1684 99  14.564850038357225 SMQ-stem 
7 Q0 CACM-2795 100  14.286613991026584 SMQ-stem 
