2 Q0 CACM-2716 1  29.169471274063184 SMQ-stem 
2 Q0 CACM-2701 2  26.124507114859576 SMQ-stem 
2 Q0 CACM-2856 3  25.733882840971706 SMQ-stem 
2 Q0 CACM-3005 4  23.87305457895992 SMQ-stem 
2 Q0 CACM-3103 5  23.68479533352237 SMQ-stem 
2 Q0 CACM-1947 6  23.618981235363943 SMQ-stem 
2 Q0 CACM-2314 7  23.600440379964162 SMQ-stem 
2 Q0 CACM-2033 8  23.565789526938758 SMQ-stem 
2 Q0 CACM-2748 9  23.095470083698125 SMQ-stem 
2 Q0 CACM-1223 10  22.520920033008696 SMQ-stem 
2 Q0 CACM-1886 11  22.348584683712936 SMQ-stem 
2 Q0 CACM-2559 12  22.181256608951866 SMQ-stem 
2 Q0 CACM-3106 13  22.06929044923822 SMQ-stem 
2 Q0 CACM-2530 14  22.041712394949144 SMQ-stem 
2 Q0 CACM-2598 15  21.94380762775635 SMQ-stem 
2 Q0 CACM-2722 16  21.870931814484052 SMQ-stem 
2 Q0 CACM-2944 17  21.82826347942376 SMQ-stem 
2 Q0 CACM-2253 18  21.19986861119756 SMQ-stem 
2 Q0 CACM-1542 19  20.96016475722156 SMQ-stem 
2 Q0 CACM-2734 20  20.45019953201339 SMQ-stem 
2 Q0 CACM-2491 21  20.28615554543254 SMQ-stem 
2 Q0 CACM-2931 22  20.28136160678515 SMQ-stem 
2 Q0 CACM-1134 23  20.161742777384138 SMQ-stem 
2 Q0 CACM-1795 24  20.10708096495439 SMQ-stem 
2 Q0 CACM-2276 25  19.757636883750987 SMQ-stem 
2 Q0 CACM-2680 26  19.64963914317527 SMQ-stem 
2 Q0 CACM-2111 27  19.46898539894235 SMQ-stem 
2 Q0 CACM-3099 28  19.347946046193265 SMQ-stem 
2 Q0 CACM-1807 29  19.17228888982323 SMQ-stem 
2 Q0 CACM-2451 30  19.166353852268514 SMQ-stem 
2 Q0 CACM-2648 31  18.88958886392669 SMQ-stem 
2 Q0 CACM-3112 32  18.791155186563966 SMQ-stem 
2 Q0 CACM-0322 33  18.780203516509026 SMQ-stem 
2 Q0 CACM-2543 34  18.780203516509026 SMQ-stem 
2 Q0 CACM-3053 35  18.718376133068556 SMQ-stem 
2 Q0 CACM-2753 36  18.551635042113077 SMQ-stem 
2 Q0 CACM-0849 37  18.446460370510387 SMQ-stem 
2 Q0 CACM-3129 38  18.264165673561845 SMQ-stem 
2 Q0 CACM-2625 39  18.261620662713383 SMQ-stem 
2 Q0 CACM-1552 40  18.233459955230163 SMQ-stem 
2 Q0 CACM-2855 41  18.207520617950642 SMQ-stem 
2 Q0 CACM-2885 42  18.186899261594952 SMQ-stem 
2 Q0 CACM-1564 43  18.02939288110957 SMQ-stem 
2 Q0 CACM-2537 44  17.897975810035774 SMQ-stem 
2 Q0 CACM-3113 45  17.89735935093771 SMQ-stem 
2 Q0 CACM-3114 46  17.82337340050993 SMQ-stem 
2 Q0 CACM-3110 47  17.82306325901018 SMQ-stem 
2 Q0 CACM-2490 48  17.629225456747626 SMQ-stem 
2 Q0 CACM-2863 49  17.589801561966016 SMQ-stem 
2 Q0 CACM-2819 50  17.558672848628234 SMQ-stem 
2 Q0 CACM-3074 51  17.551119961707887 SMQ-stem 
2 Q0 CACM-2857 52  17.523047278752347 SMQ-stem 
