6 Q0 CACM-2951 1  41.020826752546796 SMQ-stem 
6 Q0 CACM-2741 2  40.373291344084265 SMQ-stem 
6 Q0 CACM-2319 3  38.76051166321785 SMQ-stem 
6 Q0 CACM-2571 4  38.62212868633431 SMQ-stem 
6 Q0 CACM-2318 5  36.9676489692631 SMQ-stem 
6 Q0 CACM-1517 6  36.84665664576523 SMQ-stem 
6 Q0 CACM-1827 7  36.7781117769336 SMQ-stem 
6 Q0 CACM-1698 8  36.32218987870466 SMQ-stem 
6 Q0 CACM-2535 9  36.26472846707491 SMQ-stem 
6 Q0 CACM-3048 10  36.1268833980161 SMQ-stem 
6 Q0 CACM-2522 11  35.58176803281567 SMQ-stem 
6 Q0 CACM-2849 12  35.22865905484358 SMQ-stem 
6 Q0 CACM-3028 13  34.30048385585181 SMQ-stem 
6 Q0 CACM-2542 14  33.88662769916983 SMQ-stem 
6 Q0 CACM-3070 15  33.78372802611711 SMQ-stem 
6 Q0 CACM-2245 16  33.63192266805796 SMQ-stem 
6 Q0 CACM-2894 17  33.53669614057886 SMQ-stem 
6 Q0 CACM-2634 18  33.20584827509572 SMQ-stem 
6 Q0 CACM-3089 19  32.25363021299205 SMQ-stem 
6 Q0 CACM-2268 20  31.892098908789638 SMQ-stem 
6 Q0 CACM-3136 21  31.68547333223291 SMQ-stem 
6 Q0 CACM-2452 22  31.096257343008766 SMQ-stem 
6 Q0 CACM-3072 23  31.030358286443658 SMQ-stem 
6 Q0 CACM-2862 24  30.951441851889903 SMQ-stem 
6 Q0 CACM-3059 25  30.84360024621394 SMQ-stem 
6 Q0 CACM-1908 26  30.791604652388095 SMQ-stem 
6 Q0 CACM-2092 27  30.465728276408296 SMQ-stem 
6 Q0 CACM-1526 28  30.405174752782976 SMQ-stem 
6 Q0 CACM-2892 29  30.09583097694871 SMQ-stem 
6 Q0 CACM-2984 30  29.861358050959304 SMQ-stem 
6 Q0 CACM-2812 31  29.832687684829967 SMQ-stem 
6 Q0 CACM-1308 32  29.703084235960198 SMQ-stem 
6 Q0 CACM-2372 33  29.655856109769566 SMQ-stem 
6 Q0 CACM-1719 34  29.43583705938363 SMQ-stem 
6 Q0 CACM-1805 35  29.072752243292527 SMQ-stem 
6 Q0 CACM-2988 36  28.985700696678393 SMQ-stem 
6 Q0 CACM-1032 37  28.746324048816 SMQ-stem 
6 Q0 CACM-1518 38  28.69229332764354 SMQ-stem 
6 Q0 CACM-2297 39  28.572925892001614 SMQ-stem 
6 Q0 CACM-1591 40  28.519997187206645 SMQ-stem 
6 Q0 CACM-1365 41  28.39837397528882 SMQ-stem 
6 Q0 CACM-1671 42  28.16284009431348 SMQ-stem 
6 Q0 CACM-2470 43  27.99091811920487 SMQ-stem 
6 Q0 CACM-2711 44  27.925305674022727 SMQ-stem 
6 Q0 CACM-2990 45  27.75309065769064 SMQ-stem 
6 Q0 CACM-1030 46  27.658556378280927 SMQ-stem 
6 Q0 CACM-1653 47  27.62926801136048 SMQ-stem 
6 Q0 CACM-2859 48  27.620140738942244 SMQ-stem 
6 Q0 CACM-2035 49  27.59915654846997 SMQ-stem 
6 Q0 CACM-1542 50  27.577641802043328 SMQ-stem 
6 Q0 CACM-2344 51  27.57186486977814 SMQ-stem 
6 Q0 CACM-1792 52  27.529092946320425 SMQ-stem 
6 Q0 CACM-1199 53  27.208616815832876 SMQ-stem 
6 Q0 CACM-3088 54  27.148541357972316 SMQ-stem 
6 Q0 CACM-1411 55  27.04384645061409 SMQ-stem 
6 Q0 CACM-2298 56  27.022237173949243 SMQ-stem 
6 Q0 CACM-2314 57  26.978489151169327 SMQ-stem 
6 Q0 CACM-2882 58  26.92523824577922 SMQ-stem 
6 Q0 CACM-1572 59  26.906135220289222 SMQ-stem 
6 Q0 CACM-3119 60  26.885702707517268 SMQ-stem 
6 Q0 CACM-1680 61  26.879619880124743 SMQ-stem 
6 Q0 CACM-3049 62  26.755196067815426 SMQ-stem 
6 Q0 CACM-3078 63  26.63480051923189 SMQ-stem 
6 Q0 CACM-2188 64  26.274901675484863 SMQ-stem 
6 Q0 CACM-1255 65  26.221254427216202 SMQ-stem 
6 Q0 CACM-1169 66  25.98461984431156 SMQ-stem 
6 Q0 CACM-0585 67  25.942997742181333 SMQ-stem 
6 Q0 CACM-2646 68  25.942997742181333 SMQ-stem 
6 Q0 CACM-1709 69  25.660191522404958 SMQ-stem 
6 Q0 CACM-2560 70  25.655247909963578 SMQ-stem 
6 Q0 CACM-2771 71  25.615174477261988 SMQ-stem 
6 Q0 CACM-2753 72  25.55448316078349 SMQ-stem 
6 Q0 CACM-2669 73  25.502672776871343 SMQ-stem 
6 Q0 CACM-3202 74  25.456606024070027 SMQ-stem 
6 Q0 CACM-1552 75  25.44066913225714 SMQ-stem 
6 Q0 CACM-2111 76  25.277781178848873 SMQ-stem 
6 Q0 CACM-2715 77  25.00726250272926 SMQ-stem 
6 Q0 CACM-1261 78  24.97072794053657 SMQ-stem 
6 Q0 CACM-1366 79  24.90854237129348 SMQ-stem 
6 Q0 CACM-1272 80  24.895163563111083 SMQ-stem 
6 Q0 CACM-1892 81  24.853724766792737 SMQ-stem 
6 Q0 CACM-2561 82  24.70766603815637 SMQ-stem 
6 Q0 CACM-2396 83  24.7006033858408 SMQ-stem 
6 Q0 CACM-2751 84  24.673170497354434 SMQ-stem 
6 Q0 CACM-1856 85  24.598666227826744 SMQ-stem 
6 Q0 CACM-2402 86  24.579920725297633 SMQ-stem 
6 Q0 CACM-2317 87  24.566476424354466 SMQ-stem 
6 Q0 CACM-3026 88  24.38196163582263 SMQ-stem 
6 Q0 CACM-1752 89  24.361441193329618 SMQ-stem 
6 Q0 CACM-1533 90  24.346537952428687 SMQ-stem 
6 Q0 CACM-1926 91  24.143582555166144 SMQ-stem 
6 Q0 CACM-2153 92  24.02447002728706 SMQ-stem 
6 Q0 CACM-1652 93  23.973820617217314 SMQ-stem 
6 Q0 CACM-1931 94  23.946858555933098 SMQ-stem 
6 Q0 CACM-2233 95  23.76920583416283 SMQ-stem 
6 Q0 CACM-1083 96  23.75252933727308 SMQ-stem 
6 Q0 CACM-0243 97  23.62150321063421 SMQ-stem 
