4 Q0 CACM-2276 1  24.871138729860977 SMQ-stem 
4 Q0 CACM-2924 2  24.522521382385776 SMQ-stem 
4 Q0 CACM-2454 3  24.360782726984763 SMQ-stem 
4 Q0 CACM-2035 4  23.896532903583868 SMQ-stem 
4 Q0 CACM-2767 5  23.44659821465867 SMQ-stem 
4 Q0 CACM-2406 6  23.279704501178514 SMQ-stem 
4 Q0 CACM-2092 7  22.92024080632441 SMQ-stem 
4 Q0 CACM-2925 8  22.514998502153844 SMQ-stem 
4 Q0 CACM-3135 9  22.416219333938503 SMQ-stem 
4 Q0 CACM-2483 10  21.70762501580781 SMQ-stem 
4 Q0 CACM-3131 11  21.436415306659622 SMQ-stem 
4 Q0 CACM-2060 12  21.344225201856222 SMQ-stem 
4 Q0 CACM-2715 13  20.90407132955482 SMQ-stem 
4 Q0 CACM-2969 14  20.727414016470018 SMQ-stem 
4 Q0 CACM-3072 15  20.703622996301192 SMQ-stem 
4 Q0 CACM-3154 16  20.693063557987887 SMQ-stem 
4 Q0 CACM-1727 17  20.654677948714987 SMQ-stem 
4 Q0 CACM-2936 18  20.47334266729367 SMQ-stem 
4 Q0 CACM-3165 19  20.459997071601244 SMQ-stem 
4 Q0 CACM-1072 20  20.44897408923088 SMQ-stem 
4 Q0 CACM-2849 21  20.320197470935298 SMQ-stem 
4 Q0 CACM-2402 22  20.249409572862742 SMQ-stem 
4 Q0 CACM-1003 23  20.012004023478667 SMQ-stem 
4 Q0 CACM-2893 24  19.883319765611677 SMQ-stem 
4 Q0 CACM-1381 25  19.66509139496193 SMQ-stem 
4 Q0 CACM-2667 26  19.621333512916337 SMQ-stem 
4 Q0 CACM-1433 27  19.604834832380618 SMQ-stem 
4 Q0 CACM-2274 28  19.5285269505548 SMQ-stem 
4 Q0 CACM-2453 29  19.409430664093264 SMQ-stem 
4 Q0 CACM-2547 30  19.107272277237954 SMQ-stem 
4 Q0 CACM-3032 31  19.030922942907445 SMQ-stem 
4 Q0 CACM-2081 32  19.00871051277063 SMQ-stem 
4 Q0 CACM-2373 33  18.958701664534416 SMQ-stem 
4 Q0 CACM-2216 34  18.934858071337658 SMQ-stem 
4 Q0 CACM-3138 35  18.87433181687227 SMQ-stem 
4 Q0 CACM-2541 36  18.873119078951124 SMQ-stem 
4 Q0 CACM-2196 37  18.7111334152369 SMQ-stem 
4 Q0 CACM-1805 38  18.65529872162735 SMQ-stem 
4 Q0 CACM-3082 39  18.60994971914907 SMQ-stem 
4 Q0 CACM-2828 40  18.509590072875636 SMQ-stem 
4 Q0 CACM-2987 41  18.447725011682486 SMQ-stem 
4 Q0 CACM-2032 42  18.435184639219074 SMQ-stem 
4 Q0 CACM-2847 43  18.301146926086197 SMQ-stem 
4 Q0 CACM-3141 44  18.27080727891112 SMQ-stem 
4 Q0 CACM-2004 45  18.134171687046134 SMQ-stem 
4 Q0 CACM-1134 46  18.130180362867737 SMQ-stem 
4 Q0 CACM-1885 47  18.033877913355134 SMQ-stem 
4 Q0 CACM-2169 48  18.00984067028814 SMQ-stem 
4 Q0 CACM-3148 49  17.896013483314167 SMQ-stem 
4 Q0 CACM-2723 50  17.842461935738044 SMQ-stem 
4 Q0 CACM-1604 51  17.78223421722015 SMQ-stem 
4 Q0 CACM-1890 52  17.724434690564856 SMQ-stem 
4 Q0 CACM-1341 53  17.72321664454951 SMQ-stem 
4 Q0 CACM-2751 54  17.677786637297668 SMQ-stem 
4 Q0 CACM-1542 55  17.570830946774407 SMQ-stem 
4 Q0 CACM-3018 56  17.559943068445314 SMQ-stem 
4 Q0 CACM-2931 57  17.54770837313687 SMQ-stem 
4 Q0 CACM-1671 58  17.541880967183435 SMQ-stem 
4 Q0 CACM-3098 59  17.47509366355069 SMQ-stem 
4 Q0 CACM-2273 60  17.27496783611177 SMQ-stem 
4 Q0 CACM-2780 61  17.273248349336153 SMQ-stem 
4 Q0 CACM-2890 62  17.116516852147296 SMQ-stem 
4 Q0 CACM-2674 63  17.09646416434188 SMQ-stem 
4 Q0 CACM-3163 64  16.997584114837828 SMQ-stem 
4 Q0 CACM-2337 65  16.86867793616107 SMQ-stem 
4 Q0 CACM-0241 66  16.802752619075456 SMQ-stem 
4 Q0 CACM-2297 67  16.802752619075456 SMQ-stem 
4 Q0 CACM-2535 68  16.754759644418925 SMQ-stem 
4 Q0 CACM-1658 69  16.751540409227538 SMQ-stem 
4 Q0 CACM-2187 70  16.73577481100633 SMQ-stem 
4 Q0 CACM-1936 71  16.670585003437047 SMQ-stem 
4 Q0 CACM-2862 72  16.645358459677013 SMQ-stem 
4 Q0 CACM-2631 73  16.637295214860764 SMQ-stem 
4 Q0 CACM-2971 74  16.62848550974737 SMQ-stem 
4 Q0 CACM-2253 75  16.599657939208058 SMQ-stem 
4 Q0 CACM-2113 76  16.511159201832257 SMQ-stem 
4 Q0 CACM-1145 77  16.46455337134247 SMQ-stem 
4 Q0 CACM-1745 78  16.452261483237717 SMQ-stem 
4 Q0 CACM-2366 79  16.405996275710287 SMQ-stem 
4 Q0 CACM-2095 80  16.405860187814937 SMQ-stem 
4 Q0 CACM-2091 81  16.40032276298025 SMQ-stem 
4 Q0 CACM-2186 82  16.40032276298025 SMQ-stem 
4 Q0 CACM-2065 83  16.34330773438356 SMQ-stem 
4 Q0 CACM-2918 84  16.341697332465138 SMQ-stem 
4 Q0 CACM-2701 85  16.310927522516348 SMQ-stem 
4 Q0 CACM-2195 86  16.27031272815876 SMQ-stem 
4 Q0 CACM-2390 87  16.19624633491822 SMQ-stem 
4 Q0 CACM-2266 88  16.183131067091605 SMQ-stem 
4 Q0 CACM-2267 89  16.178306073186583 SMQ-stem 
4 Q0 CACM-0409 90  16.17821004752948 SMQ-stem 
4 Q0 CACM-2953 91  16.17821004752948 SMQ-stem 
4 Q0 CACM-2812 92  16.141547669957944 SMQ-stem 
4 Q0 CACM-3067 93  16.139638920750713 SMQ-stem 
4 Q0 CACM-2855 94  16.128976796866887 SMQ-stem 
4 Q0 CACM-1409 95  16.116266162278297 SMQ-stem 
4 Q0 CACM-1916 96  16.111538550731538 SMQ-stem 
4 Q0 CACM-2470 97  16.108120837769413 SMQ-stem 
4 Q0 CACM-1549 98  16.07646941366067 SMQ-stem 
4 Q0 CACM-2389 99  16.061316978303445 SMQ-stem 
4 Q0 CACM-1135 100  15.968878476015398 SMQ-stem 
