45 Q0 CACM-2318 1  0.6899111647732593 TF-IDF 
45 Q0 CACM-2114 2  0.5324528198277465 TF-IDF 
45 Q0 CACM-2452 3  0.5103134107435311 TF-IDF 
45 Q0 CACM-1796 4  0.4573840904621944 TF-IDF 
45 Q0 CACM-2984 5  0.4497106271388721 TF-IDF 
45 Q0 CACM-1976 6  0.4346872597959847 TF-IDF 
45 Q0 CACM-2493 7  0.42700005486105685 TF-IDF 
45 Q0 CACM-3137 8  0.42458613063381767 TF-IDF 
45 Q0 CACM-2816 9  0.42126422572281486 TF-IDF 
45 Q0 CACM-3012 10  0.377198450750954 TF-IDF 
45 Q0 CACM-2765 11  0.37526617519219163 TF-IDF 
45 Q0 CACM-2813 12  0.3742888666383261 TF-IDF 
45 Q0 CACM-1267 13  0.3689250883096309 TF-IDF 
45 Q0 CACM-1719 14  0.34473870992482386 TF-IDF 
45 Q0 CACM-1653 15  0.33760322374792184 TF-IDF 
45 Q0 CACM-2949 16  0.33473270235515784 TF-IDF 
45 Q0 CACM-2319 17  0.33325360010812644 TF-IDF 
45 Q0 CACM-1271 18  0.3326329529188973 TF-IDF 
45 Q0 CACM-2359 19  0.3324959724361879 TF-IDF 
45 Q0 CACM-3089 20  0.32992497277407284 TF-IDF 
45 Q0 CACM-2969 21  0.3288415897792156 TF-IDF 
45 Q0 CACM-1173 22  0.3267916253718573 TF-IDF 
45 Q0 CACM-3070 23  0.3267506973829811 TF-IDF 
45 Q0 CACM-1412 24  0.31940146854788654 TF-IDF 
45 Q0 CACM-1952 25  0.3178573846650982 TF-IDF 
45 Q0 CACM-3082 26  0.3170070174714781 TF-IDF 
45 Q0 CACM-3002 27  0.315811670075695 TF-IDF 
45 Q0 CACM-2988 28  0.31141092635334733 TF-IDF 
45 Q0 CACM-1032 29  0.3108527184662871 TF-IDF 
45 Q0 CACM-3181 30  0.3032442258071677 TF-IDF 
45 Q0 CACM-3119 31  0.3021229812700623 TF-IDF 
45 Q0 CACM-1660 32  0.30019864107259275 TF-IDF 
45 Q0 CACM-3090 33  0.29983655798641046 TF-IDF 
45 Q0 CACM-2978 34  0.2993450207130477 TF-IDF 
45 Q0 CACM-1233 35  0.2960649469614637 TF-IDF 
45 Q0 CACM-3134 36  0.2959190148271769 TF-IDF 
45 Q0 CACM-1226 37  0.29537242625402177 TF-IDF 
45 Q0 CACM-1194 38  0.2947912652486574 TF-IDF 
45 Q0 CACM-2437 39  0.2942126062582587 TF-IDF 
45 Q0 CACM-2542 40  0.29306462848742154 TF-IDF 
45 Q0 CACM-2140 41  0.29143816263307526 TF-IDF 
45 Q0 CACM-1515 42  0.28962715994609434 TF-IDF 
45 Q0 CACM-0892 43  0.28587958627185506 TF-IDF 
45 Q0 CACM-3148 44  0.2841960708397946 TF-IDF 
45 Q0 CACM-1745 45  0.28249331208158845 TF-IDF 
45 Q0 CACM-2926 46  0.28237932768743523 TF-IDF 
45 Q0 CACM-2991 47  0.2809510223047976 TF-IDF 
45 Q0 CACM-2629 48  0.2774458341037672 TF-IDF 
45 Q0 CACM-0858 49  0.2773443509293004 TF-IDF 
45 Q0 CACM-2976 50  0.27720638909771034 TF-IDF 
