40 Q0 CACM-2316 1  0.8372271132407612 TF-IDF 
40 Q0 CACM-2603 2  0.7564359568797495 TF-IDF 
40 Q0 CACM-0249 3  0.6964011151560235 TF-IDF 
40 Q0 CACM-1588 4  0.6610893243293868 TF-IDF 
40 Q0 CACM-1098 5  0.6493217320170672 TF-IDF 
40 Q0 CACM-2406 6  0.6439117713817168 TF-IDF 
40 Q0 CACM-1466 7  0.6234928883229327 TF-IDF 
40 Q0 CACM-2651 8  0.6224617769218681 TF-IDF 
40 Q0 CACM-2295 9  0.60484924317571 TF-IDF 
40 Q0 CACM-2956 10  0.5998226744839167 TF-IDF 
40 Q0 CACM-0463 11  0.5793969635215261 TF-IDF 
40 Q0 CACM-1459 12  0.5616574024225485 TF-IDF 
40 Q0 CACM-2941 13  0.5262392595091978 TF-IDF 
40 Q0 CACM-3105 14  0.5201928361921265 TF-IDF 
40 Q0 CACM-0628 15  0.5119618611945621 TF-IDF 
40 Q0 CACM-1485 16  0.5043910167227978 TF-IDF 
40 Q0 CACM-2513 17  0.49558241212105436 TF-IDF 
40 Q0 CACM-2705 18  0.48982128643994716 TF-IDF 
40 Q0 CACM-0762 19  0.483874475729344 TF-IDF 
40 Q0 CACM-1102 20  0.4836118855250163 TF-IDF 
40 Q0 CACM-1457 21  0.4833038076602746 TF-IDF 
40 Q0 CACM-1678 22  0.4813424596552083 TF-IDF 
40 Q0 CACM-1366 23  0.4756036322620549 TF-IDF 
40 Q0 CACM-3198 24  0.47423267734597435 TF-IDF 
40 Q0 CACM-2975 25  0.4720463876237538 TF-IDF 
40 Q0 CACM-1703 26  0.4697724128465172 TF-IDF 
40 Q0 CACM-2265 27  0.4634211434825415 TF-IDF 
40 Q0 CACM-2958 28  0.45610078457988124 TF-IDF 
40 Q0 CACM-1142 29  0.4352506969725148 TF-IDF 
40 Q0 CACM-2317 30  0.42639361741698195 TF-IDF 
40 Q0 CACM-3188 31  0.4177332227614222 TF-IDF 
40 Q0 CACM-2814 32  0.41452447330715686 TF-IDF 
40 Q0 CACM-2940 33  0.40901617553097763 TF-IDF 
40 Q0 CACM-0627 34  0.40753356041518596 TF-IDF 
40 Q0 CACM-1853 35  0.4054980599807282 TF-IDF 
40 Q0 CACM-0651 36  0.39568245179319517 TF-IDF 
40 Q0 CACM-2710 37  0.39429780922065216 TF-IDF 
40 Q0 CACM-2051 38  0.39137955161849985 TF-IDF 
40 Q0 CACM-1051 39  0.3910606204551047 TF-IDF 
40 Q0 CACM-1878 40  0.39049923806901304 TF-IDF 
40 Q0 CACM-3185 41  0.39006627530465876 TF-IDF 
40 Q0 CACM-2645 42  0.389875833027954 TF-IDF 
40 Q0 CACM-1612 43  0.3876694724775901 TF-IDF 
40 Q0 CACM-1972 44  0.38415974055369173 TF-IDF 
40 Q0 CACM-0793 45  0.3835609980378221 TF-IDF 
