25 Q0 CACM-2318 1  0.40883441443652696 TF-IDF 
25 Q0 CACM-1653 2  0.37282067995792756 TF-IDF 
25 Q0 CACM-1374 3  0.31352692265832155 TF-IDF 
25 Q0 CACM-2984 4  0.29506518930792186 TF-IDF 
25 Q0 CACM-0436 5  0.28580110480762866 TF-IDF 
25 Q0 CACM-3119 6  0.2634268464210684 TF-IDF 
25 Q0 CACM-2329 7  0.24798912473307708 TF-IDF 
25 Q0 CACM-1938 8  0.2438709220459821 TF-IDF 
25 Q0 CACM-2553 9  0.2304614547356092 TF-IDF 
25 Q0 CACM-1719 10  0.22970749556548528 TF-IDF 
25 Q0 CACM-3089 11  0.22214062123121459 TF-IDF 
25 Q0 CACM-2502 12  0.21690489857469103 TF-IDF 
25 Q0 CACM-2812 13  0.20952840814906923 TF-IDF 
25 Q0 CACM-1689 14  0.20853799028913925 TF-IDF 
25 Q0 CACM-1940 15  0.20319086233300745 TF-IDF 
25 Q0 CACM-0360 16  0.20111027053038763 TF-IDF 
25 Q0 CACM-0741 17  0.20111027053038763 TF-IDF 
25 Q0 CACM-0742 18  0.20111027053038763 TF-IDF 
25 Q0 CACM-1093 19  0.20111027053038763 TF-IDF 
25 Q0 CACM-1128 20  0.20111027053038763 TF-IDF 
25 Q0 CACM-0819 21  0.1994131812390606 TF-IDF 
25 Q0 CACM-2852 22  0.1982644790358417 TF-IDF 
25 Q0 CACM-2319 23  0.1929671724820782 TF-IDF 
25 Q0 CACM-0444 24  0.1910547570038683 TF-IDF 
25 Q0 CACM-3169 25  0.1897662952931946 TF-IDF 
25 Q0 CACM-1177 26  0.18833467117022387 TF-IDF 
25 Q0 CACM-2542 27  0.1857337164363167 TF-IDF 
25 Q0 CACM-3048 28  0.18499249901399678 TF-IDF 
25 Q0 CACM-1267 29  0.18231632090137018 TF-IDF 
25 Q0 CACM-0268 30  0.18195691143225548 TF-IDF 
25 Q0 CACM-0517 31  0.18195691143225548 TF-IDF 
25 Q0 CACM-0966 32  0.18195691143225548 TF-IDF 
25 Q0 CACM-2741 33  0.17983312845695998 TF-IDF 
25 Q0 CACM-2988 34  0.17756837867454697 TF-IDF 
25 Q0 CACM-2894 35  0.17692690383046497 TF-IDF 
25 Q0 CACM-2882 36  0.174965230429445 TF-IDF 
25 Q0 CACM-0575 37  0.17368614273078936 TF-IDF 
25 Q0 CACM-0589 38  0.17368614273078936 TF-IDF 
25 Q0 CACM-0590 39  0.17368614273078936 TF-IDF 
25 Q0 CACM-0708 40  0.17368614273078936 TF-IDF 
25 Q0 CACM-1792 41  0.1716065783545669 TF-IDF 
25 Q0 CACM-1071 42  0.17002292882904 TF-IDF 
25 Q0 CACM-0591 43  0.16794146481197267 TF-IDF 
25 Q0 CACM-0143 44  0.16792549168449072 TF-IDF 
25 Q0 CACM-2311 45  0.16691279922456836 TF-IDF 
25 Q0 CACM-2535 46  0.1668991396663951 TF-IDF 
25 Q0 CACM-2798 47  0.16645261969672262 TF-IDF 
25 Q0 CACM-0574 48  0.16613457130771153 TF-IDF 
25 Q0 CACM-2985 49  0.1660044431010361 TF-IDF 
25 Q0 CACM-1620 50  0.16482788883667876 TF-IDF 
25 Q0 CACM-0059 51  0.1644011913673791 TF-IDF 
25 Q0 CACM-1827 52  0.16344914417237216 TF-IDF 
25 Q0 CACM-2151 53  0.16320167716839867 TF-IDF 
25 Q0 CACM-2345 54  0.1595471060417011 TF-IDF 
25 Q0 CACM-0179 55  0.15921229750322355 TF-IDF 
25 Q0 CACM-0180 56  0.15921229750322355 TF-IDF 
25 Q0 CACM-0181 57  0.15921229750322355 TF-IDF 
25 Q0 CACM-0182 58  0.15921229750322355 TF-IDF 
25 Q0 CACM-1747 59  0.15809134191582797 TF-IDF 
25 Q0 CACM-1030 60  0.15748389872213037 TF-IDF 
25 Q0 CACM-2255 61  0.15715192164899922 TF-IDF 
25 Q0 CACM-2504 62  0.15715192164899922 TF-IDF 
25 Q0 CACM-1908 63  0.15692726829798173 TF-IDF 
25 Q0 CACM-2375 64  0.15688461039358664 TF-IDF 
25 Q0 CACM-2268 65  0.15673484688508504 TF-IDF 
25 Q0 CACM-1341 66  0.15665541158856083 TF-IDF 
25 Q0 CACM-2407 67  0.1565789759781919 TF-IDF 
25 Q0 CACM-1771 68  0.1565571689779972 TF-IDF 
25 Q0 CACM-2522 69  0.1562306902811797 TF-IDF 
25 Q0 CACM-3136 70  0.15520737852217925 TF-IDF 
25 Q0 CACM-2479 71  0.15500914789724718 TF-IDF 
25 Q0 CACM-2485 72  0.15495702875483858 TF-IDF 
25 Q0 CACM-2344 73  0.15490520092929524 TF-IDF 
25 Q0 CACM-3070 74  0.1546709073670358 TF-IDF 
25 Q0 CACM-1912 75  0.15408425370325987 TF-IDF 
25 Q0 CACM-0004 76  0.15297340667371173 TF-IDF 
25 Q0 CACM-0007 77  0.15297340667371173 TF-IDF 
25 Q0 CACM-0010 78  0.15297340667371173 TF-IDF 
25 Q0 CACM-0013 79  0.15297340667371173 TF-IDF 
25 Q0 CACM-0019 80  0.15297340667371173 TF-IDF 
25 Q0 CACM-0601 81  0.15284380560309463 TF-IDF 
25 Q0 CACM-2990 82  0.15245256766781343 TF-IDF 
25 Q0 CACM-1196 83  0.15128051138785403 TF-IDF 
25 Q0 CACM-0084 84  0.14910805728669269 TF-IDF 
25 Q0 CACM-2818 85  0.14901775159963995 TF-IDF 
25 Q0 CACM-0651 86  0.14821424579921139 TF-IDF 
25 Q0 CACM-2634 87  0.14720693126928747 TF-IDF 
25 Q0 CACM-0057 88  0.14515314131959225 TF-IDF 
25 Q0 CACM-2298 89  0.14449227107444862 TF-IDF 
25 Q0 CACM-3150 90  0.14379473585072194 TF-IDF 
25 Q0 CACM-0417 91  0.14283137763965847 TF-IDF 
25 Q0 CACM-0086 92  0.14262330551675406 TF-IDF 
25 Q0 CACM-2111 93  0.14177014815576744 TF-IDF 
