37 Q0 CACM-2265 1  1.279051658969883 TF-IDF 
37 Q0 CACM-2651 2  1.2202616868258702 TF-IDF 
37 Q0 CACM-2958 3  1.122958927473043 TF-IDF 
37 Q0 CACM-2956 4  1.1152189220622086 TF-IDF 
37 Q0 CACM-2632 5  0.9556577992807933 TF-IDF 
37 Q0 CACM-3048 6  0.9512504068620089 TF-IDF 
37 Q0 CACM-1455 7  0.942755062009818 TF-IDF 
37 Q0 CACM-2560 8  0.9396286090718023 TF-IDF 
37 Q0 CACM-3031 9  0.9274998467204053 TF-IDF 
37 Q0 CACM-1637 10  0.9019975301372171 TF-IDF 
37 Q0 CACM-2376 11  0.8893603172283657 TF-IDF 
37 Q0 CACM-2941 12  0.8719424188640443 TF-IDF 
37 Q0 CACM-1314 13  0.860482832167949 TF-IDF 
37 Q0 CACM-2470 14  0.8535574517001568 TF-IDF 
37 Q0 CACM-2184 15  0.8494991061828738 TF-IDF 
37 Q0 CACM-2195 16  0.8479121484336845 TF-IDF 
37 Q0 CACM-1395 17  0.843127388737314 TF-IDF 
37 Q0 CACM-0676 18  0.841709455318358 TF-IDF 
37 Q0 CACM-1398 19  0.8402069061910443 TF-IDF 
37 Q0 CACM-1571 20  0.8357302303522748 TF-IDF 
37 Q0 CACM-0982 21  0.8349748006122732 TF-IDF 
37 Q0 CACM-1482 22  0.8345509637064654 TF-IDF 
37 Q0 CACM-1108 23  0.8328103831652645 TF-IDF 
37 Q0 CACM-1383 24  0.8274551482255563 TF-IDF 
37 Q0 CACM-1034 25  0.8258982123363692 TF-IDF 
37 Q0 CACM-1534 26  0.8228658291628163 TF-IDF 
37 Q0 CACM-3105 27  0.8222192681072679 TF-IDF 
37 Q0 CACM-2342 28  0.8216986683747123 TF-IDF 
37 Q0 CACM-2227 29  0.8173868744164561 TF-IDF 
37 Q0 CACM-1541 30  0.8131674423668254 TF-IDF 
37 Q0 CACM-2937 31  0.8126961116200263 TF-IDF 
37 Q0 CACM-2535 32  0.8122436096194049 TF-IDF 
37 Q0 CACM-2264 33  0.8099120129292567 TF-IDF 
37 Q0 CACM-1173 34  0.8066501423264573 TF-IDF 
37 Q0 CACM-2080 35  0.8057730096637206 TF-IDF 
37 Q0 CACM-0248 36  0.8026235105650782 TF-IDF 
37 Q0 CACM-1533 37  0.8018249833746858 TF-IDF 
37 Q0 CACM-3153 38  0.8001114322208509 TF-IDF 
37 Q0 CACM-0972 39  0.7997358190065187 TF-IDF 
37 Q0 CACM-2371 40  0.7996116777126435 TF-IDF 
37 Q0 CACM-2379 41  0.7981629128695853 TF-IDF 
37 Q0 CACM-3128 42  0.7977098909346546 TF-IDF 
37 Q0 CACM-0678 43  0.7967494482251453 TF-IDF 
37 Q0 CACM-2378 44  0.7963774541524787 TF-IDF 
37 Q0 CACM-1748 45  0.7955515051280301 TF-IDF 
37 Q0 CACM-1828 46  0.7955508662569916 TF-IDF 
37 Q0 CACM-0794 47  0.7941945057686008 TF-IDF 
37 Q0 CACM-0671 48  0.7941017455899906 TF-IDF 
37 Q0 CACM-2554 49  0.7914067319582021 TF-IDF 
37 Q0 CACM-2186 50  0.7900177995995382 TF-IDF 
37 Q0 CACM-1484 51  0.7894409378111582 TF-IDF 
37 Q0 CACM-2083 52  0.7860732354870734 TF-IDF 
37 Q0 CACM-1553 53  0.7856117994443705 TF-IDF 
37 Q0 CACM-2244 54  0.7854505844837135 TF-IDF 
37 Q0 CACM-0730 55  0.7818722919652039 TF-IDF 
37 Q0 CACM-2060 56  0.7815716759283217 TF-IDF 
37 Q0 CACM-3082 57  0.7805079136817794 TF-IDF 
37 Q0 CACM-0527 58  0.77557404051103 TF-IDF 
37 Q0 CACM-2920 59  0.7755312977297499 TF-IDF 
37 Q0 CACM-2912 60  0.7748585597699753 TF-IDF 
37 Q0 CACM-1307 61  0.7735435905649859 TF-IDF 
37 Q0 CACM-0464 62  0.7725258606393874 TF-IDF 
37 Q0 CACM-1182 63  0.7691421114864777 TF-IDF 
37 Q0 CACM-0618 64  0.7676089618686498 TF-IDF 
37 Q0 CACM-1003 65  0.7645026943747382 TF-IDF 
37 Q0 CACM-3108 66  0.7631357249278216 TF-IDF 
37 Q0 CACM-0860 67  0.759986865994351 TF-IDF 
37 Q0 CACM-1305 68  0.7589777384135515 TF-IDF 
37 Q0 CACM-1410 69  0.7582296691526733 TF-IDF 
37 Q0 CACM-1961 70  0.7576874384334237 TF-IDF 
37 Q0 CACM-3013 71  0.7575161875204343 TF-IDF 
37 Q0 CACM-2940 72  0.7565254777394302 TF-IDF 
37 Q0 CACM-0963 73  0.7564627155801055 TF-IDF 
37 Q0 CACM-2310 74  0.7533034934741305 TF-IDF 
37 Q0 CACM-1001 75  0.752248372968514 TF-IDF 
37 Q0 CACM-1346 76  0.7519565544250197 TF-IDF 
37 Q0 CACM-2202 77  0.7515642404356805 TF-IDF 
37 Q0 CACM-0243 78  0.7511539158837537 TF-IDF 
37 Q0 CACM-1171 79  0.7489327290592482 TF-IDF 
37 Q0 CACM-1638 80  0.7465457918669376 TF-IDF 
37 Q0 CACM-2916 81  0.7454130850799315 TF-IDF 
37 Q0 CACM-3174 82  0.7445530275362228 TF-IDF 
37 Q0 CACM-1625 83  0.7438368842731755 TF-IDF 
37 Q0 CACM-1117 84  0.7425837047815764 TF-IDF 
37 Q0 CACM-1847 85  0.7416784115638108 TF-IDF 
37 Q0 CACM-2794 86  0.7413460410719594 TF-IDF 
37 Q0 CACM-0086 87  0.7412736024370562 TF-IDF 
37 Q0 CACM-0615 88  0.7406487637756587 TF-IDF 
37 Q0 CACM-3012 89  0.739382729066375 TF-IDF 
37 Q0 CACM-2858 90  0.7393241059098365 TF-IDF 
37 Q0 CACM-3035 91  0.7379562050790022 TF-IDF 
37 Q0 CACM-3090 92  0.7369198334071425 TF-IDF 
37 Q0 CACM-0492 93  0.7355880899048982 TF-IDF 
37 Q0 CACM-1425 94  0.7350449092897917 TF-IDF 
37 Q0 CACM-1875 95  0.7349513482861126 TF-IDF 
37 Q0 CACM-2051 96  0.73445267603712 TF-IDF 
37 Q0 CACM-2911 97  0.7342114212764596 TF-IDF 
37 Q0 CACM-3050 98  0.7339687375797791 TF-IDF 
