14 Q0 CACM-1724 1  0.47048071978021166 TF-IDF 
14 Q0 CACM-2348 2  0.41876540048986577 TF-IDF 
14 Q0 CACM-2976 3  0.40628149697254684 TF-IDF 
14 Q0 CACM-3011 4  0.29496052595971634 TF-IDF 
14 Q0 CACM-2964 5  0.28196364762911963 TF-IDF 
14 Q0 CACM-0132 6  0.2709658473757955 TF-IDF 
14 Q0 CACM-2563 7  0.2709658473757955 TF-IDF 
14 Q0 CACM-1566 8  0.267989050463029 TF-IDF 
14 Q0 CACM-0662 9  0.2559121891882513 TF-IDF 
14 Q0 CACM-0701 10  0.2559121891882513 TF-IDF 
14 Q0 CACM-0853 11  0.2559121891882513 TF-IDF 
14 Q0 CACM-0862 12  0.2551766563698954 TF-IDF 
14 Q0 CACM-2679 13  0.25361822064825584 TF-IDF 
14 Q0 CACM-0307 14  0.2509337359277131 TF-IDF 
14 Q0 CACM-2397 15  0.24244312659939596 TF-IDF 
14 Q0 CACM-2876 16  0.2402280416056482 TF-IDF 
14 Q0 CACM-1999 17  0.23906457434732567 TF-IDF 
14 Q0 CACM-1191 18  0.2377266971946756 TF-IDF 
14 Q0 CACM-0622 19  0.228242478687395 TF-IDF 
14 Q0 CACM-0841 20  0.21935330501850112 TF-IDF 
14 Q0 CACM-2325 21  0.21863507274214197 TF-IDF 
14 Q0 CACM-2819 22  0.21820809865545077 TF-IDF 
14 Q0 CACM-3169 23  0.21756729024918756 TF-IDF 
14 Q0 CACM-3087 24  0.2171651171286909 TF-IDF 
14 Q0 CACM-0507 25  0.21508605936661124 TF-IDF 
14 Q0 CACM-3131 26  0.21490119956367107 TF-IDF 
14 Q0 CACM-2882 27  0.21359118051270287 TF-IDF 
14 Q0 CACM-3075 28  0.2030769852608318 TF-IDF 
14 Q0 CACM-0059 29  0.2010146440013231 TF-IDF 
14 Q0 CACM-0371 30  0.19976865929659884 TF-IDF 
14 Q0 CACM-1795 31  0.19933167968238227 TF-IDF 
14 Q0 CACM-1873 32  0.1989258299463053 TF-IDF 
14 Q0 CACM-3166 33  0.19861083400858906 TF-IDF 
14 Q0 CACM-2170 34  0.19553591359057676 TF-IDF 
14 Q0 CACM-0717 35  0.19403694967192697 TF-IDF 
14 Q0 CACM-2900 36  0.19376033984151086 TF-IDF 
14 Q0 CACM-2902 37  0.19355438644540757 TF-IDF 
14 Q0 CACM-2226 38  0.19177845592163795 TF-IDF 
14 Q0 CACM-1961 39  0.19085383691310492 TF-IDF 
14 Q0 CACM-2691 40  0.1888544461842114 TF-IDF 
14 Q0 CACM-0776 41  0.18820030194578485 TF-IDF 
14 Q0 CACM-0086 42  0.1875265755314695 TF-IDF 
14 Q0 CACM-2997 43  0.1872548808195016 TF-IDF 
14 Q0 CACM-2950 44  0.1858600136467701 TF-IDF 
14 Q0 CACM-2817 45  0.18519315424924687 TF-IDF 
14 Q0 CACM-2816 46  0.18440586794491282 TF-IDF 
14 Q0 CACM-1932 47  0.1835986523282923 TF-IDF 
14 Q0 CACM-2863 48  0.18340143527652542 TF-IDF 
14 Q0 CACM-0084 49  0.18231560735003724 TF-IDF 
14 Q0 CACM-0860 50  0.1817242005877894 TF-IDF 
14 Q0 CACM-2007 51  0.17979179336693898 TF-IDF 
14 Q0 CACM-0089 52  0.17929831215751693 TF-IDF 
14 Q0 CACM-0804 53  0.17795095092653782 TF-IDF 
14 Q0 CACM-2884 54  0.17716629564334216 TF-IDF 
14 Q0 CACM-3085 55  0.17659286822463677 TF-IDF 
14 Q0 CACM-2174 56  0.17650690641541597 TF-IDF 
14 Q0 CACM-2577 57  0.1764430262959123 TF-IDF 
14 Q0 CACM-3164 58  0.17418617058419072 TF-IDF 
14 Q0 CACM-2181 59  0.17377117264440572 TF-IDF 
14 Q0 CACM-1752 60  0.17353546028260472 TF-IDF 
14 Q0 CACM-1658 61  0.17289701117888298 TF-IDF 
14 Q0 CACM-0856 62  0.1727223568728499 TF-IDF 
14 Q0 CACM-0270 63  0.17245836394416825 TF-IDF 
14 Q0 CACM-2856 64  0.17129990835649186 TF-IDF 
14 Q0 CACM-2272 65  0.16889756738629758 TF-IDF 
14 Q0 CACM-3006 66  0.16852096180878862 TF-IDF 
14 Q0 CACM-0677 67  0.16841230903412646 TF-IDF 
14 Q0 CACM-2289 68  0.16782094175232773 TF-IDF 
14 Q0 CACM-3036 69  0.16774986500177563 TF-IDF 
14 Q0 CACM-2227 70  0.16435112546467556 TF-IDF 
14 Q0 CACM-2834 71  0.16417638313100674 TF-IDF 
14 Q0 CACM-1551 72  0.164050662236582 TF-IDF 
14 Q0 CACM-1886 73  0.16168090296635237 TF-IDF 
14 Q0 CACM-2674 74  0.16158658544337237 TF-IDF 
