6 Q0 CACM-0438 1  0.4872373008286959 TF-IDF 
6 Q0 CACM-2826 2  0.43427349691427247 TF-IDF 
6 Q0 CACM-3035 3  0.43199717052819464 TF-IDF 
6 Q0 CACM-3198 4  0.3946258335438575 TF-IDF 
6 Q0 CACM-2721 5  0.38477239008676956 TF-IDF 
6 Q0 CACM-2671 6  0.3717240418313111 TF-IDF 
6 Q0 CACM-1009 7  0.3688472336760584 TF-IDF 
6 Q0 CACM-2828 8  0.35778171511390466 TF-IDF 
6 Q0 CACM-1014 9  0.3530399130256945 TF-IDF 
6 Q0 CACM-3185 10  0.35122267667012036 TF-IDF 
6 Q0 CACM-1341 11  0.3498864596496483 TF-IDF 
6 Q0 CACM-1543 12  0.33007291242086784 TF-IDF 
6 Q0 CACM-0605 13  0.32945772100247156 TF-IDF 
6 Q0 CACM-0242 14  0.3227801617952016 TF-IDF 
6 Q0 CACM-2389 15  0.30985172593724775 TF-IDF 
6 Q0 CACM-0492 16  0.30796406905384255 TF-IDF 
6 Q0 CACM-0695 17  0.3040978807871002 TF-IDF 
6 Q0 CACM-2230 18  0.3013926287757852 TF-IDF 
6 Q0 CACM-1867 19  0.29440407280109676 TF-IDF 
6 Q0 CACM-1353 20  0.2885133721751149 TF-IDF 
6 Q0 CACM-2707 21  0.28619098591176767 TF-IDF 
6 Q0 CACM-2931 22  0.28596302148946223 TF-IDF 
6 Q0 CACM-2187 23  0.28155924755407924 TF-IDF 
6 Q0 CACM-1365 24  0.2804159559158693 TF-IDF 
6 Q0 CACM-2078 25  0.275873653671092 TF-IDF 
6 Q0 CACM-1623 26  0.2754649121213047 TF-IDF 
6 Q0 CACM-1634 27  0.2748361598470352 TF-IDF 
6 Q0 CACM-1458 28  0.27470374270528886 TF-IDF 
6 Q0 CACM-0670 29  0.27320666202936983 TF-IDF 
6 Q0 CACM-1233 30  0.26862121421039137 TF-IDF 
6 Q0 CACM-2753 31  0.267004352997997 TF-IDF 
6 Q0 CACM-0671 32  0.26509944640150523 TF-IDF 
6 Q0 CACM-0435 33  0.26491878620328435 TF-IDF 
6 Q0 CACM-0248 34  0.2636448711967903 TF-IDF 
