30 Q0 CACM-0195 1  0.5390043684073429 TF-IDF 
30 Q0 CACM-1256 2  0.3932859380628447 TF-IDF 
30 Q0 CACM-1461 3  0.3439692594477167 TF-IDF 
30 Q0 CACM-1926 4  0.3244259057518444 TF-IDF 
30 Q0 CACM-2345 5  0.29994232546135874 TF-IDF 
30 Q0 CACM-2311 6  0.28200153489285423 TF-IDF 
30 Q0 CACM-2407 7  0.2816904808388038 TF-IDF 
30 Q0 CACM-2909 8  0.2771605717788665 TF-IDF 
30 Q0 CACM-2479 9  0.2597210133089758 TF-IDF 
30 Q0 CACM-0718 10  0.25695168209123453 TF-IDF 
30 Q0 CACM-0084 11  0.24872914588839504 TF-IDF 
30 Q0 CACM-0025 12  0.23514643763593543 TF-IDF 
30 Q0 CACM-2312 13  0.23346704053295325 TF-IDF 
30 Q0 CACM-0248 14  0.22624641041337734 TF-IDF 
30 Q0 CACM-3179 15  0.22485663996747543 TF-IDF 
30 Q0 CACM-3142 16  0.22475954482250066 TF-IDF 
30 Q0 CACM-1912 17  0.22138600212624096 TF-IDF 
30 Q0 CACM-2876 18  0.21817931699627044 TF-IDF 
30 Q0 CACM-0953 19  0.2120581073870368 TF-IDF 
30 Q0 CACM-0987 20  0.21167339042936417 TF-IDF 
30 Q0 CACM-2501 21  0.2062801390930184 TF-IDF 
30 Q0 CACM-1959 22  0.20230687748109016 TF-IDF 
30 Q0 CACM-0018 23  0.20155408940223038 TF-IDF 
30 Q0 CACM-0597 24  0.20155408940223038 TF-IDF 
30 Q0 CACM-0652 25  0.20155408940223038 TF-IDF 
30 Q0 CACM-1360 26  0.20155408940223038 TF-IDF 
30 Q0 CACM-2583 27  0.20155408940223038 TF-IDF 
30 Q0 CACM-1248 28  0.20118097712575192 TF-IDF 
30 Q0 CACM-2852 29  0.19734575464593307 TF-IDF 
30 Q0 CACM-0651 30  0.1923925398839472 TF-IDF 
30 Q0 CACM-2995 31  0.1923925398839472 TF-IDF 
30 Q0 CACM-2111 32  0.19127060627515335 TF-IDF 
30 Q0 CACM-3150 33  0.1868797023100387 TF-IDF 
30 Q0 CACM-1341 34  0.1866113344893375 TF-IDF 
30 Q0 CACM-2151 35  0.1863149637044057 TF-IDF 
30 Q0 CACM-2882 36  0.1846326004934073 TF-IDF 
30 Q0 CACM-0795 37  0.1840276468455147 TF-IDF 
30 Q0 CACM-3068 38  0.17990152326863595 TF-IDF 
30 Q0 CACM-2738 39  0.17855091749707053 TF-IDF 
30 Q0 CACM-2985 40  0.1708706073756725 TF-IDF 
30 Q0 CACM-0238 41  0.16930543509787352 TF-IDF 
30 Q0 CACM-2818 42  0.16930543509787352 TF-IDF 
30 Q0 CACM-1462 43  0.16776324385744046 TF-IDF 
30 Q0 CACM-2537 44  0.16723925509587734 TF-IDF 
30 Q0 CACM-1400 45  0.1646508965762193 TF-IDF 
30 Q0 CACM-1739 46  0.1630939784026078 TF-IDF 
30 Q0 CACM-2138 47  0.16206849582506522 TF-IDF 
30 Q0 CACM-2502 48  0.16186788679892553 TF-IDF 
30 Q0 CACM-3089 49  0.16140748790937753 TF-IDF 
