40 Q0 CACM-2956 1  58.94942968092408 BM25
40 Q0 CACM-2941 2  53.79867353706196 BM25
40 Q0 CACM-3105 3  52.91031860573568 BM25
40 Q0 CACM-1098 4  48.91269961275081 BM25
40 Q0 CACM-2940 5  48.546653422493655 BM25
40 Q0 CACM-2651 6  47.91180275217841 BM25
40 Q0 CACM-2254 7  47.585171983558766 BM25
40 Q0 CACM-2939 8  46.8948388507291 BM25
40 Q0 CACM-1485 9  46.74780105547827 BM25
40 Q0 CACM-2470 10  46.57922123219257 BM25
40 Q0 CACM-2406 11  46.48609302003027 BM25
40 Q0 CACM-2265 12  44.81066588905295 BM25
40 Q0 CACM-1588 13  44.41505916412583 BM25
40 Q0 CACM-2705 14  43.96252035900131 BM25
40 Q0 CACM-1366 15  43.89599246806117 BM25
40 Q0 CACM-1457 16  42.95159354292385 BM25
40 Q0 CACM-2316 17  42.884777632191366 BM25
40 Q0 CACM-1459 18  42.17832590324339 BM25
40 Q0 CACM-2051 19  41.9357010871698 BM25
40 Q0 CACM-1678 20  41.45006265885137 BM25
40 Q0 CACM-2198 21  41.367965968676984 BM25
40 Q0 CACM-2078 22  40.8527889469617 BM25
40 Q0 CACM-2958 23  40.83582410426462 BM25
40 Q0 CACM-2603 24  40.829183892580765 BM25
40 Q0 CACM-1835 25  40.617084899938604 BM25
40 Q0 CACM-2252 26  38.88112900932341 BM25
40 Q0 CACM-3198 27  38.564608095889994 BM25
40 Q0 CACM-2645 28  38.520796598699874 BM25
40 Q0 CACM-1324 29  38.38679625036425 BM25
40 Q0 CACM-2710 30  38.23930947265517 BM25
40 Q0 CACM-1861 31  38.11002862275177 BM25
40 Q0 CACM-2957 32  37.97949576485679 BM25
40 Q0 CACM-2305 33  37.90509231952989 BM25
40 Q0 CACM-2652 34  37.67739943627583 BM25
40 Q0 CACM-2931 35  37.380349135750755 BM25
40 Q0 CACM-2295 36  37.29061039739325 BM25
40 Q0 CACM-1456 37  37.12069921294521 BM25
40 Q0 CACM-1470 38  37.067445293365374 BM25
40 Q0 CACM-2060 39  36.841574926272976 BM25
40 Q0 CACM-2148 40  36.659695700682775 BM25
40 Q0 CACM-3103 41  36.59834049372456 BM25
40 Q0 CACM-2003 42  36.52028411329469 BM25
40 Q0 CACM-1902 43  36.165067350728584 BM25
40 Q0 CACM-2317 44  36.13797036954771 BM25
40 Q0 CACM-2264 45  36.12868576942397 BM25
40 Q0 CACM-2081 46  35.861129120677084 BM25
40 Q0 CACM-1237 47  35.74767105192687 BM25
40 Q0 CACM-0303 48  35.63838017632186 BM25
40 Q0 CACM-1614 49  35.627037620150574 BM25
40 Q0 CACM-1937 50  35.562141035787434 BM25
40 Q0 CACM-2546 51  35.30472575709151 BM25
40 Q0 CACM-2002 52  35.21245836505078 BM25
40 Q0 CACM-1852 53  35.06111062974696 BM25
40 Q0 CACM-3077 54  34.98129191161267 BM25
40 Q0 CACM-2138 55  34.94895505479431 BM25
40 Q0 CACM-2937 56  34.87181490519002 BM25
40 Q0 CACM-1467 57  34.863181083806495 BM25
40 Q0 CACM-1769 58  34.665501825521865 BM25
40 Q0 CACM-0867 59  34.664634118422576 BM25
40 Q0 CACM-1350 60  34.620678374226046 BM25
40 Q0 CACM-0949 61  34.56246637961427 BM25
40 Q0 CACM-2767 62  34.51882176970105 BM25
40 Q0 CACM-0990 63  34.39173465469041 BM25
40 Q0 CACM-1282 64  34.356062408244014 BM25
40 Q0 CACM-1143 65  34.23819212513362 BM25
40 Q0 CACM-1710 66  34.17235728096848 BM25
40 Q0 CACM-2886 67  34.14916314502636 BM25
40 Q0 CACM-3150 68  33.98927706316577 BM25
40 Q0 CACM-1703 69  33.936995969405565 BM25
40 Q0 CACM-2184 70  33.856303618525914 BM25
40 Q0 CACM-3148 71  33.803742070145454 BM25
40 Q0 CACM-1693 72  33.77312770578263 BM25
40 Q0 CACM-2314 73  33.76360715995811 BM25
40 Q0 CACM-1135 74  33.736984436151474 BM25
40 Q0 CACM-3030 75  33.64488941262773 BM25
40 Q0 CACM-2632 76  33.57907826396645 BM25
40 Q0 CACM-2341 77  33.56304182348208 BM25
40 Q0 CACM-1051 78  33.53993425146504 BM25
40 Q0 CACM-1379 79  33.28511559422831 BM25
40 Q0 CACM-2717 80  33.174351662176 BM25
40 Q0 CACM-2699 81  33.097823617957715 BM25
40 Q0 CACM-3185 82  33.09775876971173 BM25
40 Q0 CACM-1612 83  33.06854586599052 BM25
40 Q0 CACM-3101 84  33.05019261065831 BM25
40 Q0 CACM-2450 85  33.03349092616242 BM25
40 Q0 CACM-1641 86  32.883997218250904 BM25
40 Q0 CACM-3006 87  32.866587450926616 BM25
40 Q0 CACM-1488 88  32.78211712024747 BM25
40 Q0 CACM-1911 89  32.65811273603853 BM25
40 Q0 CACM-2929 90  32.48031095814556 BM25
40 Q0 CACM-1474 91  32.41745507548236 BM25
40 Q0 CACM-1425 92  32.38794116222472 BM25
40 Q0 CACM-1306 93  32.35155636418452 BM25
40 Q0 CACM-1223 94  32.26700569197943 BM25
40 Q0 CACM-0435 95  32.04514463696402 BM25
40 Q0 CACM-2684 96  32.0079444604804 BM25
40 Q0 CACM-2838 97  31.900789599840824 BM25
40 Q0 CACM-2092 98  31.88593344236144 BM25
40 Q0 CACM-2253 99  31.86870467004095 BM25
40 Q0 CACM-2033 100  31.837403077124414 BM25
