1 Q0 CACM-1657 1  27.108435861960743 BM25
1 Q0 CACM-1938 2  25.52135640755931 BM25
1 Q0 CACM-1410 3  24.009755936746394 BM25
1 Q0 CACM-1605 4  23.982544876027152 BM25
1 Q0 CACM-2218 5  23.90757285621326 BM25
1 Q0 CACM-1827 6  23.562030030315135 BM25
1 Q0 CACM-2371 7  22.74452409629619 BM25
1 Q0 CACM-2379 8  21.747892205786556 BM25
1 Q0 CACM-2319 9  21.47200936416289 BM25
1 Q0 CACM-2629 10  21.41877937631162 BM25
1 Q0 CACM-1523 11  21.269511534646686 BM25
1 Q0 CACM-2378 12  20.628053288381334 BM25
1 Q0 CACM-1519 13  20.579940636582766 BM25
1 Q0 CACM-1033 14  20.533834955214772 BM25
1 Q0 CACM-2535 15  20.323332545131795 BM25
1 Q0 CACM-2357 16  20.264997867790463 BM25
1 Q0 CACM-2439 17  20.152713736216278 BM25
1 Q0 CACM-2380 18  20.07820352666618 BM25
1 Q0 CACM-2054 19  20.04811713000094 BM25
1 Q0 CACM-1506 20  19.98111818445188 BM25
1 Q0 CACM-2947 21  19.931316323819804 BM25
1 Q0 CACM-1752 22  19.918221749955798 BM25
1 Q0 CACM-2344 23  19.830219852534032 BM25
1 Q0 CACM-2501 24  19.74633102118992 BM25
1 Q0 CACM-2219 25  19.37656737190838 BM25
1 Q0 CACM-1749 26  19.34352048191556 BM25
1 Q0 CACM-1544 27  19.25310721070892 BM25
1 Q0 CACM-1844 28  19.10564151367761 BM25
1 Q0 CACM-2500 29  19.03221657580106 BM25
1 Q0 CACM-2632 30  18.790307025058336 BM25
1 Q0 CACM-1071 31  18.761513138416685 BM25
1 Q0 CACM-1591 32  18.677530270285125 BM25
1 Q0 CACM-0971 33  18.56118578797204 BM25
1 Q0 CACM-1572 34  18.551753647705176 BM25
1 Q0 CACM-2424 35  18.526531092966437 BM25
1 Q0 CACM-1391 36  18.11255848519193 BM25
1 Q0 CACM-3127 37  18.101806326305304 BM25
1 Q0 CACM-1464 38  18.071388538895462 BM25
1 Q0 CACM-2151 39  17.84633056997342 BM25
1 Q0 CACM-1264 40  17.652495416783328 BM25
1 Q0 CACM-0585 41  17.617997808465127 BM25
1 Q0 CACM-1226 42  17.576119103803563 BM25
1 Q0 CACM-1960 43  17.390307533055505 BM25
1 Q0 CACM-2950 44  17.36847806502766 BM25
1 Q0 CACM-1225 45  17.221173684690406 BM25
1 Q0 CACM-1908 46  17.181651592265887 BM25
1 Q0 CACM-2920 47  16.95733287518022 BM25
1 Q0 CACM-0637 48  16.822636987103092 BM25
1 Q0 CACM-1647 49  16.78004902637495 BM25
1 Q0 CACM-1161 50  16.694697254718033 BM25
1 Q0 CACM-1571 51  16.688070534269226 BM25
1 Q0 CACM-1173 52  16.674901265567865 BM25
1 Q0 CACM-3174 53  16.66543664313915 BM25
1 Q0 CACM-2951 54  16.463132733569715 BM25
1 Q0 CACM-2541 55  16.413457568977105 BM25
1 Q0 CACM-1487 56  16.3269515608609 BM25
1 Q0 CACM-2522 57  16.319355451434674 BM25
1 Q0 CACM-2946 58  16.294883789531276 BM25
1 Q0 CACM-2358 59  16.212524700468588 BM25
1 Q0 CACM-2188 60  16.08716177085877 BM25
1 Q0 CACM-2948 61  16.018081270813692 BM25
1 Q0 CACM-1885 62  16.001816976847735 BM25
1 Q0 CACM-2841 63  15.88686430928393 BM25
1 Q0 CACM-2560 64  15.881855003946038 BM25
1 Q0 CACM-1680 65  15.83610217682644 BM25
1 Q0 CACM-3025 66  15.693599746891852 BM25
1 Q0 CACM-2003 67  15.649694678270468 BM25
1 Q0 CACM-1542 68  15.640924880825708 BM25
1 Q0 CACM-1626 69  15.529814701627147 BM25
1 Q0 CACM-0414 70  15.457485464639348 BM25
1 Q0 CACM-2288 71  15.45690977157272 BM25
1 Q0 CACM-1304 72  15.438677360165245 BM25
1 Q0 CACM-2740 73  15.284564325527398 BM25
1 Q0 CACM-1805 74  15.26891825378462 BM25
1 Q0 CACM-2764 75  15.147725004600325 BM25
1 Q0 CACM-2398 76  15.104337369464512 BM25
1 Q0 CACM-1179 77  15.083901309415953 BM25
1 Q0 CACM-1750 78  15.047922389991271 BM25
1 Q0 CACM-2092 79  15.031409554396284 BM25
1 Q0 CACM-2126 80  14.999961446948022 BM25
1 Q0 CACM-1236 81  14.932826844231219 BM25
1 Q0 CACM-3112 82  14.928759026109544 BM25
1 Q0 CACM-2080 83  14.927833628378481 BM25
1 Q0 CACM-0202 84  14.927450232925706 BM25
1 Q0 CACM-2399 85  14.919167352567744 BM25
1 Q0 CACM-1315 86  14.905208343816321 BM25
1 Q0 CACM-2626 87  14.889515447201507 BM25
1 Q0 CACM-2153 88  14.876141792038197 BM25
1 Q0 CACM-1753 89  14.839249563171101 BM25
1 Q0 CACM-2838 90  14.809462212087107 BM25
1 Q0 CACM-1698 91  14.486596152133114 BM25
1 Q0 CACM-0972 92  14.439956978264059 BM25
1 Q0 CACM-1195 93  14.43550757413673 BM25
1 Q0 CACM-2767 94  14.292579244051 BM25
1 Q0 CACM-2542 95  14.26225342979027 BM25
1 Q0 CACM-2228 96  14.258089064911076 BM25
1 Q0 CACM-2201 97  14.175465995438262 BM25
1 Q0 CACM-0698 98  14.115145805365351 BM25
1 Q0 CACM-1902 99  14.096365295894874 BM25
1 Q0 CACM-2681 100  14.053234115125381 BM25
