41 Q0 CACM-3128 1  36.131425557253735 BM25
41 Q0 CACM-3043 2  34.32678006994803 BM25
41 Q0 CACM-2578 3  33.8753410306831 BM25
41 Q0 CACM-3082 4  31.97123665177861 BM25
41 Q0 CACM-3148 5  29.570078508390857 BM25
41 Q0 CACM-3137 6  24.703735932125287 BM25
41 Q0 CACM-3141 7  23.960807461741364 BM25
41 Q0 CACM-2128 8  23.61863973606985 BM25
41 Q0 CACM-2849 9  23.342779860480036 BM25
41 Q0 CACM-2371 10  22.508575236312264 BM25
41 Q0 CACM-2969 11  22.347191476374547 BM25
41 Q0 CACM-1747 12  21.880722571598575 BM25
41 Q0 CACM-2080 13  21.34675881256613 BM25
41 Q0 CACM-1751 14  20.917497129368247 BM25
41 Q0 CACM-2949 15  20.740322912653543 BM25
41 Q0 CACM-2912 16  19.468650566928112 BM25
41 Q0 CACM-2276 17  19.06633121935048 BM25
41 Q0 CACM-2522 18  18.738737820052194 BM25
41 Q0 CACM-0052 19  18.56406855143768 BM25
41 Q0 CACM-2740 20  17.97197691485494 BM25
41 Q0 CACM-1780 21  17.924272849746288 BM25
41 Q0 CACM-2376 22  17.698748125346143 BM25
41 Q0 CACM-1960 23  17.452083675581747 BM25
41 Q0 CACM-2406 24  17.36255109184566 BM25
41 Q0 CACM-2342 25  16.94905207497636 BM25
41 Q0 CACM-2596 26  16.9234690571761 BM25
41 Q0 CACM-2323 27  16.76319636402541 BM25
41 Q0 CACM-2895 28  16.572213305404183 BM25
41 Q0 CACM-2504 29  16.412713900822663 BM25
41 Q0 CACM-2672 30  16.394981405819983 BM25
41 Q0 CACM-2482 31  16.295199302745466 BM25
41 Q0 CACM-1153 32  16.264196000843057 BM25
41 Q0 CACM-2255 33  16.1438369808873 BM25
41 Q0 CACM-0088 34  15.940685101051931 BM25
41 Q0 CACM-2597 35  15.789793956978059 BM25
41 Q0 CACM-3072 36  15.577096557155322 BM25
41 Q0 CACM-2454 37  15.396127298542156 BM25
41 Q0 CACM-1948 38  15.209582448551442 BM25
41 Q0 CACM-2435 39  15.169683962633622 BM25
41 Q0 CACM-2900 40  15.074625143735144 BM25
41 Q0 CACM-3119 41  14.977048391238718 BM25
41 Q0 CACM-1828 42  14.315551457495891 BM25
41 Q0 CACM-1924 43  14.007980157808941 BM25
41 Q0 CACM-1951 44  13.97489075934293 BM25
41 Q0 CACM-1380 45  13.951861162943972 BM25
41 Q0 CACM-2950 46  13.77843722408116 BM25
41 Q0 CACM-3076 47  13.556645839779133 BM25
41 Q0 CACM-2816 48  13.484419224654662 BM25
41 Q0 CACM-2955 49  13.474072622122069 BM25
41 Q0 CACM-3156 50  13.42411153185665 BM25
41 Q0 CACM-1846 51  13.42395966190219 BM25
41 Q0 CACM-3086 52  13.351040548544342 BM25
41 Q0 CACM-3073 53  13.27840238519018 BM25
41 Q0 CACM-3124 54  13.247279079818659 BM25
41 Q0 CACM-3153 55  13.174141430833119 BM25
41 Q0 CACM-1877 56  13.137785235750991 BM25
41 Q0 CACM-2890 57  13.125375911112574 BM25
41 Q0 CACM-2616 58  12.936782812429023 BM25
41 Q0 CACM-2327 59  12.9046937028622 BM25
41 Q0 CACM-2320 60  12.890834157334007 BM25
41 Q0 CACM-3059 61  12.862626505887942 BM25
41 Q0 CACM-2111 62  12.795267624900971 BM25
41 Q0 CACM-1959 63  12.656357980215569 BM25
41 Q0 CACM-1935 64  12.625410529827494 BM25
41 Q0 CACM-2738 65  12.615878109137022 BM25
41 Q0 CACM-1752 66  12.573694925608793 BM25
41 Q0 CACM-2317 67  12.489511445433815 BM25
41 Q0 CACM-1928 68  12.48161499366673 BM25
41 Q0 CACM-2541 69  12.472314625610215 BM25
41 Q0 CACM-2020 70  12.407878854996152 BM25
41 Q0 CACM-1967 71  12.352950942185942 BM25
41 Q0 CACM-2927 72  12.301832066488865 BM25
41 Q0 CACM-1247 73  12.171076323459332 BM25
41 Q0 CACM-2373 74  12.168292807718071 BM25
41 Q0 CACM-2016 75  12.146962542026735 BM25
41 Q0 CACM-2476 76  12.123057059181953 BM25
41 Q0 CACM-1341 77  12.089004297727014 BM25
41 Q0 CACM-1745 78  12.044379498889548 BM25
41 Q0 CACM-2784 79  11.965667465138718 BM25
41 Q0 CACM-2995 80  11.925407179270342 BM25
41 Q0 CACM-3089 81  11.88222168661472 BM25
41 Q0 CACM-2069 82  11.864602602103052 BM25
41 Q0 CACM-2580 83  11.800419382859836 BM25
41 Q0 CACM-3025 84  11.727007009212874 BM25
41 Q0 CACM-0618 85  11.704816354416174 BM25
41 Q0 CACM-1572 86  11.65362209544497 BM25
41 Q0 CACM-1006 87  11.636208185392078 BM25
41 Q0 CACM-2499 88  11.50772434180513 BM25
41 Q0 CACM-2030 89  11.50302089590586 BM25
41 Q0 CACM-2095 90  11.495211030949303 BM25
41 Q0 CACM-2290 91  11.48153033861881 BM25
41 Q0 CACM-2519 92  11.480688955973145 BM25
41 Q0 CACM-1978 93  11.441465018690204 BM25
41 Q0 CACM-2346 94  11.4214583165716 BM25
41 Q0 CACM-1754 95  11.303518674452086 BM25
41 Q0 CACM-3078 96  11.233642245857443 BM25
41 Q0 CACM-2345 97  11.154041756371257 BM25
41 Q0 CACM-3038 98  11.043178908689342 BM25
41 Q0 CACM-2228 99  11.031071843638255 BM25
41 Q0 CACM-1552 100  10.971570568135395 BM25
