8 Q0 CACM-2625 1  28.29262939363847 BM25
8 Q0 CACM-3032 2  20.85722858183304 BM25
8 Q0 CACM-2951 3  20.803098767678428 BM25
8 Q0 CACM-2541 4  20.549179672054322 BM25
8 Q0 CACM-2776 5  19.681724339032524 BM25
8 Q0 CACM-1685 6  19.019844291615293 BM25
8 Q0 CACM-2858 7  18.610222723120458 BM25
8 Q0 CACM-1869 8  18.583720074185283 BM25
8 Q0 CACM-0912 9  18.342643952908386 BM25
8 Q0 CACM-2371 10  17.04434830595966 BM25
8 Q0 CACM-2991 11  16.705013184993188 BM25
8 Q0 CACM-2194 12  16.574977784069354 BM25
8 Q0 CACM-1928 13  16.494337415664376 BM25
8 Q0 CACM-1677 14  16.486085241659804 BM25
8 Q0 CACM-2949 15  16.426597849324473 BM25
8 Q0 CACM-1785 16  16.260395949510603 BM25
8 Q0 CACM-0492 17  15.93592174820439 BM25
8 Q0 CACM-2860 18  15.749956878323207 BM25
8 Q0 CACM-1723 19  15.679946994730322 BM25
8 Q0 CACM-2543 20  15.565908544477471 BM25
8 Q0 CACM-3068 21  15.205660112418434 BM25
8 Q0 CACM-1754 22  15.15555886600321 BM25
8 Q0 CACM-3083 23  14.838166096546875 BM25
8 Q0 CACM-1752 24  14.795149589239568 BM25
8 Q0 CACM-2482 25  14.751609993432597 BM25
8 Q0 CACM-3053 26  14.684838366252993 BM25
8 Q0 CACM-0332 27  14.631188976750481 BM25
8 Q0 CACM-2501 28  14.589853825169973 BM25
8 Q0 CACM-1695 29  14.50826020124609 BM25
8 Q0 CACM-2197 30  14.314147599791838 BM25
8 Q0 CACM-3040 31  14.294910169702465 BM25
8 Q0 CACM-0828 32  14.259508718617113 BM25
8 Q0 CACM-2892 33  14.133761138050051 BM25
8 Q0 CACM-2358 34  14.06471126662369 BM25
8 Q0 CACM-2969 35  14.056235538792137 BM25
8 Q0 CACM-1751 36  13.879263876622154 BM25
8 Q0 CACM-2522 37  13.851910943661654 BM25
8 Q0 CACM-3126 38  13.848371332926748 BM25
8 Q0 CACM-2830 39  13.797041480616937 BM25
8 Q0 CACM-3158 40  13.67582767135837 BM25
8 Q0 CACM-3133 41  13.559720547244023 BM25
8 Q0 CACM-0040 42  13.163727963938468 BM25
8 Q0 CACM-1879 43  13.160473272279102 BM25
8 Q0 CACM-2109 44  13.047663568662042 BM25
8 Q0 CACM-1247 45  12.971522336691443 BM25
8 Q0 CACM-2849 46  12.90898479311321 BM25
8 Q0 CACM-1611 47  12.865560873600144 BM25
8 Q0 CACM-2111 48  12.810405691828858 BM25
8 Q0 CACM-3038 49  12.67232873490337 BM25
8 Q0 CACM-0441 50  12.607785446366355 BM25
8 Q0 CACM-2203 51  12.589971628536537 BM25
8 Q0 CACM-1728 52  12.536384176973147 BM25
8 Q0 CACM-2712 53  12.513894212919485 BM25
8 Q0 CACM-2614 54  12.368930445681183 BM25
8 Q0 CACM-1680 55  12.256810294067515 BM25
8 Q0 CACM-2320 56  12.24143794771011 BM25
8 Q0 CACM-3076 57  12.219489336661606 BM25
8 Q0 CACM-3127 58  12.054161388500608 BM25
8 Q0 CACM-1877 59  12.047070250238939 BM25
8 Q0 CACM-2454 60  11.954794899362614 BM25
8 Q0 CACM-2500 61  11.927600776903027 BM25
8 Q0 CACM-0820 62  11.891435758507964 BM25
8 Q0 CACM-2632 63  11.886997137335115 BM25
8 Q0 CACM-2515 64  11.74001732994386 BM25
8 Q0 CACM-2840 65  11.72747555760201 BM25
8 Q0 CACM-1735 66  11.712556598750425 BM25
8 Q0 CACM-2297 67  11.655323226971337 BM25
8 Q0 CACM-2317 68  11.59183225743071 BM25
8 Q0 CACM-3110 69  11.524856561558696 BM25
8 Q0 CACM-1591 70  11.440301959707533 BM25
8 Q0 CACM-1261 71  11.436016259446232 BM25
8 Q0 CACM-2950 72  11.404565710844881 BM25
8 Q0 CACM-3082 73  11.39266426871072 BM25
8 Q0 CACM-1462 74  11.329155093406465 BM25
8 Q0 CACM-2151 75  11.318468805488727 BM25
8 Q0 CACM-2499 76  11.255688182824603 BM25
8 Q0 CACM-2138 77  11.190466107977585 BM25
8 Q0 CACM-2274 78  11.177823622098757 BM25
8 Q0 CACM-2095 79  11.169125387985586 BM25
8 Q0 CACM-0144 80  11.158562568807042 BM25
8 Q0 CACM-3141 81  11.085808883918393 BM25
8 Q0 CACM-1846 82  11.071876605150734 BM25
8 Q0 CACM-2798 83  11.034592510821387 BM25
8 Q0 CACM-2372 84  10.98885111172513 BM25
8 Q0 CACM-2597 85  10.94988916636052 BM25
8 Q0 CACM-3059 86  10.920657438981488 BM25
8 Q0 CACM-2988 87  10.919851764059203 BM25
8 Q0 CACM-2377 88  10.866767133697303 BM25
8 Q0 CACM-2578 89  10.833388699584184 BM25
8 Q0 CACM-2080 90  10.700639549192859 BM25
8 Q0 CACM-2621 91  10.696649967537372 BM25
8 Q0 CACM-0071 92  10.64691129177123 BM25
8 Q0 CACM-2920 93  10.620138553186603 BM25
8 Q0 CACM-2319 94  10.511482192864259 BM25
8 Q0 CACM-2258 95  10.388032534676077 BM25
8 Q0 CACM-2905 96  10.376324686558371 BM25
8 Q0 CACM-1226 97  10.330225738778605 BM25
8 Q0 CACM-2379 98  10.265039175025203 BM25
8 Q0 CACM-3072 99  10.169661395591747 BM25
8 Q0 CACM-2867 100  10.148154782067712 BM25
