30 Q0 CACM-1926 1  22.959553761888035 BM25
30 Q0 CACM-2341 2  13.752828527835328 BM25
30 Q0 CACM-2786 3  13.121999666624468 BM25
30 Q0 CACM-2501 4  12.14813408728926 BM25
30 Q0 CACM-2537 5  11.508085191521994 BM25
30 Q0 CACM-1112 6  10.977941504523862 BM25
30 Q0 CACM-1856 7  10.487059548750798 BM25
30 Q0 CACM-1256 8  10.47454254206267 BM25
30 Q0 CACM-1739 9  10.398037277858942 BM25
30 Q0 CACM-2947 10  9.998616662146727 BM25
30 Q0 CACM-1726 11  9.883261584337124 BM25
30 Q0 CACM-1400 12  9.672448360201372 BM25
30 Q0 CACM-2035 13  9.47859233336961 BM25
30 Q0 CACM-2486 14  9.10403924519498 BM25
30 Q0 CACM-0953 15  9.039441599196955 BM25
30 Q0 CACM-2746 16  9.019458772121633 BM25
30 Q0 CACM-2631 17  8.877515472820988 BM25
30 Q0 CACM-2050 18  8.78564492314272 BM25
30 Q0 CACM-1502 19  8.65305351476215 BM25
30 Q0 CACM-3162 20  8.585834149256193 BM25
30 Q0 CACM-2917 21  8.44594799023932 BM25
30 Q0 CACM-2876 22  8.203061839453374 BM25
30 Q0 CACM-0248 23  8.190292281988945 BM25
30 Q0 CACM-2396 24  8.182364621536351 BM25
30 Q0 CACM-1616 25  8.158210192886937 BM25
30 Q0 CACM-2530 26  8.091765980088747 BM25
30 Q0 CACM-1170 27  7.617666713711477 BM25
30 Q0 CACM-2312 28  7.608551194898644 BM25
30 Q0 CACM-1248 29  7.58313641940642 BM25
30 Q0 CACM-2299 30  7.503595372833637 BM25
30 Q0 CACM-2819 31  7.423381929505005 BM25
30 Q0 CACM-2623 32  7.371914094083068 BM25
30 Q0 CACM-1457 33  7.286527176702838 BM25
30 Q0 CACM-2916 34  7.284279911525604 BM25
30 Q0 CACM-3115 35  7.252122574044458 BM25
30 Q0 CACM-1697 36  7.195866732213586 BM25
30 Q0 CACM-1455 37  6.912868552630576 BM25
30 Q0 CACM-3142 38  6.743174046928653 BM25
30 Q0 CACM-0195 39  6.742653718562676 BM25
30 Q0 CACM-2399 40  6.6984347603640915 BM25
30 Q0 CACM-1698 41  6.65939755461669 BM25
30 Q0 CACM-1565 42  6.651338147591373 BM25
30 Q0 CACM-3175 43  6.443927070525454 BM25
30 Q0 CACM-1614 44  6.432001262408207 BM25
30 Q0 CACM-2989 45  6.309541686570374 BM25
30 Q0 CACM-2252 46  6.2148935737322075 BM25
30 Q0 CACM-1001 47  6.117353408669328 BM25
30 Q0 CACM-3179 48  6.10955357361877 BM25
30 Q0 CACM-2931 49  6.093882711393911 BM25
30 Q0 CACM-1644 50  6.092885646439697 BM25
30 Q0 CACM-2572 51  6.056798718958948 BM25
30 Q0 CACM-3173 52  5.946789299590327 BM25
30 Q0 CACM-1487 53  5.937260131530099 BM25
30 Q0 CACM-2764 54  5.8897507496264065 BM25
30 Q0 CACM-3005 55  5.848878990738479 BM25
30 Q0 CACM-0718 56  5.800686083018985 BM25
30 Q0 CACM-2739 57  5.756096160439901 BM25
30 Q0 CACM-2909 58  5.729852566238208 BM25
30 Q0 CACM-1625 59  5.7290658046379495 BM25
30 Q0 CACM-2835 60  5.672180056581614 BM25
30 Q0 CACM-2871 61  5.560537926313019 BM25
30 Q0 CACM-2582 62  5.5483007111264335 BM25
30 Q0 CACM-2457 63  5.451317413358057 BM25
30 Q0 CACM-1828 64  5.444185398605739 BM25
30 Q0 CACM-1235 65  5.429335538771644 BM25
30 Q0 CACM-3120 66  5.421912499821957 BM25
30 Q0 CACM-1413 67  5.407556878995003 BM25
30 Q0 CACM-1613 68  5.340855709864622 BM25
30 Q0 CACM-2519 69  5.338784522814447 BM25
30 Q0 CACM-1046 70  5.324165694565122 BM25
30 Q0 CACM-2710 71  5.292742615920774 BM25
30 Q0 CACM-2923 72  5.244083362044056 BM25
30 Q0 CACM-1700 73  5.159653865592809 BM25
30 Q0 CACM-1652 74  5.1061236488800885 BM25
30 Q0 CACM-2357 75  5.0937450596517655 BM25
30 Q0 CACM-2927 76  5.060140684423185 BM25
30 Q0 CACM-1824 77  5.050665692447099 BM25
30 Q0 CACM-2634 78  4.9996790978725505 BM25
30 Q0 CACM-2629 79  4.9927702534430525 BM25
30 Q0 CACM-3154 80  4.862345361351234 BM25
30 Q0 CACM-2455 81  4.738060083813714 BM25
30 Q0 CACM-1383 82  4.659200002299369 BM25
30 Q0 CACM-2390 83  4.620185398174832 BM25
30 Q0 CACM-1518 84  4.618798378250458 BM25
30 Q0 CACM-2580 85  4.572874377271505 BM25
30 Q0 CACM-0084 86  4.549410922769871 BM25
30 Q0 CACM-1491 87  4.534218585187618 BM25
30 Q0 CACM-2203 88  4.526549768474612 BM25
30 Q0 CACM-1421 89  4.477340592062906 BM25
30 Q0 CACM-3114 90  4.3928546550179695 BM25
30 Q0 CACM-1272 91  4.384671018429306 BM25
30 Q0 CACM-3054 92  4.3613042650282825 BM25
30 Q0 CACM-2019 93  4.305523543194813 BM25
30 Q0 CACM-0274 94  4.295818570151617 BM25
30 Q0 CACM-1324 95  4.27965569951972 BM25
30 Q0 CACM-2002 96  4.102024660774532 BM25
30 Q0 CACM-1735 97  4.037374729685278 BM25
30 Q0 CACM-2980 98  3.9923779774889123 BM25
30 Q0 CACM-0724 99  3.9714670608882368 BM25
30 Q0 CACM-2987 100  3.9603318747214207 BM25
