55 Q0 CACM-2650 1  29.762491128966396 BM25
55 Q0 CACM-1896 2  26.620263032859654 BM25
55 Q0 CACM-2921 3  26.58094203096721 BM25
55 Q0 CACM-1898 4  26.501414256209156 BM25
55 Q0 CACM-1993 5  26.151151114838505 BM25
55 Q0 CACM-1739 6  24.721402444744093 BM25
55 Q0 CACM-1355 7  23.17297623440738 BM25
55 Q0 CACM-2112 8  22.082365896221802 BM25
55 Q0 CACM-1665 9  21.617611700212912 BM25
55 Q0 CACM-2051 10  17.562060471949593 BM25
55 Q0 CACM-1846 11  14.60496962534811 BM25
55 Q0 CACM-2838 12  13.125293753705439 BM25
55 Q0 CACM-3056 13  12.437041223687437 BM25
55 Q0 CACM-1453 14  12.25524619060724 BM25
55 Q0 CACM-1906 15  10.506552627661781 BM25
55 Q0 CACM-3096 16  10.472881124675762 BM25
55 Q0 CACM-1612 17  9.679871179689682 BM25
55 Q0 CACM-2704 18  9.266168752575524 BM25
55 Q0 CACM-1470 19  9.19727367387846 BM25
55 Q0 CACM-1886 20  8.948566512338527 BM25
55 Q0 CACM-1469 21  8.518072072686074 BM25
55 Q0 CACM-3034 22  8.472589379060603 BM25
55 Q0 CACM-3064 23  8.314537266192842 BM25
55 Q0 CACM-3009 24  8.138717296581149 BM25
55 Q0 CACM-1379 25  8.13451427743701 BM25
55 Q0 CACM-1962 26  8.130113517294934 BM25
55 Q0 CACM-1259 27  8.11525938454903 BM25
55 Q0 CACM-3044 28  7.954637408017903 BM25
55 Q0 CACM-1988 29  7.93636309132221 BM25
55 Q0 CACM-2078 30  7.923688961435886 BM25
55 Q0 CACM-3198 31  7.673091801443051 BM25
55 Q0 CACM-1084 32  7.652174046300775 BM25
55 Q0 CACM-2839 33  7.46884590766274 BM25
55 Q0 CACM-2253 34  7.4221120484445215 BM25
55 Q0 CACM-2398 35  7.358109182291228 BM25
55 Q0 CACM-1488 36  7.260325919222721 BM25
55 Q0 CACM-1235 37  7.084899190735309 BM25
55 Q0 CACM-1152 38  7.075236675349189 BM25
55 Q0 CACM-1216 39  7.037357984677994 BM25
55 Q0 CACM-3043 40  7.020762127470803 BM25
55 Q0 CACM-1324 41  6.996232580206902 BM25
55 Q0 CACM-3065 42  6.94121521291939 BM25
55 Q0 CACM-2710 43  6.861603028299351 BM25
55 Q0 CACM-1264 44  6.76904701041096 BM25
55 Q0 CACM-2175 45  6.713484964732562 BM25
55 Q0 CACM-2717 46  6.703356320952737 BM25
55 Q0 CACM-3163 47  6.680431484618977 BM25
55 Q0 CACM-3082 48  6.665880820508981 BM25
55 Q0 CACM-1035 49  6.631732615391574 BM25
55 Q0 CACM-3158 50  6.604978148230433 BM25
55 Q0 CACM-1957 51  6.582281547477871 BM25
55 Q0 CACM-3171 52  6.530893671357045 BM25
55 Q0 CACM-2786 53  6.365076600321325 BM25
55 Q0 CACM-1999 54  6.334664924327187 BM25
55 Q0 CACM-1551 55  6.331742078526665 BM25
55 Q0 CACM-1309 56  6.316645296326693 BM25
55 Q0 CACM-1366 57  6.2564257508163905 BM25
55 Q0 CACM-3128 58  6.254368795306233 BM25
55 Q0 CACM-1694 59  6.240478899558533 BM25
55 Q0 CACM-0944 60  6.159746026853548 BM25
55 Q0 CACM-2002 61  6.1590827448611485 BM25
55 Q0 CACM-1237 62  6.126445975555634 BM25
55 Q0 CACM-0028 63  6.041034343726288 BM25
55 Q0 CACM-0344 64  6.041034343726288 BM25
55 Q0 CACM-0544 65  6.041034343726288 BM25
55 Q0 CACM-3138 66  6.030495083610212 BM25
55 Q0 CACM-0510 67  5.994592748321281 BM25
55 Q0 CACM-1523 68  5.967457828256252 BM25
55 Q0 CACM-1818 69  5.952157819051057 BM25
55 Q0 CACM-3110 70  5.921276205878644 BM25
55 Q0 CACM-1287 71  5.903819290912429 BM25
55 Q0 CACM-2495 72  5.866885124526398 BM25
55 Q0 CACM-2320 73  5.860129010485914 BM25
55 Q0 CACM-3196 74  5.819483773904911 BM25
55 Q0 CACM-2931 75  5.774186196399933 BM25
55 Q0 CACM-1223 76  5.761751443694132 BM25
55 Q0 CACM-2771 77  5.725240184982486 BM25
55 Q0 CACM-1162 78  5.7120795430426785 BM25
55 Q0 CACM-2998 79  5.689265420412908 BM25
55 Q0 CACM-1457 80  5.666691911189252 BM25
55 Q0 CACM-2719 81  5.665407840170094 BM25
55 Q0 CACM-2684 82  5.6553544884063225 BM25
55 Q0 CACM-3113 83  5.646757998653926 BM25
55 Q0 CACM-2267 84  5.644544411243043 BM25
55 Q0 CACM-0719 85  5.555487365485369 BM25
55 Q0 CACM-2439 86  5.542436898946761 BM25
55 Q0 CACM-3040 87  5.535734805746055 BM25
55 Q0 CACM-1696 88  5.509591461342876 BM25
55 Q0 CACM-2815 89  5.494873946948578 BM25
55 Q0 CACM-0628 90  5.471605106595792 BM25
55 Q0 CACM-1462 91  5.469915558933789 BM25
55 Q0 CACM-1519 92  5.4388395343962275 BM25
55 Q0 CACM-1975 93  5.434678905948723 BM25
55 Q0 CACM-0154 94  5.427781355465572 BM25
55 Q0 CACM-2514 95  5.420147846492307 BM25
55 Q0 CACM-3042 96  5.383127177423349 BM25
55 Q0 CACM-2767 97  5.350836403932723 BM25
55 Q0 CACM-2265 98  5.337667789627903 BM25
55 Q0 CACM-2450 99  5.3217393489556475 BM25
55 Q0 CACM-0413 100  5.263400387356306 BM25
