50 Q0 CACM-1811 1  12.804165338276617 BM25
50 Q0 CACM-2714 2  12.367043706469953 BM25
50 Q0 CACM-3075 3  11.845124421070697 BM25
50 Q0 CACM-3156 4  11.825390747779313 BM25
50 Q0 CACM-2278 5  9.250606402031483 BM25
50 Q0 CACM-2288 6  9.225506734935545 BM25
50 Q0 CACM-0891 7  9.091252446834588 BM25
50 Q0 CACM-1699 8  9.083930615635115 BM25
50 Q0 CACM-3134 9  9.010091883539562 BM25
50 Q0 CACM-1457 10  8.98715468562192 BM25
50 Q0 CACM-1927 11  8.682166839839226 BM25
50 Q0 CACM-2114 12  8.60816624346668 BM25
50 Q0 CACM-1681 13  8.468715440858462 BM25
50 Q0 CACM-1830 14  8.146544642957501 BM25
50 Q0 CACM-2497 15  8.135200748736512 BM25
50 Q0 CACM-2723 16  8.050279104310063 BM25
50 Q0 CACM-2570 17  7.949622485000987 BM25
50 Q0 CACM-2175 18  7.771791300364025 BM25
50 Q0 CACM-2516 19  7.771225639194453 BM25
50 Q0 CACM-2990 20  7.730458593510895 BM25
50 Q0 CACM-0275 21  7.729485432747574 BM25
50 Q0 CACM-0651 22  7.729485432747574 BM25
50 Q0 CACM-2070 23  7.670963349081561 BM25
50 Q0 CACM-1680 24  7.663683682197526 BM25
50 Q0 CACM-1935 25  7.573895722703012 BM25
50 Q0 CACM-3012 26  7.558024066451189 BM25
50 Q0 CACM-1601 27  7.5362700756161125 BM25
50 Q0 CACM-2631 28  7.509648911617117 BM25
50 Q0 CACM-2140 29  7.506587723833003 BM25
50 Q0 CACM-1032 30  7.480611552629845 BM25
50 Q0 CACM-0239 31  7.391160684511329 BM25
50 Q0 CACM-0082 32  7.376318531611632 BM25
50 Q0 CACM-2530 33  7.357605174969164 BM25
50 Q0 CACM-2532 34  7.337631842105835 BM25
50 Q0 CACM-2965 35  7.306538390099101 BM25
50 Q0 CACM-2976 36  7.306538390099101 BM25
50 Q0 CACM-3168 37  7.256175595507218 BM25
50 Q0 CACM-0292 38  7.232866971530019 BM25
50 Q0 CACM-1831 39  7.232866971530019 BM25
50 Q0 CACM-2882 40  7.19547480785985 BM25
50 Q0 CACM-3169 41  7.1575045390790235 BM25
50 Q0 CACM-2552 42  6.983592024797926 BM25
50 Q0 CACM-1846 43  6.944066428397288 BM25
50 Q0 CACM-1514 44  6.933267982212573 BM25
50 Q0 CACM-2781 45  6.888627619143662 BM25
50 Q0 CACM-2412 46  6.842107385787623 BM25
50 Q0 CACM-2519 47  6.814835682146072 BM25
50 Q0 CACM-2865 48  6.78036417300454 BM25
50 Q0 CACM-1937 49  6.707957117869229 BM25
50 Q0 CACM-2967 50  6.597271564480132 BM25
50 Q0 CACM-2307 51  6.5433727163507545 BM25
50 Q0 CACM-1747 52  6.519317743134956 BM25
50 Q0 CACM-2455 53  6.482464012665417 BM25
50 Q0 CACM-1825 54  6.36047798909869 BM25
50 Q0 CACM-1262 55  6.3354696039892335 BM25
50 Q0 CACM-2973 56  6.27663323233466 BM25
50 Q0 CACM-1359 57  6.2050644323515955 BM25
50 Q0 CACM-2896 58  6.158803057347265 BM25
50 Q0 CACM-2561 59  6.147679560113163 BM25
50 Q0 CACM-1959 60  6.120518047087343 BM25
50 Q0 CACM-2160 61  6.107991539765707 BM25
50 Q0 CACM-2685 62  6.100021473973017 BM25
50 Q0 CACM-2711 63  6.091186741607625 BM25
50 Q0 CACM-1665 64  6.0886760670776585 BM25
50 Q0 CACM-0763 65  6.087697803833842 BM25
50 Q0 CACM-2139 66  6.0165791276964145 BM25
50 Q0 CACM-1828 67  5.99480078747371 BM25
50 Q0 CACM-1236 68  5.9912189972202725 BM25
50 Q0 CACM-1675 69  5.978666083995899 BM25
50 Q0 CACM-1725 70  5.977123509692242 BM25
50 Q0 CACM-2700 71  5.893892733465615 BM25
50 Q0 CACM-2846 72  5.857829208915984 BM25
50 Q0 CACM-1988 73  5.827210699858986 BM25
50 Q0 CACM-2947 74  5.788305755820499 BM25
50 Q0 CACM-0655 75  5.78693884804305 BM25
50 Q0 CACM-1158 76  5.76950310400044 BM25
50 Q0 CACM-1627 77  5.768499256613758 BM25
50 Q0 CACM-2258 78  5.689448944153608 BM25
50 Q0 CACM-2493 79  5.687934789048006 BM25
50 Q0 CACM-1652 80  5.685648607230744 BM25
50 Q0 CACM-2266 81  5.661023887001296 BM25
50 Q0 CACM-2785 82  5.60070027474447 BM25
50 Q0 CACM-2032 83  5.509329238220131 BM25
50 Q0 CACM-0950 84  5.498202479033654 BM25
50 Q0 CACM-2484 85  5.451575838462408 BM25
50 Q0 CACM-2451 86  5.438337367585644 BM25
50 Q0 CACM-0440 87  5.428973010695348 BM25
50 Q0 CACM-0141 88  5.427781355465572 BM25
50 Q0 CACM-1367 89  5.399295175320651 BM25
50 Q0 CACM-2895 90  5.363268947926848 BM25
50 Q0 CACM-1960 91  5.358365419439564 BM25
50 Q0 CACM-2575 92  5.35548395579959 BM25
50 Q0 CACM-0392 93  5.344327161592579 BM25
50 Q0 CACM-1302 94  5.344327161592579 BM25
50 Q0 CACM-2623 95  5.3436763780509455 BM25
50 Q0 CACM-2832 96  5.310385380417628 BM25
50 Q0 CACM-3059 97  5.266365888927333 BM25
50 Q0 CACM-2342 98  5.228598141812505 BM25
50 Q0 CACM-1976 99  5.226543936570483 BM25
50 Q0 CACM-1468 100  5.1998739223316095 BM25
