34 Q0 CACM-1524 1  12.384790482415218 BM25
34 Q0 CACM-1867 2  11.745936669880487 BM25
34 Q0 CACM-1667 3  11.414554981767065 BM25
34 Q0 CACM-1893 4  11.414554981767065 BM25
34 Q0 CACM-2660 5  11.27602909902319 BM25
34 Q0 CACM-1999 6  11.095788934493754 BM25
34 Q0 CACM-1763 7  10.627881153809955 BM25
34 Q0 CACM-2135 8  10.586985185250587 BM25
34 Q0 CACM-1615 9  10.392076775755708 BM25
34 Q0 CACM-1949 10  9.822974370581875 BM25
34 Q0 CACM-0848 11  9.216910822698008 BM25
34 Q0 CACM-2808 12  8.853416975071701 BM25
34 Q0 CACM-0967 13  7.86582607049172 BM25
34 Q0 CACM-0435 14  7.763362415517432 BM25
34 Q0 CACM-1567 15  7.622425106769462 BM25
34 Q0 CACM-0397 16  7.604262924934542 BM25
34 Q0 CACM-1620 17  6.892862309402549 BM25
34 Q0 CACM-0334 18  6.838593990910302 BM25
34 Q0 CACM-1440 19  6.813340376927693 BM25
34 Q0 CACM-0005 20  6.796470793891372 BM25
34 Q0 CACM-0035 21  6.639723325412084 BM25
34 Q0 CACM-0672 22  6.638450878838987 BM25
34 Q0 CACM-1832 23  6.441638075614518 BM25
34 Q0 CACM-0492 24  6.364298574822358 BM25
34 Q0 CACM-1153 25  6.318091514308893 BM25
34 Q0 CACM-1389 26  6.214995542970409 BM25
34 Q0 CACM-2450 27  6.190013213272682 BM25
34 Q0 CACM-1803 28  5.994544574406663 BM25
34 Q0 CACM-1644 29  5.813717437233902 BM25
34 Q0 CACM-1046 30  5.799564332023793 BM25
34 Q0 CACM-1623 31  5.66690068598808 BM25
34 Q0 CACM-1121 32  5.592061533041903 BM25
34 Q0 CACM-1333 33  5.559568039374973 BM25
34 Q0 CACM-1882 34  5.5460968219307585 BM25
34 Q0 CACM-2749 35  5.519106364688598 BM25
34 Q0 CACM-2709 36  5.5187972383626205 BM25
34 Q0 CACM-2744 37  5.416413424251422 BM25
34 Q0 CACM-0340 38  5.320020073401952 BM25
34 Q0 CACM-0341 39  5.320020073401952 BM25
34 Q0 CACM-0819 40  5.320020073401952 BM25
34 Q0 CACM-1852 41  5.310826606112605 BM25
34 Q0 CACM-0125 42  5.278155895338327 BM25
34 Q0 CACM-2657 43  5.272511808273273 BM25
34 Q0 CACM-2423 44  5.264016418929076 BM25
34 Q0 CACM-1080 45  5.2369454461963825 BM25
34 Q0 CACM-2266 46  5.188586135072985 BM25
34 Q0 CACM-1932 47  5.162536088449199 BM25
34 Q0 CACM-2345 48  5.158583745375803 BM25
34 Q0 CACM-0062 49  5.1564254266990845 BM25
34 Q0 CACM-0765 50  5.117086852584405 BM25
34 Q0 CACM-2407 51  5.080487339476598 BM25
34 Q0 CACM-2194 52  5.073145219200034 BM25
34 Q0 CACM-3060 53  4.977556131895893 BM25
34 Q0 CACM-0884 54  4.893108537835422 BM25
34 Q0 CACM-3166 55  4.872866217620963 BM25
34 Q0 CACM-1386 56  4.833663940914524 BM25
34 Q0 CACM-1520 57  4.756613365728599 BM25
34 Q0 CACM-1643 58  4.747777790568115 BM25
34 Q0 CACM-2598 59  4.744288100793796 BM25
34 Q0 CACM-2174 60  4.721076413943085 BM25
34 Q0 CACM-1488 61  4.6929304484492835 BM25
34 Q0 CACM-1456 62  4.679123261902493 BM25
34 Q0 CACM-0116 63  4.655091328595441 BM25
34 Q0 CACM-2999 64  4.6507874074829125 BM25
34 Q0 CACM-2693 65  4.623289253189516 BM25
34 Q0 CACM-2324 66  4.603938061246993 BM25
34 Q0 CACM-1495 67  4.5616626146738835 BM25
34 Q0 CACM-2809 68  4.556425530638434 BM25
34 Q0 CACM-1869 69  4.547386923238925 BM25
34 Q0 CACM-2449 70  4.536002842190792 BM25
34 Q0 CACM-1031 71  4.516925723371886 BM25
34 Q0 CACM-1049 72  4.479079327304049 BM25
34 Q0 CACM-1816 73  4.469259806153372 BM25
34 Q0 CACM-2391 74  4.469259806153372 BM25
34 Q0 CACM-1253 75  4.459699139216719 BM25
34 Q0 CACM-0319 76  4.423713810330165 BM25
34 Q0 CACM-1726 77  4.423385921362698 BM25
34 Q0 CACM-1295 78  4.397301017023298 BM25
34 Q0 CACM-1618 79  4.330560986544248 BM25
34 Q0 CACM-0531 80  4.292693006628143 BM25
34 Q0 CACM-1051 81  4.282520129934637 BM25
34 Q0 CACM-2385 82  4.2785499088627486 BM25
34 Q0 CACM-1689 83  4.271561504307012 BM25
34 Q0 CACM-2696 84  4.265200756566706 BM25
34 Q0 CACM-2254 85  4.263621911391033 BM25
34 Q0 CACM-1940 86  4.256900340045256 BM25
34 Q0 CACM-2722 87  4.24332666243884 BM25
34 Q0 CACM-0464 88  4.202218054488724 BM25
34 Q0 CACM-2742 89  4.162166369755729 BM25
34 Q0 CACM-2090 90  4.156392480028039 BM25
34 Q0 CACM-2921 91  4.090880669278055 BM25
34 Q0 CACM-1425 92  4.071320102757832 BM25
34 Q0 CACM-1015 93  4.025469876184068 BM25
34 Q0 CACM-1197 94  4.001166437613645 BM25
34 Q0 CACM-1420 95  3.991205094406636 BM25
34 Q0 CACM-2906 96  3.937113119450265 BM25
34 Q0 CACM-1977 97  3.9270670818129245 BM25
34 Q0 CACM-2306 98  3.909328494000691 BM25
34 Q0 CACM-3039 99  3.876884407992126 BM25
34 Q0 CACM-0281 100  3.862366735759059 BM25
